btId,gameId,gameDate,market,modelSide,stored_result,derived_outcome,stored_correct,confidencePassed,modelProb,bookNoVigProb,edge,bookLine,lineUsed,games_actual,bt_row_actual,staleActuals,edgeCheck,threshCheck,status,quarantineReason,voidReason,auditVersion,note
365753,2250248,2026-04-15,fg_ml_away,fg_ml_away,LOSS,LOSS,0,0,0.41,0.447,-0.0382,ML,,1-2,1-2,,,edge=-0.0382 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365755,2250248,2026-04-15,fg_under,fg_under,WIN,WIN,1,0,0.49,0.4892,-0.0039,U8.5,8.5,1-2,1-2,,,p=0.49 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365764,2250249,2026-04-15,fg_ml_home,fg_ml_home,WIN,WIN,1,0,0.59,0.616,-0.0282,ML,,0-2,0-2,,,edge=-0.0282 thresh=0.06 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365766,2250249,2026-04-15,fg_over,fg_over,LOSS,LOSS,0,0,0.34,0.4783,-0.1341,O9.5,9.5,0-2,0-2,,,p=0.34 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365777,2250250,2026-04-15,fg_ml_away,fg_ml_away,LOSS,LOSS,0,0,0.49,0.5043,-0.0118,ML,,3-8,3-8,,,edge=-0.0118 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365778,2250250,2026-04-15,fg_over,fg_over,WIN,WIN,1,0,0.4,0.5174,-0.1203,O9.0,9,3-8,3-8,,,p=0.4 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365789,2250251,2026-04-15,fg_ml_away,fg_ml_away,WIN,WIN,1,0,0.42,0.4406,-0.025,ML,,11-2,11-2,,,edge=-0.025 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365791,2250251,2026-04-15,fg_under,fg_under,LOSS,LOSS,0,0,0.51,0.5108,-0.0055,U9.0,9,11-2,11-2,,,p=0.51 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365801,2250252,2026-04-15,fg_ml_away,fg_ml_away,LOSS,LOSS,0,0,0.3,0.3718,-0.0757,ML,,4-5,4-5,,,edge=-0.0757 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365802,2250252,2026-04-15,fg_over,fg_over,LOSS,LOSS,0,0,0.49,0.5174,-0.0257,O10.5,10.5,4-5,4-5,,,p=0.49 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365812,2250253,2026-04-15,fg_ml_home,fg_ml_home,WIN,WIN,1,0,0.56,0.5997,-0.0357,ML,,3-6,3-6,,,edge=-0.0357 thresh=0.06 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365814,2250253,2026-04-15,fg_over,fg_over,PUSH,PUSH,,0,0.44,0.4957,-0.0547,O9.0,9,3-6,3-6,,,p=0.44 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365824,2250254,2026-04-15,fg_ml_home,fg_ml_home,LOSS,LOSS,0,0,0.47,0.4957,-0.027,ML,,8-3,8-3,,,edge=-0.027 thresh=0.06 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365826,2250254,2026-04-15,fg_over,fg_over,WIN,WIN,1,0,0.46,0.4826,-0.023,O8.5,8.5,8-3,8-3,,,p=0.46 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365705,2250255,2026-04-15,fg_ml_away,fg_ml_away,LOSS,LOSS,0,0,0.46,0.5333,-0.073,ML,,1-2,1-2,,,edge=-0.073 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365707,2250255,2026-04-15,fg_under,fg_under,WIN,WIN,1,0,0.38,0.4848,-0.1067,U7.5,7.5,1-2,1-2,,,p=0.38 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365668,2250256,2026-04-15,fg_ml_home,fg_ml_home,WIN,WIN,1,0,0.53,0.6335,-0.1012,ML,,1-3,1-3,,,edge=-0.1012 thresh=0.06 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365670,2250256,2026-04-15,fg_over,fg_over,LOSS,LOSS,0,0,0.49,0.5227,-0.0333,O8.5,8.5,1-3,1-3,,,p=0.49 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365681,2250257,2026-04-15,fg_ml_away,fg_ml_away,LOSS,LOSS,0,0,0.45,0.5,-0.0459,ML,,6-7,6-7,,,edge=-0.0459 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365682,2250257,2026-04-15,fg_over,fg_over,WIN,WIN,1,0,0.46,0.4892,-0.0325,O8.0,8,6-7,6-7,,,p=0.46 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365693,2250258,2026-04-15,fg_ml_away,fg_ml_away,LOSS,LOSS,0,0,0.44,0.4848,-0.0437,ML,,5-6,5-6,,,edge=-0.0437 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365695,2250258,2026-04-15,fg_under,fg_under,LOSS,LOSS,0,0,0.51,0.5108,0,U10.0,10,5-6,5-6,,,p=0.51 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365656,2250259,2026-04-15,fg_ml_home,fg_ml_home,WIN,WIN,1,0,0.58,0.6364,-0.0567,ML,,2-8,2-8,,,edge=-0.0567 thresh=0.06 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
365658,2250259,2026-04-15,fg_over,fg_over,WIN,WIN,1,0,0.44,0.4826,-0.0433,O7.5,7.5,2-8,2-8,,,p=0.44 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
366028,2250271,2026-04-17,fg_ml_home,fg_ml_home,LOSS,LOSS,0,0,0.54,0.5511,-0.0102,ML,,6-4,6-4,,,edge=-0.0102 thresh=0.06 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
366030,2250271,2026-04-17,fg_over,fg_over,WIN,WIN,1,0,0.43,0.4957,-0.0618,O8.0,8,6-4,6-4,,,p=0.43 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
366040,2250272,2026-04-17,fg_ml_home,fg_ml_home,LOSS,LOSS,0,0,0.46,0.4826,-0.0187,ML,,9-0,9-0,,,edge=-0.0187 thresh=0.06 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
366042,2250272,2026-04-17,fg_over,fg_over,LOSS,LOSS,0,0,0.48,0.4957,-0.0148,O9.5,9.5,9-0,9-0,,,p=0.48 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
366053,2250273,2026-04-17,fg_ml_away,fg_ml_away,WIN,WIN,1,0,0.48,0.5631,-0.0842,ML,,10-5,10-5,,,edge=-0.0842 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
366055,2250273,2026-04-17,fg_under,fg_under,LOSS,LOSS,0,0,0.49,0.5174,-0.0238,U8.5,8.5,10-5,10-5,,,p=0.49 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
366065,2250274,2026-04-17,fg_ml_away,fg_ml_away,LOSS,LOSS,0,0,0.44,0.4625,-0.0208,ML,,1-5,1-5,,,edge=-0.0208 thresh=0.05 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
366066,2250274,2026-04-17,fg_over,fg_over,LOSS,LOSS,0,0,0.42,0.5174,-0.0956,O8.5,8.5,1-5,1-5,,,p=0.42 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
366076,2250275,2026-04-17,fg_ml_home,fg_ml_home,WIN,WIN,1,0,0.61,0.616,-0.0109,ML,,2-4,2-4,,,edge=-0.0109 thresh=0.06 actioned=true,WARN:actioned-conf0,,,v2026-full-audit-1.0,
