btId,gameId,gameDate,market,modelSide,stored_result,derived_outcome,stored_correct,confidencePassed,modelProb,bookNoVigProb,edge,bookLine,lineUsed,games_actual,bt_row_actual,staleActuals,edgeCheck,threshCheck,status,quarantineReason,voidReason,auditVersion,note
630002,2250006,2026-03-25,fg_ml_away,fg_ml_away,NO_ACTION,WIN,,0,,0.5321,,ML,,7-0,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
630001,2250006,2026-03-25,fg_ml_home,fg_ml_home,NO_ACTION,LOSS,,0,,0.4679,,ML,,7-0,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
630005,2250006,2026-03-25,fg_over,fg_over,NO_ACTION,PUSH,,0,,0.5174,,O7.0,7,7-0,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
630004,2250006,2026-03-25,fg_rl_away,fg_rl_away,NO_ACTION,WIN,,0,,,,-1.5,,7-0,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
630003,2250006,2026-03-25,fg_rl_home,fg_rl_home,NO_ACTION,LOSS,,0,,,,+1.5,,7-0,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
630006,2250006,2026-03-25,fg_under,fg_under,NO_ACTION,PUSH,,0,,0.4826,,U7.0,7,7-0,7-0,,,,ok,modelProb=null,,v2026-full-audit-1.0,
280485,2250007,2026-03-26,fg_ml_away,fg_ml_away,QUARANTINED,LOSS,,0,0.45,0.4783,,ML,,7-11,7-11,,,,ok,modelRunAt=1776250825827 >= gameStartUtcMs=1774541700000,,v2026-full-audit-1.0,
280484,2250007,2026-03-26,fg_ml_home,fg_ml_home,QUARANTINED,WIN,,0,0.55,0.5217,,ML,,7-11,7-11,,,,ok,modelRunAt=1776250825827 >= gameStartUtcMs=1774541700000,,v2026-full-audit-1.0,
280486,2250007,2026-03-26,fg_over,fg_over,QUARANTINED,WIN,,0,0.53,0.5217,,O7.0,7,7-11,7-11,,,,ok,modelRunAt=1776250825827 >= gameStartUtcMs=1774541700000,,v2026-full-audit-1.0,
630018,2250007,2026-03-26,fg_rl_away,fg_rl_away,QUARANTINED,LOSS,,0,,0.3215,,-1.5,,7-11,7-11,,,,ok,modelRunAt=1776250825827 >= gameStartUtcMs=1774541700000,,v2026-full-audit-1.0,
