btId,gameId,gameDate,market,stored_result,confidencePassed,games_actual,derived_outcome,quarantineReason,voidReason,auditVersion
634566,2250311,2026-04-19,fg_ml_away,MISSING_DATA,0,4-2,WIN,actual score missing,,v2026-full-audit-1.0
634565,2250311,2026-04-19,fg_ml_home,MISSING_DATA,1,4-2,LOSS,actual score missing,,v2026-full-audit-1.0
634569,2250311,2026-04-19,fg_over,MISSING_DATA,1,4-2,LOSS,actual score missing,,v2026-full-audit-1.0
634570,2250311,2026-04-19,fg_under,MISSING_DATA,0,4-2,WIN,actual score missing,,v2026-full-audit-1.0
634594,2250312,2026-04-20,fg_ml_away,MISSING_DATA,1,6-8,LOSS,actual score missing,,v2026-full-audit-1.0
634593,2250312,2026-04-20,fg_ml_home,MISSING_DATA,0,6-8,WIN,actual score missing,,v2026-full-audit-1.0
635042,2250343,2026-04-22,fg_ml_away,MISSING_DATA,0,8-6,WIN,actual score missing,,v2026-full-audit-1.0
635041,2250343,2026-04-22,fg_ml_home,MISSING_DATA,1,8-6,LOSS,actual score missing,,v2026-full-audit-1.0
635045,2250343,2026-04-22,fg_over,MISSING_DATA,1,8-6,WIN,actual score missing,,v2026-full-audit-1.0
635046,2250343,2026-04-22,fg_under,MISSING_DATA,0,8-6,LOSS,actual score missing,,v2026-full-audit-1.0
635322,2250361,2026-04-24,fg_ml_away,MISSING_DATA,1,4-3,WIN,actual score missing,,v2026-full-audit-1.0
635321,2250361,2026-04-24,fg_ml_home,MISSING_DATA,0,4-3,LOSS,actual score missing,,v2026-full-audit-1.0
635325,2250361,2026-04-24,fg_over,MISSING_DATA,1,4-3,LOSS,actual score missing,,v2026-full-audit-1.0
635326,2250361,2026-04-24,fg_under,MISSING_DATA,0,4-3,WIN,actual score missing,,v2026-full-audit-1.0
635532,2250376,2026-04-26,fg_ml_away,MISSING_DATA,1,3-0,WIN,actual score missing,,v2026-full-audit-1.0
635531,2250376,2026-04-26,fg_ml_home,MISSING_DATA,0,3-0,LOSS,actual score missing,,v2026-full-audit-1.0
635535,2250376,2026-04-26,fg_over,MISSING_DATA,0,3-0,LOSS,actual score missing,,v2026-full-audit-1.0
635536,2250376,2026-04-26,fg_under,MISSING_DATA,1,3-0,WIN,actual score missing,,v2026-full-audit-1.0
637380,2250498,2026-05-05,fg_ml_away,MISSING_DATA,1,10-3,WIN,actual score missing,,v2026-full-audit-1.0
637379,2250498,2026-05-05,fg_ml_home,MISSING_DATA,0,10-3,LOSS,actual score missing,,v2026-full-audit-1.0
637383,2250498,2026-05-05,fg_over,MISSING_DATA,0,10-3,WIN,actual score missing,,v2026-full-audit-1.0
637384,2250498,2026-05-05,fg_under,MISSING_DATA,1,10-3,LOSS,actual score missing,,v2026-full-audit-1.0
637394,2250499,2026-05-05,fg_ml_away,MISSING_DATA,1,3-4,LOSS,actual score missing,,v2026-full-audit-1.0
637393,2250499,2026-05-05,fg_ml_home,MISSING_DATA,0,3-4,WIN,actual score missing,,v2026-full-audit-1.0
637397,2250499,2026-05-05,fg_over,MISSING_DATA,1,3-4,PUSH,actual score missing,,v2026-full-audit-1.0
637398,2250499,2026-05-05,fg_under,MISSING_DATA,0,3-4,PUSH,actual score missing,,v2026-full-audit-1.0
637408,2250500,2026-05-05,fg_ml_away,MISSING_DATA,1,1-9,LOSS,actual score missing,,v2026-full-audit-1.0
637407,2250500,2026-05-05,fg_ml_home,MISSING_DATA,0,1-9,WIN,actual score missing,,v2026-full-audit-1.0
637411,2250500,2026-05-05,fg_over,MISSING_DATA,0,1-9,WIN,actual score missing,,v2026-full-audit-1.0
637412,2250500,2026-05-05,fg_under,MISSING_DATA,1,1-9,LOSS,actual score missing,,v2026-full-audit-1.0
637422,2250501,2026-05-05,fg_ml_away,MISSING_DATA,1,9-7,WIN,actual score missing,,v2026-full-audit-1.0
637421,2250501,2026-05-05,fg_ml_home,MISSING_DATA,0,9-7,LOSS,actual score missing,,v2026-full-audit-1.0
637425,2250501,2026-05-05,fg_over,MISSING_DATA,0,9-7,WIN,actual score missing,,v2026-full-audit-1.0
637426,2250501,2026-05-05,fg_under,MISSING_DATA,1,9-7,LOSS,actual score missing,,v2026-full-audit-1.0
637436,2250502,2026-05-05,fg_ml_away,MISSING_DATA,0,11-3,WIN,actual score missing,,v2026-full-audit-1.0
637435,2250502,2026-05-05,fg_ml_home,MISSING_DATA,1,11-3,LOSS,actual score missing,,v2026-full-audit-1.0
637439,2250502,2026-05-05,fg_over,MISSING_DATA,1,11-3,WIN,actual score missing,,v2026-full-audit-1.0
637440,2250502,2026-05-05,fg_under,MISSING_DATA,0,11-3,LOSS,actual score missing,,v2026-full-audit-1.0
637450,2250503,2026-05-05,fg_ml_away,MISSING_DATA,0,4-7,LOSS,actual score missing,,v2026-full-audit-1.0
637449,2250503,2026-05-05,fg_ml_home,MISSING_DATA,1,4-7,WIN,actual score missing,,v2026-full-audit-1.0
637453,2250503,2026-05-05,fg_over,MISSING_DATA,0,4-7,WIN,actual score missing,,v2026-full-audit-1.0
637454,2250503,2026-05-05,fg_under,MISSING_DATA,1,4-7,LOSS,actual score missing,,v2026-full-audit-1.0
637464,2250504,2026-05-05,fg_ml_away,MISSING_DATA,1,2-3,LOSS,actual score missing,,v2026-full-audit-1.0
637463,2250504,2026-05-05,fg_ml_home,MISSING_DATA,0,2-3,WIN,actual score missing,,v2026-full-audit-1.0
637467,2250504,2026-05-05,fg_over,MISSING_DATA,0,2-3,LOSS,actual score missing,,v2026-full-audit-1.0
637468,2250504,2026-05-05,fg_under,MISSING_DATA,1,2-3,WIN,actual score missing,,v2026-full-audit-1.0
637478,2250505,2026-05-05,fg_ml_away,MISSING_DATA,0,3-5,LOSS,actual score missing,,v2026-full-audit-1.0
637477,2250505,2026-05-05,fg_ml_home,MISSING_DATA,1,3-5,WIN,actual score missing,,v2026-full-audit-1.0
637481,2250505,2026-05-05,fg_over,MISSING_DATA,0,3-5,WIN,actual score missing,,v2026-full-audit-1.0
637482,2250505,2026-05-05,fg_under,MISSING_DATA,1,3-5,LOSS,actual score missing,,v2026-full-audit-1.0
637492,2250506,2026-07-07,fg_ml_away,VOID,0,4-3,WIN,,gameStatus=postponed,v2026-full-audit-1.0
637491,2250506,2026-07-07,fg_ml_home,VOID,0,4-3,LOSS,,gameStatus=postponed,v2026-full-audit-1.0
637495,2250506,2026-07-07,fg_over,VOID,0,4-3,LOSS,,gameStatus=postponed,v2026-full-audit-1.0
637494,2250506,2026-07-07,fg_rl_away,VOID,0,4-3,WIN,,gameStatus=postponed,v2026-full-audit-1.0
637493,2250506,2026-07-07,fg_rl_home,VOID,0,4-3,LOSS,,gameStatus=postponed,v2026-full-audit-1.0
637496,2250506,2026-07-07,fg_under,VOID,0,4-3,WIN,,gameStatus=postponed,v2026-full-audit-1.0
637506,2250507,2026-05-05,fg_ml_away,MISSING_DATA,0,1-2,LOSS,actual score missing,,v2026-full-audit-1.0
637505,2250507,2026-05-05,fg_ml_home,MISSING_DATA,1,1-2,WIN,actual score missing,,v2026-full-audit-1.0
637509,2250507,2026-05-05,fg_over,MISSING_DATA,1,1-2,LOSS,actual score missing,,v2026-full-audit-1.0
637510,2250507,2026-05-05,fg_under,MISSING_DATA,0,1-2,WIN,actual score missing,,v2026-full-audit-1.0
637520,2250508,2026-05-07,fg_ml_away,VOID,0,2-6,LOSS,,gameStatus=postponed,v2026-full-audit-1.0
637519,2250508,2026-05-07,fg_ml_home,VOID,0,2-6,WIN,,gameStatus=postponed,v2026-full-audit-1.0
637523,2250508,2026-05-07,fg_over,VOID,0,2-6,LOSS,,gameStatus=postponed,v2026-full-audit-1.0
637522,2250508,2026-05-07,fg_rl_away,VOID,0,2-6,LOSS,,gameStatus=postponed,v2026-full-audit-1.0
