gameId,gameDate,matchup,mlbGamePk,actualAway,actualHome,schedScore,linescoreScore,bookTotal,awayRunLine,modelAwayWinPct,modelOverRate,modelAwayScore,modelHomeScore,stored_fgMlResult,derived_fgMlResult,fgMl_status,stored_fgMlCorrect,derived_fgMlCorrect,stored_fgRlResult,derived_fgRlResult,fgRl_status,stored_fgRlCorrect,derived_fgRlCorrect,stored_fgTotalResult,derived_fgTotalResult,fgTotal_status,stored_fgTotalCorrect,derived_fgTotalCorrect,stored_brierFgMl,derived_brierFgMl_away,derived_brierFgMl_home,brierFgMl_status,stored_brierFgTotal,derived_brierFgTotal,brierFgTotal_status
2250006,2026-03-25,NYY@SF 2026-03-25,823244,7,0,7-0,7-0,7,,,,,,,,both-null,,,,,both-null,,,,PUSH,stored-null-derivable,,,,,,both-null,,,both-null
2250007,2026-03-26,PIT@NYM 2026-03-26,823649,7,11,7-11,7-11,7,-1.5,45.2,52.84,3.7,4.21,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.204304,0.204304,0.204304,match-away-base,0.222407,0.222407,match
2250008,2026-03-26,CWS@MIL 2026-03-26,823812,2,14,2-14,2-14,7.5,1.5,44.2,59.41,4.31,5.01,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,OVER,OVER,match,1,1,0.195364,0.195364,0.195364,match-away-base,0.164755,0.164755,match
2250009,2026-03-26,WSH@CHC 2026-03-26,824704,10,4,10-4,10-4,7,1.5,37.44,58.79,3.58,5.03,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.391375,0.391375,0.391375,match-away-base,0.169826,0.169826,match
2250010,2026-03-26,MIN@BAL 2026-03-26,824865,1,2,1-2,1-2,8.5,1.5,39.13,42.97,3.54,4.76,WIN,WIN,match,1,1,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.153116,0.153116,0.153116,match-away-base,0.184642,0.184642,match
2250011,2026-03-26,BOS@CIN 2026-03-26,824541,3,0,3-0,3-0,8,-1.5,51.38,44.52,4.09,3.94,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,UNDER,UNDER,match,1,1,0.23639,0.23639,0.23639,match-away-base,0.198203,0.198203,match
2250012,2026-03-26,LAA@HOU 2026-03-26,824218,3,0,3-0,3-0,8,1.5,42.09,46.51,3.69,4.56,LOSS,LOSS,match,0,0,WIN,WIN,match,1,1,UNDER,UNDER,match,1,1,0.335357,0.335357,0.335357,match-away-base,0.216318,0.216318,match
2250013,2026-03-26,DET@SD 2026-03-26,823325,8,2,8-2,8-2,7,-1.5,48.2,45.4,3.47,3.65,LOSS,LOSS,match,0,0,LOSS,LOSS,match,0,0,OVER,OVER,match,0,0,0.268324,0.268324,0.268324,match-away-base,0.298116,0.298116,match
2250014,2026-03-26,TB@STL 2026-03-26,823081,7,9,7-9,7-9,8,-1.5,49.08,50.72,4.32,4.42,WIN,WIN,match,1,1,WIN,WIN,match,1,1,OVER,OVER,match,1,1,0.240885,0.240885,0.240885,match-away-base,0.242852,0.242852,match
2250015,2026-03-26,TEX@PHI 2026-03-26,823486,3,5,3-5,3-5,8,1.5,44.69,46.21,3.81,4.4,WIN,WIN,match,1,1,LOSS,LOSS,match,0,0,PUSH,PUSH,match,,,0.19972,0.19972,0.19972,match-away-base,,,both-null
