gameId,gameDate,matchup,mlbGamePk,db_actual,statsapi_actual,status
2250021,2026-03-27,LAA@HOU 2026-03-27,824216,6-2,6-2,MATCH
2250120,2026-04-04,SEA@LAA 2026-04-04,824054,0-1,0-1,MATCH
2250122,2026-04-05,BAL@PIT 2026-04-05,823405,2-8,2-8,MATCH
2250138,2026-04-06,CIN@MIA 2026-04-06,823886,2-0,2-0,MATCH
2250264,2026-04-16,TOR@MIL 2026-04-16,823801,1-2,1-2,MATCH
2250326,2026-04-21,ATL@WSH 2026-04-21,822747,4-11,4-11,MATCH
2250373,2026-04-25,CLE@TOR 2026-04-25,822826,3-5,3-5,MATCH
2250386,2026-04-26,BOS@BAL 2026-04-26,824852,5-3,5-3,MATCH
2250431,2026-04-29,STL@PIT 2026-04-29,823392,5-4,5-4,MATCH
2250487,2026-05-04,TOR@TB 2026-05-04,822984,1-5,1-5,MATCH
2250499,2026-05-05,TOR@TB 2026-05-05,822986,3-4,3-4,MATCH
2250510,2026-05-05,ATL@SEA 2026-05-05,823142,3-2,3-2,MATCH
2250519,2026-05-06,BOS@DET 2026-05-06,824282,4-0,4-0,MATCH
2250575,2026-05-10,DET@KC 2026-05-10,824113,6-3,6-3,MATCH
2250603,2026-05-13,KC@CWS 2026-05-13,824603,5-6,5-6,MATCH
2250733,2026-05-23,STL@CIN 2026-05-23 G2,824516,6-7,6-7,MATCH
2250738,2026-05-24,DET@BAL 2026-05-24 G1,824839,3-5,3-5,MATCH
2250745,2026-05-24,LAD@MIL 2026-05-24,823786,5-1,5-1,MATCH
2250836,2026-05-31,NYY@ATH 2026-05-31,825001,13-8,13-8,MATCH
2250897,2026-06-06,SEA@DET 2026-06-06,824269,4-0,4-0,MATCH
2250909,2026-06-06,LAA@LAD 2026-06-06,823942,2-9,2-9,MATCH
2251057,2026-06-19,CIN@NYY 2026-06-19,823534,0-5,0-5,MATCH
2251078,2026-06-20,LAA@ATH 2026-06-20,824988,7-0,7-0,MATCH
2251093,2026-06-21,BOS@SEA 2026-06-21,823123,1-3,1-3,MATCH
2251130,2026-06-24,CHC@NYM 2026-06-24 G2,823611,10-5,10-5,MATCH
2251143,2026-06-26,HOU@DET 2026-06-26,824255,0-8,0-8,MATCH
2251206,2026-06-30,SD@CHC 2026-06-30,824661,7-9,7-9,MATCH
2251219,2026-07-01,TB@KC 2026-07-01,824094,4-0,4-0,MATCH
2251226,2026-07-02,MIA@COL 2026-07-02,824335,4-14,4-14,MATCH
2251277,2026-07-06,MIL@STL 2026-07-06,823036,4-3,4-3,MATCH
2251290,2026-07-07,MIL@STL 2026-07-07 G2,823035,10-2,10-2,MATCH
2251317,2026-07-09,MIL@STL 2026-07-09,823034,8-4,8-4,MATCH
2251337,2026-07-11,MIL@PIT 2026-07-11 G2,823356,2-3,2-3,MATCH
2251348,2026-07-12,MIL@PIT 2026-07-12,823358,5-14,5-14,MATCH
2252517,2026-04-14,ARI@BAL 2026-04-14,824853,4-3,4-3,MATCH
2253800,2026-07-21,ATH@ARI 2026-07-21,825056,5-6,5-6,MATCH
