metric,month,series,n,n_null,mean,sd,min,p10,p25,p50,p75,p90,max
projTotal,2026-03,live,76,0,8.1447,0.7608,6.5000,7.0000,7.5000,8.0000,8.5000,9.0000,10.0000
projTotal,2026-03,p1,76,0,8.4846,0.7012,6.7600,7.7250,8.0425,8.4400,8.8425,9.4100,10.0700
projTotal,2026-03,p2,76,0,8.4846,0.7012,6.7600,7.7250,8.0425,8.4400,8.8425,9.4100,10.0700
projTotal,2026-04,live,388,4,8.2668,1.0737,6.0000,7.0000,7.5000,8.0000,9.0000,9.5000,16.0000
projTotal,2026-04,p1,392,0,8.6827,1.2663,6.1400,7.3320,7.8450,8.5000,9.3025,10.2390,14.8300
projTotal,2026-04,p2,392,0,8.6827,1.2663,6.1400,7.3320,7.8450,8.5000,9.3025,10.2390,14.8300
projTotal,2026-05,live,405,14,8.4688,1.0784,6.0700,7.2440,7.8100,8.3200,9.0000,9.9600,12.3000
projTotal,2026-05,p1,419,0,8.7823,1.1847,6.7400,7.4560,7.9500,8.5600,9.3350,10.4220,14.3600
projTotal,2026-05,p2,419,0,9.1832,1.2388,7.0480,7.7960,8.3125,8.9510,9.7610,10.8976,15.0150
projTotal,2026-06,live,394,0,8.6401,1.1076,6.3400,7.4260,7.8825,8.4700,9.2475,9.9830,14.0900
projTotal,2026-06,p1,394,0,8.8908,1.1629,6.4800,7.7260,8.0900,8.7350,9.3600,10.2100,15.3600
projTotal,2026-06,p2,394,0,9.0287,1.1809,6.5810,7.8460,8.2153,8.8705,9.5050,10.3680,15.5980
projTotal,2026-07,live,274,0,8.6820,1.1655,6.5100,7.4130,7.8300,8.5450,9.3175,10.2120,12.6600
projTotal,2026-07,p1,274,0,8.9258,1.1795,6.6500,7.6600,8.1400,8.8050,9.5175,10.3110,13.7300
projTotal,2026-07,p2,274,0,9.1590,1.2103,6.8240,7.8600,8.3530,9.0350,9.7662,10.5807,14.0890
projTotal,ALL,live,1537,18,8.4837,1.1004,6.0000,7.3400,7.7700,8.4000,9.0000,9.8140,16.0000
projTotal,ALL,p1,1555,0,8.7954,1.1851,6.1400,7.5400,7.9900,8.6100,9.3500,10.2500,15.3600
projTotal,ALL,p2,1555,0,8.9795,1.2254,6.1400,7.6658,8.1430,8.7830,9.5360,10.4892,15.5980
pAwayMl,2026-03,live,75,1,0.4411,0.0485,0.3606,0.3794,0.4016,0.4393,0.4693,0.5072,0.5918
pAwayMl,2026-03,p1,76,0,0.4254,0.0457,0.3151,0.3678,0.3923,0.4234,0.4586,0.4760,0.5247
pAwayMl,2026-03,p2,76,0,0.4254,0.0457,0.3151,0.3678,0.3923,0.4234,0.4586,0.4760,0.5247
pAwayMl,2026-04,live,388,4,0.4664,0.0518,0.2961,0.4064,0.4351,0.4646,0.5001,0.5283,0.6484
pAwayMl,2026-04,p1,392,0,0.4351,0.0679,0.2351,0.3461,0.3925,0.4386,0.4844,0.5181,0.6646
pAwayMl,2026-04,p2,392,0,0.4351,0.0679,0.2351,0.3461,0.3925,0.4386,0.4844,0.5181,0.6646
pAwayMl,2026-05,live,405,14,0.4501,0.0593,0.2480,0.3798,0.4133,0.4477,0.4888,0.5192,0.6475
pAwayMl,2026-05,p1,419,0,0.4413,0.0634,0.2715,0.3594,0.3944,0.4396,0.4852,0.5231,0.6478
pAwayMl,2026-05,p2,419,0,0.4702,0.0323,0.3791,0.4283,0.4467,0.4697,0.4926,0.5116,0.5755
pAwayMl,2026-06,live,394,0,0.4395,0.0587,0.2937,0.3645,0.3997,0.4393,0.4734,0.5127,0.6097
pAwayMl,2026-06,p1,394,0,0.4393,0.0583,0.2980,0.3625,0.4015,0.4367,0.4817,0.5163,0.6200
pAwayMl,2026-06,p2,394,0,0.4607,0.0379,0.3660,0.4105,0.4364,0.4593,0.4882,0.5105,0.5778
pAwayMl,2026-07,live,274,0,0.4377,0.0521,0.2879,0.3734,0.4032,0.4389,0.4676,0.5037,0.6082
pAwayMl,2026-07,p1,274,0,0.4358,0.0535,0.2916,0.3685,0.4032,0.4324,0.4687,0.5053,0.6024
pAwayMl,2026-07,p2,274,0,0.4562,0.0368,0.3542,0.4099,0.4340,0.4541,0.4788,0.5036,0.5698
pAwayMl,ALL,live,1536,19,0.4488,0.0566,0.2480,0.3794,0.4126,0.4481,0.4863,0.5189,0.6484
pAwayMl,ALL,p1,1555,0,0.4375,0.0610,0.2351,0.3594,0.3978,0.4364,0.4799,0.5171,0.6646
pAwayMl,ALL,p2,1555,0,0.4543,0.0485,0.2351,0.3944,0.4292,0.4568,0.4869,0.5108,0.6646
