month,param,stored,refit,abs_diff,gate,verdict
2026-03,league_env_mult,1.0,1.00000,0.000000,yes,PASS
2026-03,T_fg,1.0,1.00000,0.000000,yes,PASS
2026-03,T_f5,1.0,1.00000,0.000000,yes,PASS
2026-03,total_sd,4.5,4.50000,0.000000,yes,PASS
2026-03,f5_total_sd,2.9,2.90000,0.000000,yes,PASS
2026-03,k_factor,1.0,1.00000,0.000000,yes,PASS
2026-03,hr_factor,1.0,1.00000,0.000000,info-only,
2026-03,n_train_games,0,0,0.000000,yes,
2026-03,n_train_final,,,,yes,
2026-03,n_T_fg,,,,yes,
2026-03,n_T_f5,,,,yes,
2026-03,n_k_train,,,,yes,
2026-03,n_hr_train,,,,info-only,
2026-04,league_env_mult,1.0,1.00000,0.000000,yes,PASS
2026-04,T_fg,1.0,1.00000,0.000000,yes,PASS
2026-04,T_f5,1.0,1.00000,0.000000,yes,PASS
2026-04,total_sd,4.5,4.50000,0.000000,yes,PASS
2026-04,f5_total_sd,2.9,2.90000,0.000000,yes,PASS
2026-04,k_factor,1.0,1.00000,0.000000,yes,PASS
2026-04,hr_factor,1.0,1.00000,0.000000,info-only,
2026-04,n_train_games,0,0,0.000000,yes,
2026-04,n_train_final,,,,yes,
2026-04,n_T_fg,,,,yes,
2026-04,n_T_f5,,,,yes,
2026-04,n_k_train,,,,yes,
2026-04,n_hr_train,,,,info-only,
2026-05,league_env_mult,1.04564,1.04564,0.000001,yes,PASS
2026-05,T_fg,2.0013,2.00130,0.000003,yes,PASS
2026-05,T_f5,1.4814,1.48142,0.000017,yes,PASS
2026-05,total_sd,4.4623,4.46230,0.000001,yes,PASS
2026-05,f5_total_sd,3.0471,3.04710,0.000004,yes,PASS
2026-05,k_factor,0.84278,0.84278,0.000001,yes,PASS
2026-05,hr_factor,0.97088,1.05189,0.081007,info-only,
2026-05,n_train_games,468,468,0.000000,yes,PASS
2026-05,n_train_final,465,465,0.000000,yes,PASS
2026-05,n_T_fg,465,465,0.000000,yes,PASS
2026-05,n_T_f5,389,389,0.000000,yes,PASS
2026-05,n_k_train,936,936,0.000000,yes,PASS
2026-05,n_hr_train,8424,6435,1989.000000,info-only,
2026-06,league_env_mult,1.01551,1.01551,0.000004,yes,PASS
2026-06,T_fg,1.5599,1.55989,0.000007,yes,PASS
2026-06,T_f5,1.572,1.57195,0.000048,yes,PASS
2026-06,total_sd,4.3619,4.36193,0.000026,yes,PASS
2026-06,f5_total_sd,3.0969,3.09694,0.000043,yes,PASS
2026-06,k_factor,0.85849,0.85849,0.000001,yes,PASS
2026-06,hr_factor,0.96081,1.02447,0.063658,info-only,
2026-06,n_train_games,887,887,0.000000,yes,PASS
2026-06,n_train_final,881,881,0.000000,yes,PASS
2026-06,n_T_fg,881,881,0.000000,yes,PASS
2026-06,n_T_f5,747,747,0.000000,yes,PASS
2026-06,n_k_train,1774,1774,0.000000,yes,PASS
2026-06,n_hr_train,15966,10489,5477.000000,info-only,
2026-07,league_env_mult,1.02613,1.02613,0.000002,yes,PASS
2026-07,T_fg,1.4781,1.47814,0.000041,yes,PASS
2026-07,T_f5,1.6597,1.65971,0.000010,yes,PASS
2026-07,total_sd,4.3925,4.39250,0.000000,yes,PASS
2026-07,f5_total_sd,3.18,3.18000,0.000004,yes,PASS
2026-07,k_factor,0.87373,0.87373,0.000000,yes,PASS
2026-07,hr_factor,1.00182,1.03213,0.030308,info-only,
2026-07,n_train_games,1281,1281,0.000000,yes,PASS
2026-07,n_train_final,1273,1273,0.000000,yes,PASS
2026-07,n_T_fg,1273,1273,0.000000,yes,PASS
2026-07,n_T_f5,1074,1074,0.000000,yes,PASS
2026-07,n_k_train,2562,2562,0.000000,yes,PASS
2026-07,n_hr_train,23058,10864,12194.000000,info-only,
