gameId,gameDate,month,pAwayMl,pOver,pAwayRl,projAwayScore,projHomeScore,projTotal,additivity_abs_diff,core_violations,supp_violations
2250006,2026-03-25,2026-03,0.47580,0.51410,0.37000,3.900,3.850,7.750,0.000000,,
2250007,2026-03-26,2026-03,0.46150,0.52790,0.35940,3.900,4.000,7.900,0.000000,,
2250008,2026-03-26,2026-03,0.41940,0.50160,0.58210,3.840,4.390,8.220,0.010000,,
2250009,2026-03-26,2026-03,0.37270,0.60110,0.53110,3.820,4.940,8.760,0.000000,,
2250010,2026-03-26,2026-03,0.37720,0.40510,0.54540,3.510,4.510,8.020,0.000000,,
2250011,2026-03-26,2026-03,0.45810,0.49730,0.36480,4.240,4.380,8.620,0.000000,,
2250012,2026-03-26,2026-03,0.35920,0.46930,0.52340,3.540,4.770,8.300,0.010000,,
2250013,2026-03-26,2026-03,0.46900,0.41710,0.35000,3.370,3.390,6.760,0.000000,,
2250014,2026-03-26,2026-03,0.46670,0.42480,0.36340,3.880,3.920,7.810,0.010000,,
2250015,2026-03-26,2026-03,0.46780,0.45710,0.62820,4.070,4.090,8.160,0.000000,,
2250016,2026-03-26,2026-03,0.40080,0.52610,0.57830,3.310,3.990,7.300,0.000000,,
2250017,2026-03-27,2026-03,0.43510,0.40710,0.33820,3.840,4.210,8.050,0.000000,,
2250018,2026-03-27,2026-03,0.38390,0.44990,0.54500,3.780,4.750,8.530,0.000000,,
2250019,2026-03-27,2026-03,0.45990,0.51860,0.61240,4.380,4.500,8.880,0.000000,,
2250020,2026-03-27,2026-03,0.40350,0.48170,0.56970,3.640,4.360,8.000,0.000000,,
2250021,2026-03-27,2026-03,0.40110,0.46670,0.55850,3.970,4.750,8.720,0.000000,,
2250022,2026-03-27,2026-03,0.45810,0.43820,0.62600,3.710,3.830,7.530,0.010000,,
2250023,2026-03-27,2026-03,0.43050,0.48020,0.60350,3.500,3.890,7.390,0.000000,,
2250024,2026-03-28,2026-03,0.44060,0.48690,0.34340,3.870,4.190,8.060,0.000000,,
2250025,2026-03-28,2026-03,0.36740,0.43000,0.53210,3.590,4.720,8.300,0.010000,,
2250026,2026-03-28,2026-03,0.44810,0.50540,0.60400,4.230,4.470,8.700,0.000000,,
2250027,2026-03-28,2026-03,0.38110,0.53370,0.54120,3.790,4.790,8.590,0.010000,,
2250028,2026-03-28,2026-03,0.47630,0.56570,0.62620,4.520,4.450,8.970,0.000000,,
2250029,2026-03-28,2026-03,0.42940,0.51620,0.33630,3.970,4.410,8.380,0.000000,,
2250030,2026-03-28,2026-03,0.41470,0.53510,0.57300,3.990,4.610,8.600,0.000000,,
2250031,2026-03-28,2026-03,0.42130,0.51950,0.58270,3.950,4.480,8.430,0.000000,,
2250032,2026-03-28,2026-03,0.41950,0.39720,0.58020,3.940,4.500,8.450,0.010000,,
2250033,2026-03-28,2026-03,0.38170,0.49750,0.54120,3.810,4.810,8.630,0.010000,,
2250034,2026-03-28,2026-03,0.51880,0.55830,0.65730,5.230,4.620,9.850,0.000000,,
2250035,2026-03-28,2026-03,0.38250,0.41950,0.29440,3.620,4.560,8.180,0.000000,,
2250036,2026-03-28,2026-03,0.43560,0.44440,0.33730,3.830,4.190,8.020,0.000000,,
