gameId,gameDate,month,d_pAwayMl,d_projAwayScore,d_projHomeScore,d_projTotal,d_pOver,d_pAwayRl,d_pF5AwayMl,d_projF5Total,d_pF5Over,d_pF5AwayRl,d_pNrfi,nrfi_mode,max_abs_diff,violations
2250006,2026-03-25,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250007,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250008,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250009,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250010,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250011,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250012,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250013,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250014,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250015,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250016,2026-03-26,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
2250017,2026-03-27,2026-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,prior_only_passthrough,0.00e+00,
