metric,month,pair,n_both,mean_diff(b-a),mean_abs_diff,max_abs_diff,corr
projTotal,2026-03,live_vs_p1,76,0.3399,0.5857,1.9000,0.5911
projTotal,2026-04,live_vs_p1,388,0.4098,0.8995,5.8400,0.5213
projTotal,2026-05,live_vs_p1,405,0.2931,0.5637,2.2100,0.8293
projTotal,2026-06,live_vs_p1,394,0.2507,0.4170,2.6500,0.9048
projTotal,2026-07,live_vs_p1,274,0.2438,0.3704,1.9300,0.9388
projTotal,ALL,live_vs_p1,1537,0.3052,0.5775,5.8400,0.7825
projTotal,2026-03,p1_vs_p2,76,0.0000,0.0000,0.0000,1.0000
projTotal,2026-04,p1_vs_p2,392,0.0000,0.0000,0.0000,1.0000
projTotal,2026-05,p1_vs_p2,419,0.4008,0.4008,0.6550,1.0000
projTotal,2026-06,p1_vs_p2,394,0.1379,0.1379,0.2380,1.0000
projTotal,2026-07,p1_vs_p2,274,0.2332,0.2332,0.3590,1.0000
projTotal,ALL,p1_vs_p2,1555,0.1840,0.1840,0.6550,0.9920
projTotal,2026-03,live_vs_p2,76,0.3399,0.5857,1.9000,0.5911
projTotal,2026-04,live_vs_p2,388,0.4098,0.8995,5.8400,0.5213
projTotal,2026-05,live_vs_p2,405,0.6930,0.8029,2.7900,0.8293
projTotal,2026-06,live_vs_p2,394,0.3886,0.4924,2.8360,0.9048
projTotal,2026-07,live_vs_p2,274,0.4770,0.5376,2.1330,0.9388
projTotal,ALL,live_vs_p2,1537,0.4875,0.6896,5.8400,0.7838
pAwayMl,2026-03,live_vs_p1,75,-0.0164,0.0278,0.1196,0.7549
pAwayMl,2026-04,live_vs_p1,388,-0.0313,0.0610,0.2660,0.3124
pAwayMl,2026-05,live_vs_p1,405,-0.0082,0.0387,0.2595,0.6014
pAwayMl,2026-06,live_vs_p1,394,-0.0002,0.0231,0.1778,0.8424
pAwayMl,2026-07,live_vs_p1,274,-0.0019,0.0218,0.1282,0.8184
pAwayMl,ALL,live_vs_p1,1536,-0.0113,0.0368,0.2660,0.6055
pAwayMl,2026-03,p1_vs_p2,76,0.0000,0.0000,0.0000,1.0000
pAwayMl,2026-04,p1_vs_p2,392,0.0000,0.0000,0.0000,1.0000
pAwayMl,2026-05,p1_vs_p2,419,0.0289,0.0354,0.1076,0.9999
pAwayMl,2026-06,p1_vs_p2,394,0.0214,0.0247,0.0680,0.9999
pAwayMl,2026-07,p1_vs_p2,274,0.0204,0.0226,0.0626,0.9999
pAwayMl,ALL,p1_vs_p2,1555,0.0168,0.0198,0.1076,0.9339
pAwayMl,2026-03,live_vs_p2,75,-0.0164,0.0278,0.1196,0.7549
pAwayMl,2026-04,live_vs_p2,388,-0.0313,0.0610,0.2660,0.3124
pAwayMl,2026-05,live_vs_p2,405,0.0204,0.0411,0.2114,0.6011
pAwayMl,2026-06,live_vs_p2,394,0.0211,0.0309,0.1844,0.8422
pAwayMl,2026-07,live_vs_p2,274,0.0185,0.0278,0.1384,0.8183
pAwayMl,ALL,live_vs_p2,1536,0.0054,0.0405,0.2660,0.4837
