park,n,parkFactor3yr,ratio_p1,ratio_p2,bias_p2,t_p2,shrunk_mult_n0_20,shrunk_mult_n0_40,shrunk_mult_n0_60
ARI,53,1.0805,0.9711,0.9513,-0.4770,-0.69,0.9647,0.9723,0.9772
ATH,50,1.2480,1.1357,1.1111,+1.2482,+1.45,1.0794,1.0617,1.0505
ATL,52,0.9774,1.0461,1.0274,+0.2397,+0.43,1.0198,1.0155,1.0127
BAL,54,1.0451,1.0035,0.9828,-0.1660,-0.33,0.9875,0.9901,0.9919
BOS,52,0.9539,0.9632,0.9425,-0.4806,-0.99,0.9585,0.9675,0.9733
CHC,52,1.0051,1.0879,1.0661,+0.6006,+0.84,1.0477,1.0373,1.0307
CIN,50,0.9903,0.9880,0.9697,-0.2748,-0.44,0.9784,0.9832,0.9862
CLE,53,0.9211,1.0270,1.0051,+0.0413,+0.08,1.0037,1.0029,1.0024
COL,53,1.2636,0.9416,0.9211,-0.9655,-1.57,0.9427,0.9550,0.9630
CWS,49,0.9535,1.0805,1.0570,+0.4742,+0.71,1.0405,1.0314,1.0256
DET,52,0.9350,0.9772,0.9551,-0.3718,-0.66,0.9676,0.9746,0.9791
HOU,53,0.9912,1.0533,1.0329,+0.2937,+0.46,1.0239,1.0187,1.0154
KC,53,0.9982,1.1133,1.0890,+0.7925,+1.07,1.0646,1.0507,1.0417
LAA,52,0.9770,0.9502,0.9289,-0.6259,-1.11,0.9486,0.9598,0.9670
LAD,50,1.0010,0.9615,0.9423,-0.5135,-0.90,0.9588,0.9679,0.9738
MIA,52,0.9586,0.9463,0.9259,-0.6281,-1.22,0.9465,0.9581,0.9656
MIL,54,0.9522,1.0490,1.0298,+0.2461,+0.39,1.0218,1.0171,1.0141
MIN,52,1.0394,0.9900,0.9714,-0.2670,-0.44,0.9794,0.9838,0.9867
NYM,50,1.0239,1.0376,1.0187,+0.1704,+0.25,1.0134,1.0104,1.0085
NYY,49,1.0183,1.0442,1.0221,+0.1960,+0.30,1.0157,1.0122,1.0099
PHI,53,1.0485,1.0112,0.9925,-0.0712,-0.11,0.9946,0.9957,0.9965
PIT,52,1.0512,1.1956,1.1708,+1.5513,+2.04,1.1233,1.0965,1.0793
SD,51,0.8944,0.9716,0.9511,-0.3972,-0.71,0.9649,0.9726,0.9775
SEA,53,0.8411,1.0165,0.9955,-0.0332,-0.07,0.9967,0.9974,0.9979
SF,48,0.9410,1.0262,1.0063,+0.0527,+0.09,1.0045,1.0034,1.0028
STL,54,0.9271,0.9824,0.9619,-0.3213,-0.56,0.9722,0.9781,0.9820
TB,51,0.9852,1.0736,1.0500,+0.4276,+0.67,1.0359,1.0280,1.0230
TEX,50,0.8833,1.0699,1.0471,+0.3722,+0.70,1.0336,1.0262,1.0214
TOR,56,1.0028,0.9875,0.9698,-0.2678,-0.45,0.9778,0.9824,0.9854
WSH,52,1.1535,1.0943,1.0697,+0.7347,+1.08,1.0504,1.0394,1.0324
