family,slice,n,ratio_p1,ratio_p2,bias_p1,bias_p2,sd_p2,t_p2,mae_p1,mae_p2
month,2026-03,76,1.0158,1.0158,0.1338,0.1338,4.4794,0.2604,3.6888,3.6888
month,2026-04,392,1.0492,1.0492,0.4270,0.4270,4.4672,1.8926,3.5391,3.5391
month,2026-05,419,0.9802,0.9374,-0.1737,-0.5746,4.2276,-2.7820,3.3853,3.4604
month,2026-06,394,1.0514,1.0353,0.4570,0.3190,4.4540,1.4218,3.3597,3.3668
month,2026-07,274,1.0316,1.0054,0.2823,0.0490,4.6948,0.1729,3.7733,3.8039
dayNight,day,585,1.0258,1.0055,0.2263,0.0495,4.4682,0.2678,3.5123,3.5397
dayNight,night,970,1.0269,1.0054,0.2369,0.0485,4.4491,0.3392,3.4938,3.5213
roof,open,1184,1.0309,1.0096,0.2758,0.0871,4.5201,0.6634,3.5403,3.5653
roof,roof,371,1.0115,0.9914,0.0960,-0.0734,4.2433,-0.3332,3.3748,3.4098
monthXdayNight,2026-03|day,35,1.0928,1.0928,0.7791,0.7791,4.7636,0.9676,3.9317,3.9317
monthXdayNight,2026-03|night,41,0.9513,0.9513,-0.4171,-0.4171,4.2021,-0.6355,3.4815,3.4815
monthXdayNight,2026-04|day,170,1.0359,1.0359,0.3130,0.3130,4.3287,0.9428,3.4511,3.4511
monthXdayNight,2026-04|night,222,1.0595,1.0595,0.5143,0.5143,4.5781,1.6739,3.6065,3.6065
monthXdayNight,2026-05|day,158,0.9736,0.9311,-0.2328,-0.6351,4.3814,-1.8219,3.5578,3.6376
monthXdayNight,2026-05|night,261,0.9843,0.9413,-0.1380,-0.5380,4.1399,-2.0994,3.2808,3.3531
monthXdayNight,2026-06|day,124,1.0494,1.0334,0.4345,0.2981,4.4625,0.7440,3.2698,3.2773
monthXdayNight,2026-06|night,270,1.0523,1.0362,0.4673,0.3286,4.4584,1.2112,3.4010,3.4079
monthXdayNight,2026-07|day,98,1.0396,1.0131,0.3549,0.1207,4.7026,0.2542,3.7020,3.7276
monthXdayNight,2026-07|night,176,1.0272,1.0010,0.2418,0.0091,4.7034,0.0256,3.8130,3.8464
park,ARI,53,0.9711,0.9513,-0.2774,-0.4770,5.0118,-0.6929,3.8585,3.9747
park,ATH,50,1.1357,1.1111,1.4910,1.2482,6.0794,1.4518,4.3098,4.3843
park,ATL,52,1.0461,1.0274,0.3956,0.2397,4.0239,0.4296,3.1687,3.1917
park,BAL,54,1.0035,0.9828,0.0335,-0.1660,3.7312,-0.3270,3.0172,3.0637
park,BOS,52,0.9632,0.9425,-0.3013,-0.4806,3.5026,-0.9894,2.8887,2.8922
park,CHC,52,1.0879,1.0661,0.7835,0.6006,5.1392,0.8428,4.0708,4.0709
park,CIN,50,0.9880,0.9697,-0.1072,-0.2748,4.4189,-0.4398,3.6972,3.6967
park,CLE,53,1.0270,1.0051,0.2157,0.0413,3.7682,0.0797,3.1911,3.1532
park,COL,53,0.9416,0.9211,-0.6983,-0.9655,4.4788,-1.5693,3.6564,3.6664
park,CWS,49,1.0805,1.0570,0.6551,0.4742,4.6755,0.7100,3.5008,3.4940
park,DET,52,0.9772,0.9551,-0.1842,-0.3718,4.0906,-0.6555,3.0327,3.1064
park,HOU,53,1.0533,1.0329,0.4668,0.2937,4.6170,0.4631,3.6657,3.6838
park,KC,53,1.1133,1.0890,0.9872,0.7925,5.3903,1.0703,4.1540,4.2350
park,LAA,52,0.9502,0.9289,-0.4283,-0.6259,4.0801,-1.1062,3.2467,3.2996
park,LAD,50,0.9615,0.9423,-0.3360,-0.5135,4.0408,-0.8986,3.2528,3.2971
park,MIA,52,0.9463,0.9259,-0.4452,-0.6281,3.7101,-1.2207,3.0710,3.1059
park,MIL,54,1.0490,1.0298,0.3967,0.2461,4.6177,0.3917,3.5237,3.5840
park,MIN,52,0.9900,0.9714,-0.0921,-0.2670,4.4224,-0.4354,3.5498,3.6005
park,NYM,50,1.0376,1.0187,0.3354,0.1704,4.8857,0.2466,3.5158,3.5343
park,NYY,49,1.0442,1.0221,0.3839,0.1960,4.5662,0.3005,3.7557,3.7530
park,PHI,53,1.0112,0.9925,0.1051,-0.0712,4.5269,-0.1146,3.6402,3.6617
park,PIT,52,1.1956,1.1708,1.7398,1.5513,5.4951,2.0357,4.6587,4.6037
park,SD,51,0.9716,0.9511,-0.2255,-0.3972,4.0049,-0.7083,3.0541,3.1452
park,SEA,53,1.0165,0.9955,0.1200,-0.0332,3.2789,-0.0738,2.5653,2.5957
park,SF,48,1.0262,1.0063,0.2152,0.0527,4.1597,0.0878,3.4227,3.4156
park,STL,54,0.9824,0.9619,-0.1456,-0.3213,4.2373,-0.5572,3.3267,3.3889
park,TB,51,1.0736,1.0500,0.6155,0.4276,4.5310,0.6740,3.3963,3.4291
park,TEX,50,1.0699,1.0471,0.5410,0.3722,3.7564,0.7007,3.1298,3.0876
park,TOR,56,0.9875,0.9698,-0.1093,-0.2678,4.5036,-0.4450,3.7650,3.7883
park,WSH,52,1.0943,1.0697,0.9715,0.7347,4.9103,1.0790,3.9512,3.9454
lineBucket,8-8.5,636,1.0169,0.9963,0.1449,-0.0323,4.3253,-0.1884,3.4240,3.4470
lineBucket,9-9.5,376,1.0357,1.0140,0.3315,0.1324,4.4751,0.5738,3.6022,3.6223
lineBucket,<=7.5,399,1.0194,0.9989,0.1544,-0.0092,4.2087,-0.0435,3.2792,3.3153
lineBucket,>=10,143,1.0538,1.0316,0.5816,0.3482,5.5532,0.7498,4.2146,4.2567
lineBucket,noline,1,1.0676,1.0676,0.5700,0.5700,nan,nan,0.5700,0.5700
doubleheader,N,1527,1.0278,1.0068,0.2448,0.0608,4.4635,0.5324,3.5075,3.5350
doubleheader,S,23,0.9914,0.9667,-0.0752,-0.2999,3.3245,-0.4326,2.5170,2.5477
doubleheader,Y,5,0.7776,0.7776,-2.0020,-2.0020,6.5407,-0.6844,5.9660,5.9660
halfMonth,2026-03|H2,76,1.0158,1.0158,0.1338,0.1338,4.4794,0.2604,3.6888,3.6888
halfMonth,2026-04|H1,197,1.0485,1.0485,0.4142,0.4142,4.5921,1.2659,3.6902,3.6902
halfMonth,2026-04|H2,195,1.0498,1.0498,0.4400,0.4400,4.3491,1.4128,3.3865,3.3865
halfMonth,2026-05|H1,201,0.9462,0.9049,-0.4714,-0.8713,4.0533,-3.0475,3.3112,3.3981
halfMonth,2026-05|H2,218,1.0114,0.9673,0.1007,-0.3010,4.3737,-1.0163,3.4536,3.5177
halfMonth,2026-06|H1,191,1.0797,1.0632,0.7061,0.5686,4.4375,1.7709,3.2474,3.2483
halfMonth,2026-06|H2,203,1.0250,1.0093,0.2225,0.0842,4.4677,0.2685,3.4654,3.4782
halfMonth,2026-07|H1,163,1.0488,1.0221,0.4362,0.2028,4.8025,0.5391,3.8712,3.9006
halfMonth,2026-07|H2,111,1.0063,0.9807,0.0562,-0.1768,4.5440,-0.4098,3.6295,3.6619
MJ-park,ARI,38,0.9032,0.8779,-0.9368,-1.2153,4.3802,-1.7103,3.3342,3.4963
MJ-park,ATH,37,1.1729,1.1393,1.9208,1.5927,6.6106,1.4655,4.6581,4.7588
MJ-park,ATL,34,1.0578,1.0294,0.4997,0.2613,4.2805,0.3560,3.3779,3.4132
MJ-park,BAL,36,0.9400,0.9114,-0.5725,-0.8718,3.5250,-1.4840,2.8469,2.9167
MJ-park,BOS,39,0.9911,0.9631,-0.0728,-0.3118,3.2622,-0.5969,2.6205,2.6252
MJ-park,CHC,36,1.1127,1.0811,1.0183,0.7542,5.4901,0.8243,4.3394,4.3397
MJ-park,CIN,32,0.9297,0.9036,-0.6384,-0.9003,4.2751,-1.1914,3.5709,3.5702
MJ-park,CLE,37,1.1027,1.0692,0.8203,0.5705,3.6161,0.9596,3.0473,2.9930
MJ-park,COL,40,0.9844,0.9562,-0.1860,-0.5400,4.3564,-0.7839,3.4980,3.5112
MJ-park,CWS,34,1.1240,1.0893,1.0156,0.7549,5.1203,0.8597,3.9121,3.9022
MJ-park,DET,40,0.9396,0.9122,-0.4920,-0.7359,3.1919,-1.4581,2.4990,2.5948
MJ-park,HOU,37,0.9895,0.9618,-0.0903,-0.3382,4.6025,-0.4470,3.6405,3.6665
MJ-park,KC,37,1.0890,1.0557,0.7862,0.5073,5.1893,0.5946,3.9116,4.0277
MJ-park,LAA,40,0.9741,0.9462,-0.2252,-0.4822,4.0995,-0.7439,3.2248,3.2934
MJ-park,LAD,32,0.9914,0.9614,-0.0769,-0.3542,4.3459,-0.4611,3.4162,3.4855
MJ-park,MIA,36,0.9318,0.9030,-0.5650,-0.8291,3.9514,-1.2590,3.3139,3.3644
MJ-park,MIL,36,1.0002,0.9729,0.0017,-0.2241,4.4078,-0.3051,3.2100,3.3004
MJ-park,MIN,35,0.9533,0.9274,-0.4337,-0.6936,4.4531,-0.9214,3.6760,3.7513
MJ-park,NYM,32,1.0734,1.0434,0.6584,0.4006,4.6292,0.4895,3.1516,3.1805
MJ-park,NYY,36,0.9789,0.9511,-0.1842,-0.4399,4.1618,-0.6341,3.5686,3.5650
