gameId,gameDate,month,mlbGamePk,awayTeam,homeTeam,venue,parkFactor3yr,roof,doubleHeader,gameNumber,startET,localHour,dayNight,aScore,hScore,totalActual,homeWin,lineOu,lineSrc,p1_pAwayMl,p1_projTotal,p1_pOver,p1_projAway,p1_projHome,p1_pAwayRl,p2_pAwayMl,p2_projTotal,p2_pOver,envMultUsed,TfgUsed,totalSdUsed
2250006,2026-03-25,2026-03,823244,NYY,SF,Oracle Park,0.9410097101514341,open,N,1,19.083,16.083,day,7,0,7.0,0,7.0,games.bookTotal,0.47580,7.750,0.51410,3.900,3.850,0.37000,0.47580,7.750,0.51410,1.0,1.0,4.5
2250007,2026-03-26,2026-03,823649,PIT,NYM,Citi Field,1.0238596433357876,open,N,1,12.25,12.25,day,7,11,18.0,1,7.0,games.bookTotal,0.46150,7.900,0.52790,3.900,4.000,0.35940,0.46150,7.900,0.52790,1.0,1.0,4.5
2250008,2026-03-26,2026-03,823812,CWS,MIL,American Family Field,0.9522189984168762,roof,N,1,13.167,12.167,day,2,14,16.0,1,7.5,games.bookTotal,0.41940,8.220,0.50160,3.840,4.390,0.58210,0.41940,8.220,0.50160,1.0,1.0,4.5
2250009,2026-03-26,2026-03,824704,WSH,CHC,Wrigley Field,1.005140346320558,open,N,1,13.333,12.333,day,10,4,14.0,0,7.0,games.bookTotal,0.37270,8.760,0.60110,3.820,4.940,0.53110,0.37270,8.760,0.60110,1.0,1.0,4.5
2250010,2026-03-26,2026-03,824865,MIN,BAL,Oriole Park at Camden Yards,1.0451331923662392,open,N,1,14.083,14.083,day,1,2,3.0,1,8.5,games.bookTotal,0.37720,8.020,0.40510,3.510,4.510,0.54540,0.37720,8.020,0.40510,1.0,1.0,4.5
2250011,2026-03-26,2026-03,824541,BOS,CIN,Great American Ball Park,0.9902854490964874,open,N,1,15.167,15.167,day,3,0,3.0,0,8.0,games.bookTotal,0.45810,8.620,0.49730,4.240,4.380,0.36480,0.45810,8.620,0.49730,1.0,1.0,4.5
2250012,2026-03-26,2026-03,824218,LAA,HOU,Daikin Park,0.9911732357433639,roof,N,1,15.167,14.167,day,3,0,3.0,0,8.0,games.bookTotal,0.35920,8.300,0.46930,3.540,4.770,0.52340,0.35920,8.300,0.46930,1.0,1.0,4.5
2250013,2026-03-26,2026-03,823325,DET,SD,Petco Park,0.8944051349677884,open,N,1,15.167,12.167,day,8,2,10.0,0,7.0,games.bookTotal,0.46900,6.760,0.41710,3.370,3.390,0.35000,0.46900,6.760,0.41710,1.0,1.0,4.5
2250014,2026-03-26,2026-03,823081,TB,STL,Busch Stadium,0.9270781176097251,open,N,1,15.25,14.25,day,7,9,16.0,1,8.0,games.bookTotal,0.46670,7.810,0.42480,3.880,3.920,0.36340,0.46670,7.810,0.42480,1.0,1.0,4.5
2250015,2026-03-26,2026-03,823486,TEX,PHI,Citizens Bank Park,1.0484931745187165,open,N,1,15.25,15.25,day,3,5,8.0,1,8.0,games.bookTotal,0.46780,8.160,0.45710,4.070,4.090,0.62820,0.46780,8.160,0.45710,1.0,1.0,4.5
2250016,2026-03-26,2026-03,823163,CLE,SEA,T-Mobile Park,0.8411265978531404,roof,N,1,21.167,18.167,night,6,4,10.0,0,6.5,games.bookTotal,0.40080,7.300,0.52610,3.310,3.990,0.57830,0.40080,7.300,0.52610,1.0,1.0,4.5
2252284,2026-03-26,2026-03,823974,ARI,LAD,Dodger Stadium,1.0009612737608329,open,N,1,19.5,16.5,day,2,8,10.0,1,9.0,games.bookTotal,0.34080,8.610,0.41130,3.580,5.030,0.50240,0.34080,8.610,0.41130,1.0,1.0,4.5
2250017,2026-03-27,2026-03,823243,NYY,SF,Oracle Park,0.9410097101514341,open,N,1,15.583,12.583,day,3,0,3.0,0,8.5,games.bookTotal,0.43510,8.050,0.40710,3.840,4.210,0.33820,0.43510,8.050,0.40710,1.0,1.0,4.5
2250018,2026-03-27,2026-03,822839,ATH,TOR,Rogers Centre,1.0028292007511364,roof,N,1,18.117,18.117,night,2,3,5.0,1,8.5,games.bookTotal,0.38390,8.530,0.44990,3.780,4.750,0.54500,0.38390,8.530,0.44990,1.0,1.0,4.5
2250019,2026-03-27,2026-03,823893,COL,MIA,loanDepot park,0.9585538609518026,roof,N,1,18.167,18.167,night,1,2,3.0,1,8.0,games.bookTotal,0.45990,8.880,0.51860,4.380,4.500,0.61240,0.45990,8.880,0.51860,1.0,1.0,4.5
2250020,2026-03-27,2026-03,824946,KC,ATL,Truist Park,0.9774370157800405,open,N,1,18.25,18.25,night,0,6,6.0,1,7.5,games.bookTotal,0.40350,8.000,0.48170,3.640,4.360,0.56970,0.40350,8.000,0.48170,1.0,1.0,4.5
2250021,2026-03-27,2026-03,824216,LAA,HOU,Daikin Park,0.9911732357433639,roof,N,1,19.25,18.25,night,6,2,8.0,0,8.5,games.bookTotal,0.40110,8.720,0.46670,3.970,4.750,0.55850,0.40110,8.720,0.46670,1.0,1.0,4.5
2250022,2026-03-27,2026-03,823324,DET,SD,Petco Park,0.8944051349677884,open,N,1,20.667,17.667,night,5,2,7.0,0,7.5,games.bookTotal,0.45810,7.530,0.43820,3.710,3.830,0.62600,0.45810,7.530,0.43820,1.0,1.0,4.5
2250023,2026-03-27,2026-03,823162,CLE,SEA,T-Mobile Park,0.8411265978531404,roof,N,1,20.75,17.75,night,1,5,6.0,1,7.0,games.bookTotal,0.43050,7.390,0.48020,3.500,3.890,0.60350,0.43050,7.390,0.48020,1.0,1.0,4.5
2252293,2026-03-27,2026-03,823971,ARI,LAD,Dodger Stadium,1.0009612737608329,open,N,1,21.167,18.167,night,4,5,9.0,1,8.5,games.bookTotal,0.38320,7.910,0.39470,3.490,4.420,0.55160,0.38320,7.910,0.39470,1.0,1.0,4.5
2250024,2026-03-28,2026-03,823082,TB,STL,Busch Stadium,0.9270781176097251,open,N,1,13.25,12.25,day,5,6,11.0,1,7.5,games.bookTotal,0.44060,8.060,0.48690,3.870,4.190,0.34340,0.44060,8.060,0.48690,1.0,1.0,4.5
2250025,2026-03-28,2026-03,824701,WSH,CHC,Wrigley Field,1.005140346320558,open,N,1,13.333,12.333,day,2,10,12.0,1,8.5,games.bookTotal,0.36740,8.300,0.43000,3.590,4.720,0.53210,0.36740,8.300,0.43000,1.0,1.0,4.5
2250026,2026-03-28,2026-03,822838,ATH,TOR,Rogers Centre,1.0028292007511364,roof,N,1,14.117,14.117,day,7,8,15.0,1,8.0,games.bookTotal,0.44810,8.700,0.50540,4.230,4.470,0.60400,0.44810,8.700,0.50540,1.0,1.0,4.5
2250027,2026-03-28,2026-03,824862,MIN,BAL,Oriole Park at Camden Yards,1.0451331923662392,open,N,1,15.083,15.083,day,4,1,5.0,0,7.5,games.bookTotal,0.38110,8.590,0.53370,3.790,4.790,0.54120,0.38110,8.590,0.53370,1.0,1.0,4.5
2250028,2026-03-28,2026-03,823488,TEX,PHI,Citizens Bank Park,1.0484931745187165,open,N,1,15.083,15.083,day,5,4,9.0,0,7.5,games.bookTotal,0.47630,8.970,0.56570,4.520,4.450,0.62620,0.47630,8.970,0.56570,1.0,1.0,4.5
2250029,2026-03-28,2026-03,824540,BOS,CIN,Great American Ball Park,0.9902854490964874,open,N,1,15.167,15.167,day,5,6,11.0,1,7.5,games.bookTotal,0.42940,8.380,0.51620,3.970,4.410,0.33630,0.42940,8.380,0.51620,1.0,1.0,4.5
2250030,2026-03-28,2026-03,823651,PIT,NYM,Citi Field,1.0238596433357876,open,N,1,15.167,15.167,day,2,4,6.0,1,7.5,games.bookTotal,0.41470,8.600,0.53510,3.990,4.610,0.57300,0.41470,8.600,0.53510,1.0,1.0,4.5
2250031,2026-03-28,2026-03,823892,COL,MIA,loanDepot park,0.9585538609518026,roof,N,1,15.167,15.167,day,3,4,7.0,1,7.5,games.bookTotal,0.42130,8.430,0.51950,3.950,4.480,0.58270,0.42130,8.430,0.51950,1.0,1.0,4.5
2250032,2026-03-28,2026-03,824213,LAA,HOU,Daikin Park,0.9911732357433639,roof,N,1,18.167,17.167,night,9,11,20.0,1,9.0,games.bookTotal,0.41950,8.450,0.39720,3.940,4.500,0.58020,0.41950,8.450,0.39720,1.0,1.0,4.5
2250033,2026-03-28,2026-03,823811,CWS,MIL,American Family Field,0.9522189984168762,roof,N,1,18.167,17.167,night,1,6,7.0,1,8.0,games.bookTotal,0.38170,8.630,0.49750,3.810,4.810,0.54120,0.38170,8.630,0.49750,1.0,1.0,4.5
2250034,2026-03-28,2026-03,824945,KC,ATL,Truist Park,0.9774370157800405,open,N,1,18.25,18.25,night,2,6,8.0,1,8.5,games.bookTotal,0.51880,9.850,0.55830,5.230,4.620,0.65730,0.51880,9.850,0.55830,1.0,1.0,4.5
