windowStart,windowEnd,centerIdx,centerDate,T,T_deEdged,homeDelta,impliedEdge,homeWinRate,meanPHome
2026-03-25,2026-04-10,100,2026-04-03,2.4079,2.5381,-0.0205,0.0095,0.55,0.5684
2026-03-28,2026-04-12,125,2026-04-05,2.018,2.1037,-0.012,0.018,0.555,0.565
2026-03-30,2026-04-14,150,2026-04-06,2.7592,2.8122,-0.0275,0.0025,0.54,0.5661
2026-03-31,2026-04-16,175,2026-04-08,1.7156,1.8074,-0.0015,0.0285,0.565,0.5646
2026-04-03,2026-04-18,200,2026-04-10,2.5045,2.3208,-0.03,0.0,0.535,0.5647
2026-04-05,2026-04-19,225,2026-04-12,2.903,3.1037,-0.026,0.004,0.54,0.5647
2026-04-06,2026-04-21,250,2026-04-14,2.6465,2.3728,-0.0355,-0.0055,0.53,0.5652
2026-04-08,2026-04-23,275,2026-04-16,2.84,2.252,-0.049,-0.019,0.515,0.5647
2026-04-10,2026-04-25,300,2026-04-18,1.6133,1.267,-0.037,-0.007,0.525,0.563
2026-04-12,2026-04-27,325,2026-04-19,1.9392,1.3966,-0.0545,-0.0245,0.51,0.5654
2026-04-14,2026-04-29,350,2026-04-21,1.5635,1.1454,-0.0485,-0.0185,0.515,0.5638
2026-04-16,2026-05-01,375,2026-04-23,2.4457,1.6588,-0.0655,-0.0355,0.5,0.5656
2026-04-18,2026-05-03,400,2026-04-25,2.522,1.6346,-0.069,-0.039,0.495,0.5638
2026-04-19,2026-05-04,425,2026-04-27,1.4077,0.9736,-0.0615,-0.0315,0.505,0.5668
2026-04-21,2026-05-06,450,2026-04-29,1.3076,1.0075,-0.037,-0.007,0.525,0.5619
2026-04-23,2026-05-08,475,2026-05-01,1.3679,0.9856,-0.0475,-0.0175,0.515,0.5622
2026-04-25,2026-05-10,500,2026-05-03,1.3931,1.1292,-0.0275,0.0025,0.535,0.5625
2026-04-27,2026-05-12,525,2026-05-05,1.188,1.0149,-0.011,0.019,0.55,0.561
2026-04-29,2026-05-14,550,2026-05-06,1.1293,0.9806,-0.005,0.025,0.555,0.5599
2026-05-01,2026-05-16,575,2026-05-08,1.4276,1.2452,-0.0145,0.0155,0.545,0.5596
2026-05-03,2026-05-18,600,2026-05-10,1.3179,1.0894,-0.017,0.013,0.545,0.5626
2026-05-05,2026-05-19,625,2026-05-12,1.6961,1.4707,-0.02,0.01,0.54,0.56
2026-05-06,2026-05-21,650,2026-05-14,1.9325,1.2763,-0.052,-0.022,0.51,0.5623
2026-05-08,2026-05-23,675,2026-05-16,2.096,1.5643,-0.0405,-0.0105,0.52,0.5611
2026-05-10,2026-05-25,700,2026-05-18,2.7795,1.6899,-0.061,-0.031,0.5,0.5611
2026-05-12,2026-05-27,725,2026-05-19,3.3892,1.6232,-0.083,-0.053,0.48,0.5625
2026-05-14,2026-05-29,750,2026-05-22,5.0,1.8011,-0.1,-0.07,0.46,0.5618
2026-05-16,2026-05-31,775,2026-05-23,1.4816,0.8505,-0.0685,-0.0385,0.49,0.5579
2026-05-18,2026-06-02,800,2026-05-25,1.2784,0.8177,-0.052,-0.022,0.505,0.5566
2026-05-19,2026-06-03,825,2026-05-27,2.0525,1.1648,-0.0705,-0.0405,0.49,0.5601
2026-05-22,2026-06-05,850,2026-05-29,1.6825,1.1419,-0.0475,-0.0175,0.515,0.562
2026-05-23,2026-06-07,875,2026-05-31,1.0944,0.7651,-0.0335,-0.0035,0.53,0.5626
2026-05-25,2026-06-09,900,2026-06-02,0.8918,0.591,-0.041,-0.011,0.52,0.5603
2026-05-27,2026-06-12,925,2026-06-03,0.8994,0.6584,-0.019,0.011,0.54,0.5583
2026-05-29,2026-06-13,950,2026-06-06,0.8119,0.6329,-0.002,0.028,0.555,0.5564
2026-05-31,2026-06-15,975,2026-06-07,0.9078,0.6454,-0.025,0.005,0.535,0.5596
2026-06-02,2026-06-17,1000,2026-06-09,0.8218,0.5939,-0.014,0.016,0.545,0.5587
2026-06-03,2026-06-19,1025,2026-06-12,0.5466,0.4029,0.0145,0.0445,0.57,0.5575
2026-06-06,2026-06-21,1050,2026-06-13,0.5781,0.4306,0.014,0.044,0.57,0.5581
2026-06-07,2026-06-23,1075,2026-06-15,0.7137,0.5019,-0.011,0.019,0.545,0.5575
2026-06-09,2026-06-24,1100,2026-06-17,0.917,0.6937,-0.01,0.02,0.545,0.5561
2026-06-12,2026-06-27,1125,2026-06-19,0.9912,0.6954,-0.025,0.005,0.53,0.5568
