family,variant,month,n,bias,mae,brier
totals,T0_monthly_global(stored-p2),2026-05,419,-0.5589,3.4569,0.247310
totals,T3_daily_expanding,2026-05,419,-0.3551,3.4194,0.247348
totals,T4_daily_trailing300,2026-05,419,-0.1356,3.3969,0.249461
totals,T5_trailing300+park(n0=40),2026-05,419,-0.1479,3.4055,0.249358
ml,M0_monthlyT_asbuilt(stored-p2),2026-05,419,+0.0047,,0.245471
ml,M6_deedged_noT,2026-05,419,+0.0036,,0.243662
ml,M2_monthly_joint_T_edge,2026-05,419,+0.0073,,0.245643
ml,M4_trailing400T_deedged,2026-05,419,-0.0030,,0.244721
totals,T0_monthly_global(stored-p2),2026-06,394,+0.3364,3.3655,0.244282
totals,T3_daily_expanding,2026-06,394,+0.2526,3.3757,0.243991
totals,T4_daily_trailing300,2026-06,394,+0.0503,3.4204,0.245338
totals,T5_trailing300+park(n0=40),2026-06,394,+0.0729,3.4363,0.247636
ml,M0_monthlyT_asbuilt(stored-p2),2026-06,394,+0.0266,,0.246166
ml,M6_deedged_noT,2026-06,394,+0.0180,,0.244637
ml,M2_monthly_joint_T_edge,2026-06,394,+0.0165,,0.245060
ml,M4_trailing400T_deedged,2026-06,394,+0.0246,,0.245836
totals,T0_monthly_global(stored-p2),2026-07,274,+0.0559,3.8028,0.249322
totals,T3_daily_expanding,2026-07,274,+0.0238,3.8082,0.249513
totals,T4_daily_trailing300,2026-07,274,-0.1099,3.8301,0.250234
totals,T5_trailing300+park(n0=40),2026-07,274,-0.1189,3.8107,0.248726
ml,M0_monthlyT_asbuilt(stored-p2),2026-07,274,+0.0402,,0.246307
ml,M6_deedged_noT,2026-07,274,+0.0305,,0.244097
ml,M2_monthly_joint_T_edge,2026-07,274,+0.0237,,0.243897
ml,M4_trailing400T_deedged,2026-07,274,+0.0362,,0.243977
