family,variant,n,bias,mae,rmse,brier,logloss,d_mae,mae_ci,d_brier,brier_ci
totals,T0_monthly_global(stored-p2),1087,-0.0794,3.511,4.4433,0.246732,0.686721,0.0,,0.0,
totals,T1a_monthly+park(n0=20),1087,-0.0715,3.5501,4.4866,0.250349,0.694173,0.0391,"[+0.0130,+0.0660]",0.003617,"[+0.001341,+0.005989]"
totals,T1b_monthly+park(n0=40),1087,-0.074,3.5343,4.4676,0.248872,0.691118,0.0234,"[+0.0044,+0.0418]",0.002141,"[+0.000461,+0.003815]"
totals,T1c_monthly+park(n0=60),1087,-0.0753,3.5274,4.4597,0.248232,0.689799,0.0164,"[+0.0022,+0.0304]",0.0015,"[+0.000241,+0.002738]"
totals,T2_monthly+daynight,1087,-0.0789,3.5109,4.4433,0.246743,0.686747,-0.0001,"[-0.0007,+0.0005]",1.2e-05,"[-0.000046,+0.000070]"
totals,T3_daily_expanding,1087,-0.0393,3.5016,4.4371,0.24669,0.686603,-0.0094,"[-0.0184,+0.0001]",-4.2e-05,"[-0.000858,+0.000801]"
totals,T4_daily_trailing300,1087,-0.0617,3.5146,4.446,0.24817,0.689568,0.0036,"[-0.0211,+0.0273]",0.001439,"[-0.000836,+0.003603]"
totals,T5_trailing300+park(n0=40),1087,-0.0606,3.5188,4.4474,0.248575,0.690459,0.0079,"[-0.0218,+0.0359]",0.001843,"[-0.000925,+0.004496]"
totals,TO_oracle_same_month(leaky),1087,0.0,3.4893,4.4245,0.246061,0.685282,-0.0217,"[-0.0452,+0.0016]",-0.00067,"[-0.002743,+0.001443]"
totals,T0s_storedp2_exact,1087,-0.0935,3.513,4.4436,0.246725,0.686711,0.0021,"[+0.0012,+0.0029]",-6e-06,"[-0.000085,+0.000074]"
ml,M0_monthlyT_asbuilt(stored-p2),1087,0.0216,,,0.245934,0.684946,,,0.0,
ml,M5_raw_p1_edge0.03,1087,0.0456,,,0.245962,0.684952,,,2.8e-05,"[-0.002019,+0.001975]"
ml,M6_deedged_noT,1087,0.0156,,,0.244125,0.68126,,,-0.001809,"[-0.003324,-0.000382]"
ml,M7_deedged+dbEdge0.0178,1087,0.0334,,,0.244999,0.683006,,,-0.000935,"[-0.002531,+0.000560]"
ml,M1_monthlyT_deedged,1087,0.0089,,,0.244773,0.682605,,,-0.001161,"[-0.002108,-0.000260]"
ml,M2_monthly_joint_T_edge,1087,0.0147,,,0.244992,0.683045,,,-0.000942,"[-0.001784,-0.000095]"
ml,M3_trailing200T_asbuilt,1087,0.0294,,,0.247144,0.687465,,,0.00121,"[-0.000584,+0.002990]"
ml,M4_trailing400T_deedged,1087,0.0169,,,0.244938,0.682959,,,-0.000996,"[-0.002734,+0.000775]"
