outsTier,series,n,meanErr,ci95,meanNormErr,meanActualKs,meanOuts,meanProj,shareOfSlots
1: <=9 (<=3 IP),live,247,1.5953,0.2242,-1.8722,1.911,5.83,3.543,0.1077
1: <=9 (<=3 IP),p1,335,2.9843,0.2761,-0.2977,1.845,5.64,4.829,0.1077
1: <=9 (<=3 IP),p2,335,2.501,0.2657,-0.7825,1.845,5.64,4.346,0.1077
2: 10-14,live,556,-0.1751,0.1784,-1.0317,4.063,12.41,3.874,0.2019
2: 10-14,p1,628,0.8485,0.194,-0.0067,4.073,12.42,4.922,0.2019
2: 10-14,p2,628,0.3827,0.1891,-0.4725,4.073,12.42,4.456,0.2019
3: 15-17 (5-6 IP),live,879,-1.1863,0.1517,-1.0056,4.97,15.57,3.772,0.3232
3: 15-17 (5-6 IP),p1,1005,0.4008,0.1637,0.5798,4.87,15.58,5.27,0.3232
3: 15-17 (5-6 IP),p2,1005,-0.0987,0.1591,0.0803,4.87,15.58,4.771,0.3232
4: 18-20 (6-7 IP),live,707,-1.6621,0.1902,-0.6787,5.501,18.29,3.83,0.2579
4: 18-20 (6-7 IP),p1,802,0.26,0.1913,1.2465,5.532,18.27,5.792,0.2579
4: 18-20 (6-7 IP),p2,802,-0.3187,0.186,0.6678,5.532,18.27,5.214,0.2579
5: >=21 (7+ IP),live,305,-2.6767,0.3179,-0.6261,6.682,21.74,3.982,0.1093
5: >=21 (7+ IP),p1,340,-0.3436,0.31,1.72,6.721,21.7,6.377,0.1093
5: >=21 (7+ IP),p2,340,-1.0442,0.3049,1.0194,6.721,21.7,5.676,0.1093
