gameId,side,gameDate,livePitcherName,liveMlbamId,substrateStarterId,actualStarterName,nameClass,kProj,bookLine,liveTruthKs,liveSignedError,liveStoredActualKs,substrateStarterKs,verdict,liveStoredResult
2250006,away,2026-03-25,Max Fried,608331,608331,Max Fried,SAME_STARTER,4.73,5.5,4.0,0.7300000000000004,4,4,EDGE,UNDER
2250006,home,2026-03-25,Logan Webb,657277,657277,Logan Webb,SAME_STARTER,7.06,6.5,7.0,0.05999999999999961,7,7,EDGE,OVER
2250007,away,2026-03-26,Paul Skenes,694973,694973,Paul Skenes,SAME_STARTER,6.46,6.5,1.0,5.46,1,1,NEUTRAL,UNDER
2250007,home,2026-03-26,Freddy Peralta,642547,642547,Freddy Peralta,SAME_STARTER,5.88,6.5,7.0,-1.12,7,7,NEUTRAL,OVER
2250008,away,2026-03-26,Shane Smith,681343,681343,Shane Smith,SAME_STARTER,5.56,4.5,2.0,3.5599999999999996,2,2,EDGE OVER,UNDER
2250008,home,2026-03-26,Jacob Misiorowski,694819,694819,Jacob Misiorowski,SAME_STARTER,5.72,6.5,11.0,-5.28,11,11,EDGE UNDER,OVER
2250009,away,2026-03-26,Cade Cavalli,676917,676917,Cade Cavalli,SAME_STARTER,6.25,4.0,5.0,1.25,5,5,EDGE OVER,OVER
2250009,home,2026-03-26,Matthew Boyd,571510,571510,Matthew Boyd,SAME_STARTER,4.64,5.5,7.0,-2.3600000000000003,7,7,EDGE UNDER,OVER
2250010,away,2026-03-26,,,657746,Joe Ryan,NO_LIVE_ROW,,,,,,7,,
2250010,home,2026-03-26,,,669432,Trevor Rogers,NO_LIVE_ROW,,,,,,5,,
2250011,away,2026-03-26,,,676979,Garrett Crochet,NO_LIVE_ROW,,,,,,8,,
2250011,home,2026-03-26,,,671096,Andrew Abbott,NO_LIVE_ROW,,,,,,4,,
2250012,away,2026-03-26,,,667755,José Soriano,NO_LIVE_ROW,,,,,,7,,
2250012,home,2026-03-26,,,686613,Hunter Brown,NO_LIVE_ROW,,,,,,9,,
2250013,away,2026-03-26,,,669373,Tarik Skubal,NO_LIVE_ROW,,,,,,6,,
2250013,home,2026-03-26,,,601713,Nick Pivetta,NO_LIVE_ROW,,,,,,4,,
2250014,away,2026-03-26,,,656876,Drew Rasmussen,NO_LIVE_ROW,,,,,,2,,
2250014,home,2026-03-26,,,669461,Matthew Liberatore,NO_LIVE_ROW,,,,,,2,,
2250015,away,2026-03-26,,,543135,Nathan Eovaldi,NO_LIVE_ROW,,,,,,7,,
2250015,home,2026-03-26,,,650911,Cristopher Sánchez,NO_LIVE_ROW,,,,,,10,,
2250016,away,2026-03-26,,,676440,Tanner Bibee,NO_LIVE_ROW,,,,,,7,,
2250016,home,2026-03-26,,,669302,Logan Gilbert,NO_LIVE_ROW,,,,,,7,,
2250017,away,2026-03-27,Cam Schlittler,693645,693645,Cam Schlittler,SAME_STARTER,4.05,4.5,8.0,-3.95,8,8,UNDER,OVER
2250017,home,2026-03-27,Robbie Ray,592662,592662,Robbie Ray,SAME_STARTER,5.52,6.5,4.0,1.5199999999999996,4,4,UNDER,UNDER
2250018,away,2026-03-27,Luis Severino,622663,622663,Luis Severino,SAME_STARTER,2.17,3.5,3.0,-0.8300000000000001,3,3,UNDER,UNDER
2250018,home,2026-03-27,Kevin Gausman,592332,592332,Kevin Gausman,SAME_STARTER,4.88,5.5,11.0,-6.12,11,11,UNDER,OVER
2250019,away,2026-03-27,Kyle Freeland,607536,607536,Kyle Freeland,SAME_STARTER,2.57,3.5,2.0,0.5699999999999998,2,2,UNDER,UNDER
2250019,home,2026-03-27,Sandy Alcantara,645261,645261,Sandy Alcantara,SAME_STARTER,5.1,5.5,5.0,0.09999999999999964,5,5,UNDER,UNDER
2250020,away,2026-03-27,Cole Ragans,666142,666142,Cole Ragans,SAME_STARTER,7.39,6.5,5.0,2.3899999999999997,5,5,OVER,UNDER
2250020,home,2026-03-27,Chris Sale,519242,519242,Chris Sale,SAME_STARTER,6.87,6.5,6.0,0.8700000000000001,6,6,OVER,UNDER
2250021,away,2026-03-27,Yusei Kikuchi,579328,579328,Yusei Kikuchi,SAME_STARTER,3.48,4.5,3.0,0.48,3,3,UNDER,UNDER
2250021,home,2026-03-27,Mike Burrows,681347,681347,Mike Burrows,SAME_STARTER,5.85,5.5,6.0,-0.15000000000000036,6,6,OVER,OVER
2250022,away,2026-03-27,Framber Valdez,664285,664285,Framber Valdez,SAME_STARTER,3.87,4.5,5.0,-1.13,5,5,UNDER,OVER
2250022,home,2026-03-27,Michael King,650633,650633,Michael King,SAME_STARTER,4.8,5.5,6.0,-1.2000000000000002,6,6,UNDER,OVER
2250023,away,2026-03-27,Gavin Williams,668909,668909,Gavin Williams,SAME_STARTER,4.67,5.5,7.0,-2.33,7,7,UNDER,OVER
2250023,home,2026-03-27,George Kirby,669923,669923,George Kirby,SAME_STARTER,5.65,5.5,6.0,-0.34999999999999964,6,6,PASS,OVER
2250024,away,2026-03-28,Joe Boyle,671212,671212,Joe Boyle,SAME_STARTER,3.33,4.5,4.0,-0.6699999999999999,4,4,UNDER,UNDER
2250024,home,2026-03-28,Michael McGreevy,700241,700241,Michael McGreevy,SAME_STARTER,2.73,3.5,5.0,-2.27,5,5,UNDER,OVER
2250025,away,2026-03-28,Miles Mikolas,571945,571945,Miles Mikolas,SAME_STARTER,2.25,3.5,4.0,-1.75,4,4,UNDER,OVER
2250025,home,2026-03-28,Cade Horton,690990,690990,Cade Horton,SAME_STARTER,3.38,4.5,4.0,-0.6200000000000001,4,4,UNDER,UNDER
2250026,away,2026-03-28,Jeffrey Springs,605488,605488,Jeffrey Springs,SAME_STARTER,2.16,3.5,2.0,0.16000000000000014,2,2,UNDER,UNDER
2250026,home,2026-03-28,Dylan Cease,656302,656302,Dylan Cease,SAME_STARTER,6.11,6.5,12.0,-5.89,12,12,UNDER,OVER
2250027,away,2026-03-28,Taj Bradley,671737,671737,Taj Bradley,SAME_STARTER,3.73,4.5,9.0,-5.27,9,9,OVER,OVER
2250027,home,2026-03-28,Kyle Bradish,680694,680694,Kyle Bradish,SAME_STARTER,7.49,6.5,4.0,3.49,4,4,OVER,UNDER
2250028,away,2026-03-28,Jacob deGrom,594798,656641,Jacob Latz,OTHER_PITCHER,6.04,6.5,3.0,3.04,3,3,UNDER,UNDER
2250028,home,2026-03-28,Aaron Nola,605400,605400,Aaron Nola,SAME_STARTER,4.75,5.5,7.0,-2.25,7,7,UNDER,OVER
2250029,away,2026-03-28,Sonny Gray,543243,543243,Sonny Gray,SAME_STARTER,7.47,6.5,5.0,2.4699999999999998,5,5,OVER,UNDER
2250029,home,2026-03-28,Brady Singer,663903,663903,Brady Singer,SAME_STARTER,3.63,4.5,5.0,-1.37,5,5,UNDER,OVER
2250030,away,2026-03-28,Mitch Keller,656605,656605,Mitch Keller,SAME_STARTER,3.47,4.5,3.0,0.4700000000000002,3,3,UNDER,UNDER
2250030,home,2026-03-28,David Peterson,656849,656849,David Peterson,SAME_STARTER,4.7,4.5,3.0,1.7000000000000002,3,3,PASS,UNDER
2250031,away,2026-03-28,Michael Lorenzen,547179,547179,Michael Lorenzen,SAME_STARTER,3.18,4.5,4.0,-0.8199999999999998,4,4,UNDER,UNDER
2250031,home,2026-03-28,Eury Perez,691587,691587,Eury Pérez,SAME_STARTER,6.2,6.5,8.0,-1.7999999999999998,8,8,PASS,OVER
2250032,away,2026-03-28,,,672282,Reid Detmers,NO_LIVE_ROW,,,,,,9,,
2250032,home,2026-03-28,Cristian Javier,664299,664299,Cristian Javier,SAME_STARTER,3.72,4.5,1.0,2.72,1,1,UNDER,UNDER
2250033,away,2026-03-28,Sean Burke,680732,680732,Sean Burke,SAME_STARTER,3.03,4.5,5.0,-1.9700000000000002,5,5,UNDER,OVER
2250033,home,2026-03-28,Chad Patrick,694477,694477,Chad Patrick,SAME_STARTER,4.73,5.5,4.0,0.7300000000000004,4,4,UNDER,UNDER
2250034,away,2026-03-28,Michael Wacha,608379,608379,Michael Wacha,SAME_STARTER,2.59,3.5,7.0,-4.41,7,7,UNDER,OVER
2250034,home,2026-03-28,Reynaldo Lopez,625643,625643,Reynaldo López,SAME_STARTER,3.15,4.5,3.0,0.1499999999999999,3,3,UNDER,UNDER
2250035,away,2026-03-28,Will Warren,701542,701542,Will Warren,SAME_STARTER,3.9,4.5,3.0,0.8999999999999999,3,3,UNDER,UNDER
2250035,home,2026-03-28,Tyler Mahle,641816,641816,Tyler Mahle,SAME_STARTER,3.65,4.5,5.0,-1.35,5,5,UNDER,OVER
2250036,away,2026-03-28,Jack Flaherty,656427,656427,Jack Flaherty,SAME_STARTER,4.35,5.5,2.0,2.3499999999999996,2,2,UNDER,UNDER
2250036,home,2026-03-28,Randy Vasquez,681190,681190,Randy Vásquez,SAME_STARTER,2.33,3.5,8.0,-5.67,8,8,UNDER,OVER
2250037,away,2026-03-28,,,676282,Joey Cantillo,NO_LIVE_ROW,,,,,,5,,
2250037,home,2026-03-28,Bryan Woo,693433,693433,Bryan Woo,SAME_STARTER,5.51,5.5,9.0,-3.49,9,9,OVER,OVER
2250038,away,2026-03-29,Bailey Ober,641927,641927,Bailey Ober,SAME_STARTER,3.42,4.5,1.0,2.42,1,1,UNDER,UNDER
2250038,home,2026-03-29,Shane Baz,669358,669358,Shane Baz,SAME_STARTER,4.78,5.5,4.0,0.7800000000000002,4,4,UNDER,UNDER
2250039,away,2026-03-29,MacKenzie Gore,669022,669022,MacKenzie Gore,SAME_STARTER,5.21,5.5,7.0,-1.79,7,7,OVER,OVER
2250039,home,2026-03-29,Jesus Luzardo,666200,666200,Jesús Luzardo,SAME_STARTER,7.03,6.5,7.0,0.03000000000000025,7,7,UNDER,OVER
2250040,away,2026-03-29,Seth Lugo,607625,607625,Seth Lugo,SAME_STARTER,3.35,4.5,3.0,0.3500000000000001,3,3,UNDER,UNDER
