starterId,pitcherName,nLive,meanLiveErr,ci95LiveErr,nP1,meanP1Err,nP2,meanP2Err,meanActualKs,meanKProj,meanOuts
694819,Brandon Sproat|Jacob Misiorowski|Kyle Harrison|Shane Drohan,17,-3.4424,1.0857,19,2.477,19,1.231,9.105,5.449,18.16
656302,Dylan Cease|Kevin Gausman|Max Scherzer|Patrick Corbin|Shane Bieber|Trey Yesavage,16,-3.27,1.3986,18,2.479,18,1.364,8.611,5.605,17.39
660271,Emmet Sheehan|Justin Wrobleski|Shohei Ohtani|Tyler Glasnow|Yoshinobu Yamamoto,10,-3.179,0.7955,14,1.985,14,1.093,6.786,4.421,18.36
622663,J.T. Ginn|Jeffrey Springs|Luis Severino,10,-3.092,1.2996,12,-0.534,12,-0.876,5.417,3.008,15.67
677952,Braxton Ashcraft|Bubba Chandler,18,-3.01,1.1073,20,2.408,20,1.513,6.5,3.601,17.45
668909,Gavin Williams|Joey Cantillo|Parker Messick|Slade Cecconi,20,-3.006,1.2388,21,0.206,21,-0.554,7.429,4.244,18.05
656492,Andrew Alvarez|Foster Griffin|Zack Littell,16,-2.9669,1.6819,20,-0.481,20,-1.017,5.55,2.908,17.6
671737,Bailey Ober|Connor Prielipp|Taj Bradley|Zebby Matthews,17,-2.8553,1.2691,20,0.554,20,-0.055,6.45,3.674,17.2
672282,Grayson Rodriguez|Jack Kochanowicz|Reid Detmers|Sam Aldegheri,19,-2.8453,1.1586,21,1.826,21,0.978,6.476,3.418,17.14
680732,David Sandlin|Davis Martin|Erick Fedde|Sean Burke,14,-2.7607,1.4216,16,-0.244,16,-0.85,5.875,3.168,16.38
682243,Bryan Woo|Bryce Miller|Emerson Hancock|Luis Castillo,11,-2.71,1.8241,11,1.365,11,0.341,6.091,3.381,17.36
669373,Casey Mize|Framber Valdez|Tarik Skubal|Troy Melton,12,-2.7008,2.4424,15,1.519,15,0.852,7.333,4.549,18.0
801139,Brayan Bello|Jake Bennett|Payton Tolle|Ranger Suarez|Tyler Samaniego,14,-2.6471,1.0523,16,1.647,16,0.631,6.0,2.853,16.81
554430,Aaron Nola|Andrew Painter|Jesus Luzardo|Zack Wheeler,13,-2.62,1.1471,16,1.146,16,0.034,7.312,5.303,18.75
693855,Ian Seymour|Nick Martinez|Shane McClanahan,6,-2.52,3.1264,7,-0.174,7,-0.9,5.429,2.983,12.29
676917,Andrew Alvarez|Cade Cavalli|Miles Mikolas|Zack Littell,21,-2.5052,1.461,22,0.543,22,-0.169,5.773,3.304,15.09
675512,Framber Valdez|Keider Montero|Tarik Skubal|Troy Melton,8,-2.5038,1.7002,10,-1.274,10,-1.854,5.5,3.842,18.0
693645,Cam Schlittler|Carlos Rodon|Gerrit Cole|Ryan Weathers|Will Warren,19,-2.4884,1.3265,22,1.993,22,1.114,7.136,4.459,17.77
695611,Gage Jump|J.T. Ginn|Jeffrey Springs|Joey Estes,11,-2.4873,1.5055,11,1.226,11,0.299,5.545,3.058,15.55
669160,Andre Pallante|Dustin May|Kyle Leahy,19,-2.2832,1.2632,20,0.298,20,-0.298,5.15,2.875,15.6
663623,Foster Griffin|Jake Irvin,9,-2.2111,0.9493,11,-0.844,11,-1.241,5.273,3.011,14.09
663567,Cristian Javier|Lance McCullers|Mike Burrows|Peter Lambert|Spencer Arrighetti,16,-2.1587,1.0788,17,0.832,17,0.088,5.529,3.216,17.29
669358,Chris Bassitt|Dean Kremer|Kyle Bradish|Shane Baz|Trey Gibson,18,-2.1494,1.1796,20,0.132,20,-0.403,5.25,3.239,17.65
687570,Bailey Ober|Connor Prielipp|Joe Ryan|Kendry Rojas|Taj Bradley|Zebby Matthews,11,-2.1191,1.8004,13,-0.276,13,-0.937,5.462,3.426,15.38
607536,Kyle Freeland|Michael Lorenzen|Tomoyuki Sugano,18,-2.1067,1.059,19,-0.44,19,-0.831,4.368,2.504,14.84
656876,Drew Rasmussen|Griffin Jax|Nick Martinez|Shane McClanahan,16,-2.0825,1.3414,19,0.932,19,0.267,5.421,3.605,16.47
647336,Brandon Pfaadt|Michael Soroka|Zac Gallen,14,-1.9836,1.5254,15,2.519,15,1.851,5.267,3.231,16.4
643377,Griffin Jax|Mason Englert|Shane McClanahan|Steven Matz,13,-1.9623,1.0404,16,-0.608,16,-1.029,4.5,3.03,13.5
669461,Dustin May|Hunter Dobbins|Matthew Liberatore|Michael McGreevy,17,-1.9459,1.2567,20,-1.291,20,-1.669,4.75,2.995,14.85
691587,Eury Perez|Janson Junk|Max Meyer|Sandy Alcantara,15,-1.9413,1.3575,17,-0.871,17,-1.363,6.118,4.192,16.18
645261,Eury Perez|Max Meyer|Sandy Alcantara,20,-1.911,0.7944,22,0.214,22,-0.27,5.0,3.339,19.59
592332,Dylan Cease|Kevin Gausman|Patrick Corbin,20,-1.883,1.2238,21,1.964,21,1.36,5.571,3.817,16.52
690997,Austin Warren|Clay Holmes|Freddy Peralta|Kodai Senga|Nolan McLean|Sean Manaea,17,-1.8406,1.322,20,1.974,20,1.108,6.75,4.546,17.0
607192,Emmet Sheehan|Tyler Glasnow,6,-1.8317,1.5435,7,2.238,7,2.011,7.0,6.002,17.0
666200,Aaron Nola|Andrew Painter|Jesus Luzardo,20,-1.8205,1.3273,21,2.404,21,1.449,7.238,5.63,17.48
694973,Braxton Ashcraft|Jared Jones|Mitch Keller|Paul Skenes,19,-1.8142,1.4518,21,1.326,21,0.482,6.571,4.817,16.48
656288,German Marquez|Griffin Canning|JP Sears|Randy Vasquez,11,-1.8118,0.9251,11,-0.618,11,-1.214,4.636,2.825,13.73
624133,Connelly Early|Ranger Suarez,17,-1.7712,1.3378,17,0.886,17,0.167,5.706,3.935,16.12
813349,Connelly Early|Payton Tolle|Ranger Suarez,14,-1.7557,1.1794,17,0.27,17,-0.162,5.471,3.959,16.18
