gameId,side,gameDate,month,awayTeam,homeTeam,mlbGamePk,oppTeam,starterId,starterHand,starterKs,starterOuts,liveRowId,livePitcherName,liveMlbamId,liveStarterMismatch,kProj,bookLine,lineIsInteger,pOver,pUnder,anNoVigOverPct,verdict,bestSide,edgeOver,edgeUnder,liveStoredActualKs,liveStoredResult,liveStoredModelError,liveStoredModelCorrect,liveTruthKs,liveTruthSource,liveSignedError,p1MlbamId,p1ProjValue,p1POver,p1Line,p1SignedError,p2ProjValue,p2POver,p2Line,p2SignedError,asofK9,asofPriorStarts,daysRest,asofIpPerStart,oppAsofK27,oppAsofPriorGames,snapK9,snapXfip,snapHand,snapJoinVia,oppSplitK9VsHand,umpire,umpKMod
2250006,away,2026-03-25,2026-03,NYY,SF,823244,SF,608331,L,4,19,3,Max Fried,608331,0,4.73,5.5,0,0.339,0.661,,EDGE,UNDER,-0.1283,0.061,4,UNDER,0.73,1,4.0,substrate,0.7300000000000004,608331,8.6866,0.85,5.5,4.6866,8.6866,0.86391,5.5,4.6866,,0,,,,0,7.7,3.89549,L,id,6.6638,"Umpire: 
                                                                                    Bill Miller  8.7 R/G  17.7 K/G",
2250006,home,2026-03-25,2026-03,NYY,SF,823244,NYY,657277,R,7,15,4,Logan Webb,657277,0,7.06,6.5,0,0.547,0.453,,EDGE,OVER,0.0592,-0.1232,7,OVER,0.06,1,7.0,substrate,0.05999999999999961,657277,9.1659,0.80791,6.5,2.1659000000000006,9.1659,0.80792,6.5,2.1659000000000006,,0,,,,0,7.09,3.42159,R,id,7.2729,"Umpire: 
                                                                                    Bill Miller  8.7 R/G  17.7 K/G",
2250007,away,2026-03-26,2026-03,PIT,NYM,823649,NYM,694973,R,1,2,30037,Paul Skenes,694973,0,6.46,6.5,0,0.46,0.54,,NEUTRAL,under,-0.028,-0.039,1,UNDER,5.46,1,1.0,substrate,5.46,694973,9.4483,0.83106,6.5,8.4483,9.4483,0.83106,6.5,8.4483,,0,,,,0,10.77,3.03565,R,id,6.6838,"Umpire: 
                                                                                    Adrian Johnson  9.8 R/G  16.9 K/G",
2250007,home,2026-03-26,2026-03,PIT,NYM,823649,PIT,642547,R,7,15,30038,Freddy Peralta,642547,0,5.88,6.5,0,0.3748,0.6252,,NEUTRAL,under,-0.084,0.019,7,OVER,-1.12,0,7.0,substrate,-1.12,642547,7.1475,0.57203,6.5,0.14749999999999996,7.1475,0.57203,6.5,0.14749999999999996,,0,,,,0,9.03,3.80748,R,id,7.2696,"Umpire: 
                                                                                    Adrian Johnson  9.8 R/G  16.9 K/G",
2250008,away,2026-03-26,2026-03,CWS,MIL,823812,MIL,681343,R,2,5,30039,Shane Smith,681343,0,5.56,4.5,0,0.629,0.371,,EDGE OVER,over,0.134,-0.17,2,UNDER,3.56,0,2.0,substrate,3.5599999999999996,681343,5.3936,0.62567,4.5,3.3936,5.3936,0.62566,4.5,3.3936,,0,,,,0,8.92,5.79345,R,id,6.6056,"Umpire: 
                                                                                    Mark Wegner  10.1 R/G  16.9 K/G",
2250008,home,2026-03-26,2026-03,CWS,MIL,823812,CWS,694819,R,11,15,30040,Jacob Misiorowski,694819,0,5.72,6.5,0,0.352,0.648,,EDGE UNDER,under,-0.121,0.052,11,OVER,-5.28,0,11.0,substrate,-5.28,694819,7.215,0.5818,6.5,-3.785,7.215,0.58181,6.5,-3.785,,0,,,,0,13.54,2.39,R,id,7.1252,"Umpire: 
                                                                                    Mark Wegner  10.1 R/G  16.9 K/G",
2250009,away,2026-03-26,2026-03,WSH,CHC,824704,CHC,676917,R,5,11,30041,Cade Cavalli,676917,0,6.25,4.0,1,0.712,0.288,,EDGE OVER,over,0.193,-0.256,5,OVER,1.25,1,5.0,substrate,1.25,676917,3.8626,0.34435,4.0,-1.1374,3.8626,0.4277,4.0,-1.1374,,0,,,,0,10.33,4.24119,R,id,6.787,"Umpire: 
                                                                                    Alan Porter  9.7 R/G  17.0 K/G",
2250009,home,2026-03-26,2026-03,WSH,CHC,824704,WSH,571510,L,7,11,30042,Matthew Boyd,571510,0,4.64,5.5,0,0.325,0.675,,EDGE UNDER,under,-0.163,0.102,7,OVER,-2.36,0,7.0,substrate,-2.3600000000000003,571510,6.3223,0.6046,5.5,-0.6776999999999997,6.3223,0.60461,5.5,-0.6776999999999997,,0,,,,0,8.39,2.65697,L,id,7.2371,"Umpire: 
                                                                                    Alan Porter  9.7 R/G  17.0 K/G",
2250010,away,2026-03-26,2026-03,MIN,BAL,824865,BAL,657746,R,7,16,,,,,,,,,,,,,,,,,,,,,,657746,7.4063,,,0.4062999999999999,7.4063,,,0.4062999999999999,,0,,,,0,10.31,3.93765,R,id,7.3279,"Umpire: 
                                                                                    Laz Díaz  8.9 R/G  17.4 K/G",
2250010,home,2026-03-26,2026-03,MIN,BAL,824865,MIN,669432,L,5,21,,,,,,,,,,,,,,,,,,,,,,669432,8.1449,,,3.1449,8.1449,,,3.1449,,0,,,,0,7.21,4.30965,L,id,6.8087,"Umpire: 
                                                                                    Laz Díaz  8.9 R/G  17.4 K/G",
