dimension,tier,series,n,meanErr,ci95,tstat,sd,mae,medianErr,pctUnderProj,meanActualKs,meanProj
overall,all,live,2694,-1.0162,0.0986,-20.2,2.6108,2.1994,-0.87,0.6437,4.827,3.811
overall,all,p1,3110,0.6518,0.0986,12.95,2.8066,2.2484,0.5526,0.4087,4.756,5.408
overall,all,p2,3110,0.1184,0.0967,2.4,2.7523,2.1405,0.0239,0.4952,4.756,4.875
month,2026-03,live,107,-0.923,0.4692,-3.86,2.4765,2.0299,-0.67,0.5981,5.103,4.18
month,2026-03,p1,152,0.8733,0.4383,3.91,2.7567,2.3187,1.0673,0.375,5.099,5.972
month,2026-03,p2,152,0.8733,0.4383,3.91,2.7567,2.3187,1.0673,0.375,5.099,5.972
month,2026-04,live,625,-0.417,0.1942,-4.21,2.4775,1.9848,-0.35,0.5648,4.746,4.329
month,2026-04,p1,784,0.8902,0.218,8.0,3.1144,2.4915,0.73,0.4056,4.691,5.582
month,2026-04,p2,784,0.8902,0.218,8.0,3.1144,2.4915,0.73,0.4056,4.691,5.582
month,2026-05,live,673,-1.1666,0.1951,-11.72,2.5827,2.2234,-1.07,0.6716,4.896,3.729
month,2026-05,p1,838,0.6612,0.1835,7.06,2.7105,2.195,0.5624,0.3938,4.711,5.372
month,2026-05,p2,838,-0.1835,0.1723,-2.09,2.5451,1.9983,-0.1255,0.531,4.711,4.528
month,2026-06,live,757,-1.301,0.1893,-13.47,2.6568,2.3246,-1.23,0.675,4.811,3.51
month,2026-06,p1,788,0.4719,0.1839,5.03,2.6334,2.1129,0.4882,0.4277,4.764,5.236
month,2026-06,p2,788,-0.269,0.1742,-3.03,2.4949,1.9852,-0.2119,0.5406,4.764,4.495
month,2026-07,live,532,-1.1433,0.2257,-9.93,2.6565,2.2772,-1.07,0.6654,4.803,3.659
month,2026-07,p1,548,0.4936,0.2278,4.25,2.7209,2.1574,0.4103,0.4179,4.812,5.306
month,2026-07,p2,548,-0.1763,0.2175,-1.59,2.5981,2.0296,-0.1677,0.5365,4.812,4.636
pitcher_asof_k9,1: <7,live,620,-0.7322,0.1841,-7.79,2.3392,1.9225,-0.585,0.6161,4.04,3.308
pitcher_asof_k9,1: <7,p1,702,-0.4815,0.1684,-5.6,2.2764,1.8393,-0.3878,0.5655,4.001,3.52
