rank,gameId,gameDate,side,pitcher,opp,kProj,bookLine,liveTruthKs,liveSignedError,starterOuts,asofK9,daysRest,umpKMod,oppAsofK27,verdict,pOver,pUnder,p1ProjValue,p1SignedError,p2ProjValue,p2SignedError,causeTags
1,2251324,2026-07-10,home,Nick Lodolo,CHC,2.17,4.5,12.0,-9.83,21.0,18.900000000000002,6.0,,8.861538461538462,UNDER,0.0877,0.85,5.4538,-6.5462,4.7651,-7.2349,LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;ACTUAL_10PLUS
2,2250938,2026-06-09,home,Max Scherzer,PHI,1.22,3.5,11.0,-9.78,18.0,13.35483870967742,16.0,0.982264589955988,8.313861386138614,UNDER,0.0442,0.85,11.4423,0.44229999999999947,9.8231,-1.1768999999999998,LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;ACTUAL_10PLUS
3,2251045,2026-06-17,away,Shane Baz,SEA,3.03,5.5,12.0,-8.97,23.0,8.959090909090909,6.0,0.9799791942183124,8.285198555956677,UNDER,0.1111,0.85,3.8715,-8.128499999999999,3.3236,-8.676400000000001,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
4,2251111,2026-06-23,away,Aaron Nola,WSH,4.27,4.5,13.0,-8.73,20.0,10.190661478599221,7.0,,7.997468354430381,PASS,0.4843,0.5761,7.9385,-5.0615,6.8151,-6.1849,STARTER_MISMATCH;LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;ACTUAL_10PLUS
5,2250947,2026-06-10,home,Drew Rasmussen,BOS,4.34,4.5,13.0,-8.66,21.0,8.727272727272727,5.0,1.0179029451888357,7.783300198807158,PASS,0.4981,0.5629,6.6679,-6.3321,5.7243,-7.2757,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
6,2250711,2026-05-22,away,Slade Cecconi,PHI,2.4,4.5,11.0,-8.6,24.0,10.711956521739129,5.0,,8.00257731958763,UNDER,0.1199,0.85,7.528,-3.4720000000000004,6.3444,-4.6556,LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;ACTUAL_10PLUS
7,2251209,2026-06-30,away,Justin Wrobleski,ATH,2.46,4.5,11.0,-8.54,21.0,5.574898785425102,7.0,,8.553663952627684,UNDER,0.1279,0.85,4.7637,-6.2363,4.0896,-6.9104,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
8,2250183,2026-04-10,home,Chase Burns,LAA,10.51,7.5,2.0,8.51,16.0,13.090909090909092,5.0,0.8952743679672659,9.855,OVER,0.8224,0.1776,11.458,9.458,11.458,9.458,LOW_K_UMP
9,2250750,2026-05-24,home,Reid Detmers,TEX,5.49,6.5,14.0,-8.51,24.0,9.981818181818182,5.0,,8.488636363636363,UNDER,0.3768,0.6879,9.3215,-4.6785,7.856,-6.144,LONG_OUTING_UNDERSHOOT;ACTUAL_10PLUS
10,2251446,2026-07-23,home,Grant Holmes,SD,2.49,4.5,11.0,-8.51,18.0,10.542857142857143,6.0,1.0338634511425926,8.568454258675079,UNDER,0.1327,0.85,9.194,-1.8059999999999992,8.0331,-2.9669000000000008,LONG_OUTING_UNDERSHOOT;HIGH_K9_UNDERSHOOT;ACTUAL_10PLUS
