check,series,propRefId,gameId,gameDate,side,player,stored,rederived,detail
stored_backtestResult_vs_rederived_actualSide,live,1860006,2251365,2026-07-18,away,Paul Skenes,UNDER,OVER,line=6.5 aks=9.0 src=linescore
stored_backtestResult_vs_rederived_actualSide,live,1860005,2251365,2026-07-18,home,Joey Cantillo,UNDER,OVER,line=5.5 aks=11.0 src=linescore
stored_backtestResult_vs_rederived_actualSide,live,1950006,2251420,2026-07-22,away,Bubba Chandler,UNDER,OVER,line=4.5 aks=5.0 src=linescore
replay_grades_result,live,90052,2250028,2026-03-28,away,Jacob deGrom,WIN,,status=VOID_SCRATCH line=6.5 aks=None g.line=6.5 g.actual=3
replay_grades_result,live,60055,2250096,2026-04-03,away,Eury Perez,WIN,,status=VOID_SCRATCH line=6.5 aks=None g.line=6.5 g.actual=4
replay_grades_result,live,90185,2250118,2026-04-04,home,Chase Dollander,LOSS,,status=VOID_SCRATCH line=3.5 aks=None g.line=3.5 g.actual=6
replay_grades_result,live,90191,2250117,2026-04-05,away,Edward Cabrera,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=4
replay_grades_result,live,90192,2250117,2026-04-05,home,Slade Cecconi,LOSS,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=6
replay_grades_result,live,90196,2250124,2026-04-05,away,Chris Paddack,LOSS,,status=VOID_SCRATCH line=3.5 aks=None g.line=3.5 g.actual=4
replay_grades_result,live,90212,2250133,2026-04-05,home,Ryan Johnson,WIN,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=4
replay_grades_result,live,90005,2250138,2026-04-06,away,Andrew Abbott,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=4
replay_grades_result,live,90006,2250138,2026-04-06,home,Sandy Alcantara,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=3
replay_grades_result,live,90010,2250140,2026-04-06,away,Jacob Misiorowski,LOSS,,status=VOID_SCRATCH line=6.5 aks=None g.line=6.5 g.actual=4
replay_grades_result,live,90009,2250140,2026-04-06,home,Garrett Crochet,WIN,,status=VOID_SCRATCH line=6.5 aks=None g.line=6.5 g.actual=5
replay_grades_result,live,90013,2250141,2026-04-06,away,Yoshinobu Yamamoto,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=2
replay_grades_result,live,90014,2250141,2026-04-06,home,Kevin Gausman,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=2
replay_grades_result,live,90017,2250142,2026-04-06,away,Tarik Skubal,WIN,,status=VOID_SCRATCH line=7.5 aks=None g.line=7.5 g.actual=4
replay_grades_result,live,90018,2250142,2026-04-06,home,Taj Bradley,LOSS,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=7
replay_grades_result,live,90025,2250147,2026-04-06,away,Cristopher Sanchez,WIN,,status=VOID_SCRATCH line=6.5 aks=None g.line=6.5 g.actual=1
replay_grades_result,live,90026,2250147,2026-04-06,home,Robbie Ray,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=3
replay_grades_result,live,120002,2250148,2026-04-07,away,Cole Ragans,LOSS,,status=VOID_SCRATCH line=6.5 aks=None g.line=6.5 g.actual=5
replay_grades_result,live,120011,2250149,2026-04-07,away,Michael King,LOSS,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=8
replay_grades_result,live,120010,2250149,2026-04-07,home,Mitch Keller,LOSS,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=6
replay_grades_result,live,120007,2250150,2026-04-07,away,Colin Rea,WIN,,status=VOID_SCRATCH line=3.5 aks=None g.line=3.5 g.actual=3
replay_grades_result,live,120012,2250150,2026-04-07,home,Joe Boyle,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=2
replay_grades_result,live,120008,2250151,2026-04-07,away,Brady Singer,WIN,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=2
replay_grades_result,live,120009,2250151,2026-04-07,home,Eury Perez,WIN,,status=VOID_SCRATCH line=6.5 aks=None g.line=6.5 g.actual=6
replay_grades_result,live,120015,2250152,2026-04-07,away,Michael McGreevy,LOSS,,status=VOID_SCRATCH line=3.5 aks=None g.line=3.5 g.actual=6
replay_grades_result,live,120016,2250152,2026-04-07,home,Miles Mikolas,WIN,,status=VOID_SCRATCH line=3.5 aks=None g.line=3.5 g.actual=3
replay_grades_result,live,120013,2250153,2026-04-07,home,Sonny Gray,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=7
replay_grades_result,live,120017,2250154,2026-04-07,away,Luis Severino,LOSS,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=6
replay_grades_result,live,120018,2250154,2026-04-07,home,Will Warren,LOSS,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=7
replay_grades_result,live,120020,2250155,2026-04-07,home,Dylan Cease,WIN,,status=VOID_SCRATCH line=6.5 aks=None g.line=6.5 g.actual=5
replay_grades_result,live,120021,2250156,2026-04-07,away,Framber Valdez,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=7
replay_grades_result,live,120022,2250156,2026-04-07,home,Bailey Ober,LOSS,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=10
replay_grades_result,live,120003,2250157,2026-04-07,away,Kyle Bradish,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=6
replay_grades_result,live,120004,2250157,2026-04-07,home,Sean Burke,LOSS,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=8
replay_grades_result,live,120023,2250158,2026-04-07,away,Bryan Woo,WIN,,status=VOID_SCRATCH line=6.0 aks=None g.line=6.0 g.actual=4
replay_grades_result,live,120024,2250158,2026-04-07,home,MacKenzie Gore,LOSS,,status=VOID_SCRATCH line=6.5 aks=None g.line=6.5 g.actual=7
replay_grades_result,live,120026,2250159,2026-04-07,away,Cristian Javier,WIN,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=3
replay_grades_result,live,120025,2250159,2026-04-07,home,Michael Lorenzen,LOSS,,status=VOID_SCRATCH line=3.5 aks=None g.line=3.5 g.actual=5
replay_grades_result,live,120029,2250161,2026-04-07,away,Aaron Nola,LOSS,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=6
replay_grades_result,live,120030,2250161,2026-04-07,home,Tyler Mahle,LOSS,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=7
replay_grades_result,live,120005,2252434,2026-04-07,away,Ryne Nelson,LOSS,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=5
replay_grades_result,live,120006,2252434,2026-04-07,home,David Peterson,LOSS,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=5
replay_grades_result,live,120040,2250163,2026-04-08,away,Seth Lugo,WIN,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=2
replay_grades_result,live,150009,2250173,2026-04-08,away,Rhett Lowder,WIN,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=3
replay_grades_result,live,150010,2250173,2026-04-08,home,Max Meyer,LOSS,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=6
replay_grades_result,live,120036,2250174,2026-04-08,away,Jeffrey Springs,LOSS,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=7
replay_grades_result,live,120037,2250174,2026-04-08,home,Ryan Weathers,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=5
replay_grades_result,live,120047,2250175,2026-04-08,away,Jack Flaherty,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=2
replay_grades_result,live,120048,2250175,2026-04-08,home,Mick Abel,WIN,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=2
replay_grades_result,live,120046,2252454,2026-04-08,away,Eduardo Rodriguez,LOSS,,status=VOID_SCRATCH line=4.5 aks=None g.line=4.5 g.actual=5
replay_grades_result,live,150007,2252454,2026-04-08,home,Nolan McLean,WIN,,status=VOID_SCRATCH line=5.5 aks=None g.line=5.5 g.actual=6
replay_grades_result,live,180001,2250176,2026-04-09,away,Chase Burns,WIN,,status=VOID_SCRATCH line=7.5 aks=None g.line=7.5 g.actual=2
