series,propRefId,gameId,gamePk,gameDate,month,doubleHeader,gameNumber,side,mlbamId,pitcherName,hand,proj,line,lineSource,integerLine,pOver,pUnder,pick,actualKs,actualSource,actualKsStored,actualKsLinescore,starterId,actualSide,status,correct,signedError,brier,logloss,scratchBasis,voidExemptionCode,voidCause,storedBacktestResult,storedModelCorrect,verdict,anNoVigOverPct
live,3,2250006,823244,2026-03-25,03,N,1,away,608331,Max Fried,L,4.73,5.5,book,0,0.339,0.661,UNDER,4.0,linescore,4,4,608331,UNDER,GRADED,1,0.73,0.114921,0.414001,,,,UNDER,1,EDGE,
live,4,2250006,823244,2026-03-25,03,N,1,home,657277,Logan Webb,R,7.06,6.5,book,0,0.547,0.453,OVER,7.0,linescore,7,7,657277,OVER,GRADED,1,0.06,0.205209,0.603306,,,,OVER,1,EDGE,
live,30037,2250007,823649,2026-03-26,03,N,1,away,694973,Paul Skenes,R,6.46,6.5,book,0,0.46,0.54,UNDER,1.0,linescore,1,1,694973,UNDER,GRADED,1,5.46,0.2116,0.616186,,,,UNDER,1,NEUTRAL,
live,30038,2250007,823649,2026-03-26,03,N,1,home,642547,Freddy Peralta,R,5.88,6.5,book,0,0.3748,0.6252,UNDER,7.0,linescore,7,7,642547,OVER,GRADED,0,-1.12,0.390875,0.981363,,,,OVER,0,NEUTRAL,
live,30039,2250008,823812,2026-03-26,03,N,1,away,681343,Shane Smith,R,5.56,4.5,book,0,0.629,0.371,OVER,2.0,linescore,2,2,681343,UNDER,GRADED,0,3.56,0.395641,0.991553,,,,UNDER,0,EDGE OVER,
live,30040,2250008,823812,2026-03-26,03,N,1,home,694819,Jacob Misiorowski,R,5.72,6.5,book,0,0.352,0.648,UNDER,11.0,linescore,11,11,694819,OVER,GRADED,0,-5.28,0.419904,1.044124,,,,OVER,0,EDGE UNDER,
live,30041,2250009,824704,2026-03-26,03,N,1,away,676917,Cade Cavalli,R,6.25,4.0,book,1,0.712,0.288,OVER,5.0,linescore,5,5,676917,OVER,GRADED,1,1.25,0.082944,0.339677,,,,OVER,1,EDGE OVER,
live,30042,2250009,824704,2026-03-26,03,N,1,home,571510,Matthew Boyd,L,4.64,5.5,book,0,0.325,0.675,UNDER,7.0,linescore,7,7,571510,OVER,GRADED,0,-2.36,0.455625,1.12393,,,,OVER,0,EDGE UNDER,
live,90027,2250017,823243,2026-03-27,03,N,1,away,693645,Cam Schlittler,R,4.05,4.5,book,0,0.3805,0.6195,UNDER,8.0,linescore,8,8,693645,OVER,GRADED,0,-3.95,0.38378,0.966269,,,,OVER,0,UNDER,0.5064
live,90028,2250017,823243,2026-03-27,03,N,1,home,592662,Robbie Ray,L,5.52,6.5,book,0,0.3179,0.6821,UNDER,4.0,linescore,4,4,592662,UNDER,GRADED,1,1.52,0.10106,0.382579,,,,UNDER,1,UNDER,0.5724
live,90029,2250018,822839,2026-03-27,03,N,1,away,622663,Luis Severino,R,2.17,3.5,book,0,0.1748,0.8252,UNDER,3.0,linescore,3,3,622663,UNDER,GRADED,1,-0.83,0.030555,0.192129,,,,UNDER,1,UNDER,0.5911
live,90030,2250018,822839,2026-03-27,03,N,1,home,592332,Kevin Gausman,R,4.88,5.5,book,0,0.363,0.637,UNDER,11.0,linescore,11,11,592332,OVER,GRADED,0,-6.12,0.405769,1.013352,,,,OVER,0,UNDER,0.5579
live,90031,2250019,823893,2026-03-27,03,N,1,away,607536,Kyle Freeland,L,2.57,3.5,book,0,0.257,0.743,UNDER,2.0,linescore,2,2,607536,UNDER,GRADED,1,0.57,0.066049,0.297059,,,,UNDER,1,UNDER,0.5813
live,90032,2250019,823893,2026-03-27,03,N,1,home,645261,Sandy Alcantara,R,5.1,5.5,book,0,0.4018,0.5982,UNDER,5.0,linescore,5,5,645261,UNDER,GRADED,1,0.1,0.161443,0.51383,,,,UNDER,1,UNDER,0.6288
live,90034,2250020,824946,2026-03-27,03,N,1,away,666142,Cole Ragans,L,7.39,6.5,book,0,0.606,0.394,OVER,5.0,linescore,5,5,666142,UNDER,GRADED,0,2.39,0.367236,0.931404,,,,UNDER,0,OVER,0.3755
live,90033,2250020,824946,2026-03-27,03,N,1,home,519242,Chris Sale,L,6.87,6.5,book,0,0.5303,0.4697,OVER,6.0,linescore,6,6,519242,UNDER,GRADED,0,0.87,0.281218,0.755661,,,,UNDER,0,OVER,0.398
live,90036,2250021,824216,2026-03-27,03,N,1,away,579328,Yusei Kikuchi,L,3.48,4.5,book,0,0.2704,0.7296,UNDER,3.0,linescore,3,3,579328,UNDER,GRADED,1,0.48,0.073116,0.315259,,,,UNDER,1,UNDER,0.383
