series,line_bucket,n_rows,n_graded,n_push,n_void,n_no_model,n_no_line,n_no_actual,hit_rate,ci95,brier,log_loss,mae,bias,bias_ci95,n_err,under_pick_frac,n_under,n_over,hit_under,hit_over,n_integer_line
live,<=3.5,627,541,0,70,16,0,0,0.4067,0.0414,0.3641,0.9995,2.295,-1.619,0.204,541,0.854,462,79,0.3636,0.6582,1
live,4.0-4.5,1010,851,1,121,37,0,0,0.5217,0.0336,0.3064,0.8547,2.113,-1.296,0.161,852,0.9048,770,81,0.5221,0.5185,3
live,5.0-5.5,800,697,0,82,21,0,0,0.5481,0.0369,0.2802,0.7854,2.186,-1.052,0.191,697,0.878,612,85,0.5605,0.4588,4
live,6.0-6.5,317,275,0,32,10,0,0,0.5782,0.0584,0.2734,0.7645,2.285,-0.306,0.336,275,0.7527,207,68,0.6184,0.4559,1
live,>=7.0,83,77,0,4,2,0,0,0.6753,0.1046,0.2,0.5822,2.295,0.571,0.643,77,0.6883,53,24,0.7925,0.4167,1
wf-19288f01-p1,<=3.5,557,557,0,0,0,0,0,0.6032,0.0406,0.2534,0.7219,2.006,0.216,0.215,557,0.4111,229,328,0.4629,0.7012,1
wf-19288f01-p1,4.0-4.5,889,888,1,0,0,0,0,0.5777,0.0325,0.26,0.7343,2.064,0.366,0.17,889,0.5315,472,416,0.5932,0.5601,3
wf-19288f01-p1,5.0-5.5,718,718,0,0,0,0,0,0.5794,0.0361,0.2625,0.7375,2.274,0.755,0.203,718,0.4847,348,370,0.6494,0.5135,4
wf-19288f01-p1,6.0-6.5,285,285,0,0,0,0,0,0.6351,0.0559,0.2527,0.7328,2.377,0.74,0.344,285,0.5193,148,137,0.723,0.5401,0
wf-19288f01-p1,>=7.0,79,79,0,0,0,0,0,0.5949,0.1083,0.2407,0.6665,2.703,1.184,0.704,79,0.519,41,38,0.8049,0.3684,0
wf-19288f01-p2,<=3.5,557,557,0,0,0,0,0,0.5691,0.0411,0.2751,0.8098,1.942,-0.268,0.205,557,0.5063,282,275,0.4362,0.7055,1
wf-19288f01-p2,4.0-4.5,889,888,1,0,0,0,0,0.5946,0.0323,0.2652,0.7667,1.986,-0.18,0.165,889,0.625,555,333,0.5928,0.5976,3
wf-19288f01-p2,5.0-5.5,718,718,0,0,0,0,0,0.5864,0.036,0.2598,0.7506,2.135,0.119,0.2,718,0.5947,427,291,0.6276,0.5258,4
wf-19288f01-p2,6.0-6.5,285,285,0,0,0,0,0,0.6281,0.0561,0.2561,0.7849,2.3,0.103,0.344,285,0.6035,172,113,0.686,0.5398,0
wf-19288f01-p2,>=7.0,79,79,0,0,0,0,0,0.6076,0.1077,0.2271,0.6491,2.471,0.423,0.688,79,0.6076,48,31,0.7708,0.3548,0
