series,month,n_rows,n_graded,n_push,n_void,n_no_model,n_no_line,n_no_actual,hit_rate,ci95,brier,log_loss,mae,bias,bias_ci95,n_err,under_pick_frac,n_under,n_over,hit_under,hit_over
live,ALL,2837,2441,1,309,86,0,0,0.515,0.0198,0.3046,0.8482,2.199,-1.128,0.102,2442,0.8619,2104,337,0.5147,0.5163
live,03,107,106,0,1,0,0,0,0.434,0.0944,0.3131,0.8387,2.02,-0.96,0.468,106,0.8396,89,17,0.427,0.4706
live,04,669,512,0,127,30,0,0,0.5156,0.0433,0.2882,0.7914,1.95,-0.446,0.211,512,0.7773,398,114,0.5327,0.4561
live,05,749,626,0,71,52,0,0,0.5032,0.0392,0.3074,0.8576,2.242,-1.265,0.201,626,0.8546,535,91,0.4935,0.5604
live,06,775,700,0,71,4,0,0,0.5229,0.037,0.3152,0.8857,2.314,-1.419,0.191,700,0.9043,633,67,0.5261,0.4925
live,07,537,497,1,39,0,0,0,0.5352,0.0438,0.3013,0.8442,2.278,-1.283,0.228,498,0.9034,449,48,0.5256,0.625
wf-19288f01-p1,ALL,3110,2527,1,0,0,582,0,0.5908,0.0192,0.2578,0.7302,2.248,0.652,0.099,3110,0.4899,1238,1289,0.6074,0.5749
wf-19288f01-p1,03,152,106,0,0,0,46,0,0.434,0.0944,0.2959,0.8008,2.319,0.873,0.438,152,0.3868,41,65,0.3415,0.4923
wf-19288f01-p1,04,784,542,0,0,0,242,0,0.5148,0.0421,0.2945,0.8201,2.492,0.89,0.218,784,0.4686,254,288,0.5591,0.4757
wf-19288f01-p1,05,838,678,0,0,0,160,0,0.6298,0.0363,0.2403,0.6898,2.195,0.661,0.184,838,0.4823,327,351,0.633,0.6268
wf-19288f01-p1,06,788,704,0,0,0,84,0,0.6193,0.0359,0.2472,0.7036,2.113,0.472,0.184,788,0.517,364,340,0.6374,0.6
wf-19288f01-p1,07,548,497,1,0,0,50,0,0.6137,0.0428,0.2487,0.7099,2.157,0.494,0.228,548,0.507,252,245,0.623,0.6041
wf-19288f01-p2,ALL,3110,2527,1,0,0,582,0,0.5908,0.0192,0.2637,0.77,2.141,0.118,0.097,3110,0.5873,1484,1043,0.5896,0.5925
wf-19288f01-p2,03,152,106,0,0,0,46,0,0.434,0.0944,0.2989,0.817,2.319,0.873,0.438,152,0.3868,41,65,0.3415,0.4923
wf-19288f01-p2,04,784,542,0,0,0,242,0,0.5148,0.0421,0.3055,0.9012,2.492,0.89,0.218,784,0.4686,254,288,0.5591,0.4757
wf-19288f01-p2,05,838,678,0,0,0,160,0,0.6298,0.0363,0.2432,0.7169,1.998,-0.183,0.172,838,0.6062,411,267,0.6058,0.6667
wf-19288f01-p2,06,788,704,0,0,0,84,0,0.6193,0.0359,0.2527,0.7362,1.985,-0.269,0.174,788,0.6449,454,250,0.6101,0.636
wf-19288f01-p2,07,548,497,1,0,0,50,0,0.6137,0.0428,0.254,0.7372,2.03,-0.176,0.218,548,0.6519,324,173,0.5957,0.6474
