series,p_over_bucket,n,mean_p_over,observed_over_rate
live,"[0.0,0.1)",194,0.0682,0.3918
live,"[0.1,0.2)",490,0.1544,0.5143
live,"[0.2,0.3)",625,0.2474,0.4672
live,"[0.3,0.4)",474,0.348,0.4768
live,"[0.4,0.5)",268,0.4446,0.541
live,"[0.5,0.6)",183,0.5459,0.5628
live,"[0.6,0.7)",121,0.6459,0.4628
live,"[0.7,0.8)",41,0.7443,0.6098
live,"[0.8,0.9)",45,0.8374,0.4444
live,"[0.9,1.0)",1,0.9088,0.0
wf-19288f01-p1,"[0.0,0.1)",183,0.0566,0.224
wf-19288f01-p1,"[0.1,0.2)",223,0.154,0.3767
wf-19288f01-p1,"[0.2,0.3)",264,0.2536,0.4053
wf-19288f01-p1,"[0.3,0.4)",283,0.3494,0.3993
wf-19288f01-p1,"[0.4,0.5)",285,0.4522,0.4947
wf-19288f01-p1,"[0.5,0.6)",257,0.5499,0.4591
wf-19288f01-p1,"[0.6,0.7)",247,0.6489,0.5587
wf-19288f01-p1,"[0.7,0.8)",248,0.7504,0.5605
wf-19288f01-p1,"[0.8,0.9)",537,0.8438,0.6443
wf-19288f01-p2,"[0.0,0.1)",283,0.0497,0.2756
wf-19288f01-p2,"[0.1,0.2)",319,0.1526,0.3887
wf-19288f01-p2,"[0.2,0.3)",325,0.2495,0.3662
wf-19288f01-p2,"[0.3,0.4)",290,0.3491,0.5034
wf-19288f01-p2,"[0.4,0.5)",267,0.4482,0.5318
wf-19288f01-p2,"[0.5,0.6)",232,0.5496,0.5
wf-19288f01-p2,"[0.6,0.7)",252,0.6494,0.5952
wf-19288f01-p2,"[0.7,0.8)",213,0.7511,0.5915
wf-19288f01-p2,"[0.8,0.9)",187,0.8506,0.6524
wf-19288f01-p2,"[0.9,1.0)",159,0.9423,0.6541
