series,month,n_graded,n_pick_under,n_pick_over,under_pick_frac,n_verdict_over,n_verdict_under,n_verdict_pass,n_verdict_other,verdict_under_share_nonpass
live,ALL,2441,2104,337,0.8619,223,2192,287,135,0.9077
live,03,106,89,17,0.8396,13,79,7,8,0.8587
live,04,512,398,114,0.7773,96,431,78,64,0.8178
live,05,626,535,91,0.8546,52,557,81,59,0.9146
live,06,700,633,67,0.9043,38,665,68,4,0.9459
live,07,497,449,48,0.9034,24,460,53,0,0.9504
wf-19288f01-p1,ALL,2527,1238,1289,0.4899,,,,,
wf-19288f01-p1,03,106,41,65,0.3868,,,,,
wf-19288f01-p1,04,542,254,288,0.4686,,,,,
wf-19288f01-p1,05,678,327,351,0.4823,,,,,
wf-19288f01-p1,06,704,364,340,0.517,,,,,
wf-19288f01-p1,07,497,252,245,0.507,,,,,
wf-19288f01-p2,ALL,2527,1484,1043,0.5873,,,,,
wf-19288f01-p2,03,106,41,65,0.3868,,,,,
wf-19288f01-p2,04,542,254,288,0.4686,,,,,
wf-19288f01-p2,05,678,411,267,0.6062,,,,,
wf-19288f01-p2,06,704,454,250,0.6449,,,,,
wf-19288f01-p2,07,497,324,173,0.6519,,,,,
