code,gameDate,gamePk,player,matched_prop_ids,n_matched,status
EX-SCRATCH-K,2026-04-22,822748,Didier Fuentes,540015,1,OK
EX-SCRATCH-K,2026-04-22,823231,Tyler Glasnow,540029,1,OK
EX-SCRATCH-K,2026-04-22,823641,Joe Ryan,540031,1,OK
EX-SCRATCH-K,2026-04-22,824286,Brandon Sproat,540014,1,OK
EX-SCRATCH-K,2026-04-22,824688,Cristopher Sanchez,540030,1,OK
EX-SCRATCH-K,2026-04-22,825097,Davis Martin,540027,1,OK
EX-SCRATCH-K,2026-04-23,822745,Grant Holmes,540032,1,OK
EX-SCRATCH-K,2026-04-24,824611,Miles Mikolas,540067,1,OK
EX-SCRATCH-K,2026-04-25,824851,Kyle Bradish,540098,1,OK
EX-SCRATCH-K,2026-04-26,822991,Steven Matz,570012,1,OK
EX-SCRATCH-K,2026-04-26,823637,Jose Quintana,540085,1,OK
EX-SCRATCH-K,2026-04-29,824525,Andrew Abbott,630049,1,OK
EX-SCRATCH-K,2026-04-29,824930,Bryce Elder,630057,1,OK
EX-SCRATCH-K,2026-05-04,824201,Peter Lambert,720001,1,OK
EX-SCRATCH-K,2026-05-05,824119,Stephen Kolek,750016,1,OK
EX-SCRATCH-K,2026-05-05,824281,Brayan Bello,750003,1,OK
EX-SCRATCH-K,2026-05-07,824362,Freddy Peralta,750023,1,OK
EX-SCRATCH-K,2026-05-07,824362,Michael Lorenzen,750022,1,OK
EX-SCRATCH-K,2026-05-09,823869,Cade Cavalli,780040,1,OK
EX-SCRATCH-K,2026-05-19,823704,Mike Burrows,930014,1,OK
EX-SCRATCH-K,2026-05-19,824356,Jack Leiter,930020,1,OK
EX-SCRATCH-K,2026-05-19,824356,Kyle Freeland,960001,1,OK
EX-SCRATCH-K,2026-05-20,822735,David Peterson,960024,1,OK
EX-SCRATCH-K,2026-05-20,823057,Braxton Ashcraft,960022,1,OK
EX-SCRATCH-K,2026-05-20,823057,Dustin May,960023,1,OK
EX-SCRATCH-K,2026-05-20,824032,Jose Soriano,960026,1,OK
EX-SCRATCH-K,2026-05-20,824032,Luis Severino,960025,1,OK
EX-SCRATCH-K,2026-05-20,824273,Casey Mize,960021,1,OK
EX-SCRATCH-K,2026-05-23,823222,Noah Schultz,1020010,1,OK
EX-SCRATCH-K,2026-05-23,824760,Sonny Gray,1020015,1,OK
EX-SCRATCH-K,2026-05-24,823297,Aaron Civale,1020063,1,OK
EX-SCRATCH-K,2026-05-24,824840,Brandon Young,1020008,1,OK
EX-SCRATCH-K,2026-05-24,824840,Framber Valdez,1020011,1,OK
EX-SCRATCH-K,2026-05-28,824595,Taj Bradley,1140008,1,OK
EX-SCRATCH-K,2026-05-29,824191,Peter Lambert,1200001,1,OK
EX-SCRATCH-K,2026-05-29,824594,Erick Fedde,1170024,1,OK
EX-SCRATCH-K,2026-05-29,824835,Trey Yesavage,1170044,1,OK
EX-SCRATCH-K,2026-06-06,824351,Tanner Gordon,1380020,1,OK
EX-SCRATCH-K,2026-06-08,823218,Andrew Alvarez,1410079,1,OK
EX-SCRATCH-K,2026-06-14,823212,Shota Imanaga,1470131,1,OK
EX-SCRATCH-K,2026-06-14,824021,Nick Martinez,1470136,1,OK
EX-SCRATCH-K,2026-06-20,822885,Nathan Eovaldi,1470268,1,OK
EX-SCRATCH-K,2026-06-20,822967,Nick Martinez,1470289,1,OK
EX-SCRATCH-K,2026-06-20,824263,Davis Martin,1470288,1,OK
EX-SCRATCH-K,2026-06-21,822883,Michael King,1470315,1,OK
EX-SCRATCH-K,2026-06-21,823449,Kodai Senga,1470316,1,OK
EX-SCRATCH-K,2026-06-21,825067,Merrill Kelly,1470318,1,OK
EX-SCRATCH-K,2026-06-21,825067,Zebby Matthews,1470317,1,OK
EX-SCRATCH-K,2026-06-22,823692,Justin Wrobleski,1470332,1,OK
EX-SCRATCH-K,2026-06-24,823613,Edward Cabrera,1470327,1,OK
EX-SCRATCH-K,2026-06-24,823613,Kodai Senga,1470330,1,OK
EX-SCRATCH-K,2026-07-04,822882,Kumar Rocker,1560049,1,OK
EX-SCRATCH-K,2026-07-04,823932,Griffin Canning,1560073,1,OK
EX-SCRATCH-K,2026-07-07,823062,Andre Pallante,750019,1,OK
EX-SCRATCH-K,2026-07-07,823062,Brandon Sproat,750018,1,OK
EX-SCRATCH-K,2026-07-10,823927,Yoshinobu Yamamoto,1770002,1,OK
EX-POSTPONED-PROP,2026-04-29,,games.id=2250429,,2,OK
EX-POSTPONED-PROP,2026-04-29,,games.id=2250432,,2,OK
