propId,gameId,gameDate,gamePk,side,pitcher,mlbamId,class,ungraded_reason,kProj,bookLine,pOver,pUnder,actualKs,stored_backtestResult,stored_modelCorrect,stored_modelError,derived_backtestResult,derived_modelCorrect,derived_modelError,grade_status,diff_fields,substrate_status,substrate_starterId,substrate_starterKs
4,2250006,2026-03-25,823244,home,Logan Webb,657277,final_in_scope,,7.06,6.5,0.547,0.453,7,OVER,1,0.06,OVER,1,0.06,MATCH,,SIDE_MATCH_KS_EQUAL,657277,7
3,2250006,2026-03-25,823244,away,Max Fried,608331,final_in_scope,,4.73,5.5,0.339,0.661,4,UNDER,1,0.73,UNDER,1,0.73,MATCH,,SIDE_MATCH_KS_EQUAL,608331,4
30038,2250007,2026-03-26,823649,home,Freddy Peralta,642547,final_in_scope,,5.88,6.5,0.3748,0.6252,7,OVER,0,-1.12,OVER,0,-1.12,MATCH,,SIDE_MATCH_KS_EQUAL,642547,7
30037,2250007,2026-03-26,823649,away,Paul Skenes,694973,final_in_scope,,6.46,6.5,0.4600,0.5400,1,UNDER,1,5.46,UNDER,1,5.46,MATCH,,SIDE_MATCH_KS_EQUAL,694973,1
30040,2250008,2026-03-26,823812,home,Jacob Misiorowski,694819,final_in_scope,,5.72,6.5,0.3520,0.6480,11,OVER,0,-5.28,OVER,0,-5.28,MATCH,,SIDE_MATCH_KS_EQUAL,694819,11
30039,2250008,2026-03-26,823812,away,Shane Smith,681343,final_in_scope,,5.56,4.5,0.6290,0.3710,2,UNDER,0,3.56,UNDER,0,3.56,MATCH,,SIDE_MATCH_KS_EQUAL,681343,2
30042,2250009,2026-03-26,824704,home,Matthew Boyd,571510,final_in_scope,,4.64,5.5,0.3250,0.6750,7,OVER,0,-2.36,OVER,0,-2.36,MATCH,,SIDE_MATCH_KS_EQUAL,571510,7
30041,2250009,2026-03-26,824704,away,Cade Cavalli,676917,final_in_scope,,6.25,4.0,0.7120,0.2880,5,OVER,1,1.25,OVER,1,1.25,MATCH,,SIDE_MATCH_KS_EQUAL,676917,5
90028,2250017,2026-03-27,823243,home,Robbie Ray,592662,final_in_scope,,5.52,6.5,0.3179,0.6821,4,UNDER,1,1.52,UNDER,1,1.52,MATCH,,SIDE_MATCH_KS_EQUAL,592662,4
90027,2250017,2026-03-27,823243,away,Cam Schlittler,693645,final_in_scope,,4.05,4.5,0.3805,0.6195,8,OVER,0,-3.95,OVER,0,-3.95,MATCH,,SIDE_MATCH_KS_EQUAL,693645,8
90030,2250018,2026-03-27,822839,home,Kevin Gausman,592332,final_in_scope,,4.88,5.5,0.3630,0.6370,11,OVER,0,-6.12,OVER,0,-6.12,MATCH,,SIDE_MATCH_KS_EQUAL,592332,11
90029,2250018,2026-03-27,822839,away,Luis Severino,622663,final_in_scope,,2.17,3.5,0.1748,0.8252,3,UNDER,1,-0.83,UNDER,1,-0.83,MATCH,,SIDE_MATCH_KS_EQUAL,622663,3
90032,2250019,2026-03-27,823893,home,Sandy Alcantara,645261,final_in_scope,,5.1,5.5,0.4018,0.5982,5,UNDER,1,0.1,UNDER,1,0.10,MATCH,,SIDE_MATCH_KS_EQUAL,645261,5
