gameId,gameDate,mlbGamePk,awayTeam,homeTeam,gameStatus
2250006,2026-03-25,823244,NYY,SF,final
2250007,2026-03-26,823649,PIT,NYM,final
2250008,2026-03-26,823812,CWS,MIL,final
2250009,2026-03-26,824704,WSH,CHC,final
2250010,2026-03-26,824865,MIN,BAL,final
2250011,2026-03-26,824541,BOS,CIN,final
2250012,2026-03-26,824218,LAA,HOU,final
2250013,2026-03-26,823325,DET,SD,final
2250014,2026-03-26,823081,TB,STL,final
2250015,2026-03-26,823486,TEX,PHI,final
2250016,2026-03-26,823163,CLE,SEA,final
2252284,2026-03-26,823974,ARI,LAD,final
2250017,2026-03-27,823243,NYY,SF,final
2250018,2026-03-27,822839,ATH,TOR,final
2250019,2026-03-27,823893,COL,MIA,final
2250020,2026-03-27,824946,KC,ATL,final
2250021,2026-03-27,824216,LAA,HOU,final
2250022,2026-03-27,823324,DET,SD,final
2250023,2026-03-27,823162,CLE,SEA,final
2252293,2026-03-27,823971,ARI,LAD,final
2250024,2026-03-28,823082,TB,STL,final
2250025,2026-03-28,824701,WSH,CHC,final
2250026,2026-03-28,822838,ATH,TOR,final
2250027,2026-03-28,824862,MIN,BAL,final
2250028,2026-03-28,823488,TEX,PHI,final
2250029,2026-03-28,824540,BOS,CIN,final
2250030,2026-03-28,823651,PIT,NYM,final
2250031,2026-03-28,823892,COL,MIA,final
2250032,2026-03-28,824213,LAA,HOU,final
2250033,2026-03-28,823811,CWS,MIL,final
2250034,2026-03-28,824945,KC,ATL,final
2250035,2026-03-28,823241,NYY,SF,final
2250036,2026-03-28,823323,DET,SD,final
2250037,2026-03-28,823161,CLE,SEA,final
2252307,2026-03-28,823973,ARI,LAD,final
2250038,2026-03-29,824864,MIN,BAL,final
2250039,2026-03-29,823487,TEX,PHI,final
2250040,2026-03-29,824944,KC,ATL,final
2250041,2026-03-29,822837,ATH,TOR,final
2250042,2026-03-29,824538,BOS,CIN,final
2250043,2026-03-29,823647,PIT,NYM,final
2250044,2026-03-29,823891,COL,MIA,final
2250045,2026-03-29,824215,LAA,HOU,final
2250046,2026-03-29,823810,CWS,MIL,final
2250047,2026-03-29,823079,TB,STL,final
2250048,2026-03-29,824700,WSH,CHC,final
2250049,2026-03-29,823160,CLE,SEA,final
2250050,2026-03-30,824135,MIN,KC,final
2250051,2026-03-30,824863,TEX,BAL,final
2250052,2026-03-30,824539,PIT,CIN,final
2250053,2026-03-30,823484,WSH,PHI,final
2250054,2026-03-30,823890,CWS,MIA,final
2250055,2026-03-30,822834,COL,TOR,final
2250056,2026-03-30,824943,ATH,ATL,final
2250057,2026-03-30,824702,LAA,CHC,final
2250058,2026-03-30,823809,TB,MIL,final
2250059,2026-03-30,823080,NYM,STL,final
2250060,2026-03-30,824214,BOS,HOU,final
2250061,2026-03-30,823320,SF,SD,final
2250062,2026-03-30,823159,NYY,SEA,final
2250063,2026-03-30,823972,CLE,LAD,final
2252334,2026-03-30,825108,DET,ARI,final
2250064,2026-03-31,824861,TEX,BAL,final
2250065,2026-03-31,824537,PIT,CIN,final
2250066,2026-03-31,823485,WSH,PHI,final
2250067,2026-03-31,823888,CWS,MIA,final
2250068,2026-03-31,822836,COL,TOR,final
2250069,2026-03-31,824942,ATH,ATL,final
2250070,2026-03-31,824699,LAA,CHC,final
2250071,2026-03-31,823807,TB,MIL,final
2250072,2026-03-31,823077,NYM,STL,final
2250073,2026-03-31,824212,BOS,HOU,final
2250074,2026-03-31,823322,SF,SD,final
2250075,2026-03-31,823158,NYY,SEA,final
2250076,2026-03-31,823969,CLE,LAD,final
2252346,2026-03-31,825107,DET,ARI,final
2250077,2026-04-01,824940,ATH,ATL,final
2250078,2026-04-01,824860,TEX,BAL,final
2250079,2026-04-01,824536,PIT,CIN,final
2250080,2026-04-01,823483,WSH,PHI,final
2250081,2026-04-01,822835,COL,TOR,final
2250082,2026-04-01,823889,CWS,MIA,final
2250083,2026-04-01,823078,NYM,STL,final
2250084,2026-04-01,823806,TB,MIL,final
2250085,2026-04-01,824211,BOS,HOU,final
