series,month,n,slope,intercept,r2
live,2026-03,107,1.3726,-2.3627,0.8615
live,2026-04,633,1.076,-0.9122,0.5597
live,2026-05,690,0.8451,-0.3653,0.3914
live,2026-06,771,0.7828,-0.2857,0.4405
live,2026-07,537,0.8823,-0.6429,0.5256
live,ALL,2738,0.9095,-0.6057,0.4634
wf-19288f01-p1,2026-03,106,1.4616,-1.3173,0.5332
wf-19288f01-p1,2026-04,542,1.1439,-0.0347,0.2702
wf-19288f01-p1,2026-05,678,0.559,2.7826,0.073
wf-19288f01-p1,2026-06,704,0.4557,3.1279,0.0511
wf-19288f01-p1,2026-07,498,0.6484,2.1811,0.1086
wf-19288f01-p1,ALL,2528,0.7094,1.9909,0.1183
wf-19288f01-p2,2026-03,106,1.4616,-1.3173,0.5332
wf-19288f01-p2,2026-04,542,1.1439,-0.0347,0.2702
wf-19288f01-p2,2026-05,678,0.4711,2.3451,0.073
wf-19288f01-p2,2026-06,704,0.3912,2.6853,0.0511
wf-19288f01-p2,2026-07,498,0.5665,1.9057,0.1086
wf-19288f01-p2,ALL,2528,0.6517,1.6961,0.1189
