id,gameId,gameDate,side,pitcherName,mlbamId,kProj,bookLine,pOver,pUnder,anNoVigOverPct,edgeOver,edgeUnder,verdict,modelRunAt,actualKs,backtestResult,modelError,kLine
3,2250006,2026-03-25,away,Max Fried,608331,4.73,5.5,0.339,0.661,,-0.1283,0.061,EDGE,1774480386155,4,UNDER,0.73,4.5
4,2250006,2026-03-25,home,Logan Webb,657277,7.06,6.5,0.547,0.453,,0.0592,-0.1232,EDGE,1774480386155,7,OVER,0.06,7.0
30037,2250007,2026-03-26,away,Paul Skenes,694973,6.46,6.5,0.4600,0.5400,,-0.028,-0.039,NEUTRAL,1774559018000,1,UNDER,5.46,6.5
30038,2250007,2026-03-26,home,Freddy Peralta,642547,5.88,6.5,0.3748,0.6252,,-0.084,+0.019,NEUTRAL,1774559018000,7,OVER,-1.12,6.0
30039,2250008,2026-03-26,away,Shane Smith,681343,5.56,4.5,0.6290,0.3710,,+0.134,-0.170,EDGE OVER,1774559018000,2,UNDER,3.56,4.5
30040,2250008,2026-03-26,home,Jacob Misiorowski,694819,5.72,6.5,0.3520,0.6480,,-0.121,+0.052,EDGE UNDER,1774559018000,11,OVER,-5.28,6.5
30041,2250009,2026-03-26,away,Cade Cavalli,676917,6.25,4.0,0.7120,0.2880,,+0.193,-0.256,EDGE OVER,1774559018000,5,OVER,1.25,6.5
30042,2250009,2026-03-26,home,Matthew Boyd,571510,4.64,5.5,0.3250,0.6750,,-0.163,+0.102,EDGE UNDER,1774559018000,7,OVER,-2.36,4.5
90027,2250017,2026-03-27,away,Cam Schlittler,693645,4.05,4.5,0.3805,0.6195,0.5064,-0.1259,0.1259,UNDER,1775508277234,8,OVER,-3.95,
90028,2250017,2026-03-27,home,Robbie Ray,592662,5.52,6.5,0.3179,0.6821,0.5724,-0.2545,0.2545,UNDER,1775508277246,4,UNDER,1.52,
90029,2250018,2026-03-27,away,Luis Severino,622663,2.17,3.5,0.1748,0.8252,0.5911,-0.4163,0.4163,UNDER,1775508277258,3,UNDER,-0.83,
90030,2250018,2026-03-27,home,Kevin Gausman,592332,4.88,5.5,0.3630,0.6370,0.5579,-0.1949,0.1949,UNDER,1775508277269,11,OVER,-6.12,
90031,2250019,2026-03-27,away,Kyle Freeland,607536,2.57,3.5,0.2570,0.7430,0.5813,-0.3243,0.3243,UNDER,1775508277280,2,UNDER,0.57,
