week,minDate,maxDate,n,slope,intercept,r2,ratio_mean,ratio_sd
2026-W13,2026-03-25,2026-03-29,71,1.3381,-2.2037,0.831,0.8692,0.1704
2026-W14,2026-03-30,2026-04-05,149,1.2413,-1.4382,0.6224,0.9362,0.2985
2026-W15,2026-04-06,2026-04-11,157,1.1156,-1.288,0.6181,0.8526,0.2747
2026-W16,2026-04-13,2026-04-19,157,1.2209,-1.7041,0.8044,0.8558,0.149
2026-W17,2026-04-20,2026-04-26,117,0.7753,0.3479,0.3602,0.8631,0.2728
2026-W18,2026-04-27,2026-05-03,146,1.1174,-0.8816,0.4596,0.9277,0.2887
2026-W19,2026-05-05,2026-05-10,114,1.1194,-1.2362,0.4812,0.8461,0.2693
2026-W20,2026-05-11,2026-05-17,184,0.9616,-1.1887,0.4965,0.7089,0.1928
2026-W21,2026-05-18,2026-05-24,178,0.8835,-0.666,0.4748,0.7458,0.2253
2026-W22,2026-05-25,2026-05-31,157,0.5527,0.8374,0.3079,0.7766,0.5008
2026-W23,2026-06-01,2026-06-07,177,0.7526,-0.1593,0.4483,0.7308,0.3003
2026-W24,2026-06-08,2026-06-14,176,0.7325,-0.024,0.4036,0.7286,0.2091
2026-W25,2026-06-15,2026-06-21,177,0.885,-0.89,0.5251,0.6922,0.1792
2026-W26,2026-06-22,2026-06-28,185,0.732,-0.0042,0.3882,0.7353,0.2196
2026-W27,2026-06-29,2026-07-05,186,0.8045,-0.2972,0.4457,0.7423,0.2126
2026-W28,2026-07-06,2026-07-12,193,0.95,-0.9671,0.6189,0.7458,0.174
2026-W29,2026-07-16,2026-07-19,88,0.9543,-0.8202,0.5639,0.7814,0.2072
2026-W30,2026-07-20,2026-07-24,126,0.8152,-0.3528,0.4432,0.7529,0.3203
