series,month,n,ratio_mean,ratio_sd,ratio_cv,p5,p95
live,2026-03,107,0.8516,0.1679,0.1971,0.618,1.1455
live,2026-04,633,0.886,0.2664,0.3007,0.6,1.2823
live,2026-05,690,0.776,0.3208,0.4134,0.44,1.2273
live,2026-06,771,0.7254,0.2314,0.3189,0.4411,1.0868
live,2026-07,537,0.7494,0.2298,0.3066,0.4864,1.1076
replay-p1,2026-03,106,1.1714,0.3051,0.2605,0.7553,1.7425
replay-p1,2026-04,542,1.15,0.5204,0.4525,0.5262,1.9177
replay-p1,2026-05,678,1.2006,0.8489,0.7071,0.5048,2.0836
replay-p1,2026-06,704,1.1414,0.535,0.4687,0.5091,2.2287
replay-p1,2026-07,498,1.1265,0.5197,0.4614,0.5238,2.0301
