id,gameId,gameDate,propType,mlbamId,playerName,side,provenance,modelVersion,projValue,pOver,line,createdAt
3553,2250006,2026-03-25,K,608331,Max Fried,away,walkforward_replay,wf-19288f01-p1,8.6866,0.85000,5.5,2026-07-25 15:51:02
3555,2250006,2026-03-25,K,657277,Logan Webb,home,walkforward_replay,wf-19288f01-p1,9.1659,0.80791,6.5,2026-07-25 15:51:03
3648,2250007,2026-03-26,K,694973,Paul Skenes,away,walkforward_replay,wf-19288f01-p1,9.4483,0.83106,6.5,2026-07-25 15:52:10
3649,2250007,2026-03-26,K,642547,Freddy Peralta,home,walkforward_replay,wf-19288f01-p1,7.1475,0.57203,6.5,2026-07-25 15:52:10
3808,2250008,2026-03-26,K,681343,Shane Smith,away,walkforward_replay,wf-19288f01-p1,5.3936,0.62567,4.5,2026-07-25 15:53:02
3809,2250008,2026-03-26,K,694819,Jacob Misiorowski,home,walkforward_replay,wf-19288f01-p1,7.2150,0.58180,6.5,2026-07-25 15:53:02
3968,2250009,2026-03-26,K,676917,Cade Cavalli,away,walkforward_replay,wf-19288f01-p1,3.8626,0.34435,4.0,2026-07-25 15:53:51
3969,2250009,2026-03-26,K,571510,Matthew Boyd,home,walkforward_replay,wf-19288f01-p1,6.3223,0.60460,5.5,2026-07-25 15:53:51
4068,2250010,2026-03-26,K,657746,Joe Ryan,away,walkforward_replay,wf-19288f01-p1,7.4063,,,2026-07-25 15:54:43
4069,2250010,2026-03-26,K,669432,Trevor Rogers,home,walkforward_replay,wf-19288f01-p1,8.1449,,,2026-07-25 15:54:43
4308,2250011,2026-03-26,K,676979,Garrett Crochet,away,walkforward_replay,wf-19288f01-p1,11.0825,,,2026-07-25 15:55:51
4309,2250011,2026-03-26,K,671096,Andrew Abbott,home,walkforward_replay,wf-19288f01-p1,5.4246,,,2026-07-25 15:55:51
4474,2250012,2026-03-26,K,667755,José Soriano,away,walkforward_replay,wf-19288f01-p1,5.6124,,,2026-07-25 15:56:48
4477,2250012,2026-03-26,K,686613,Hunter Brown,home,walkforward_replay,wf-19288f01-p1,8.8755,,,2026-07-25 15:56:48
4608,2250013,2026-03-26,K,669373,Tarik Skubal,away,walkforward_replay,wf-19288f01-p1,10.3692,,,2026-07-25 15:57:50
4609,2250013,2026-03-26,K,601713,Nick Pivetta,home,walkforward_replay,wf-19288f01-p1,7.2675,,,2026-07-25 15:57:50
4768,2250014,2026-03-26,K,656876,Drew Rasmussen,away,walkforward_replay,wf-19288f01-p1,4.7363,,,2026-07-25 15:58:42
4769,2250014,2026-03-26,K,669461,Matthew Liberatore,home,walkforward_replay,wf-19288f01-p1,4.0990,,,2026-07-25 15:58:42
4928,2250015,2026-03-26,K,543135,Nathan Eovaldi,away,walkforward_replay,wf-19288f01-p1,8.1565,,,2026-07-25 15:59:33
4929,2250015,2026-03-26,K,650911,Cristopher Sánchez,home,walkforward_replay,wf-19288f01-p1,10.1234,,,2026-07-25 15:59:33
5088,2250016,2026-03-26,K,676440,Tanner Bibee,away,walkforward_replay,wf-19288f01-p1,5.0625,,,2026-07-25 16:00:26
5089,2250016,2026-03-26,K,669302,Logan Gilbert,home,walkforward_replay,wf-19288f01-p1,8.7071,,,2026-07-25 16:00:26
33048,2252284,2026-03-26,K,668678,Zac Gallen,away,walkforward_replay,wf-19288f01-p1,4.9695,,,2026-07-25 18:25:12
33049,2252284,2026-03-26,K,808967,Yoshinobu Yamamoto,home,walkforward_replay,wf-19288f01-p1,9.9358,,,2026-07-25 18:25:12
5248,2250017,2026-03-27,K,693645,Cam Schlittler,away,walkforward_replay,wf-19288f01-p1,6.7009,0.79794,4.5,2026-07-25 16:01:07
5249,2250017,2026-03-27,K,592662,Robbie Ray,home,walkforward_replay,wf-19288f01-p1,6.2227,0.42942,6.5,2026-07-25 16:01:07
5408,2250018,2026-03-27,K,622663,Luis Severino,away,walkforward_replay,wf-19288f01-p1,4.4572,0.65043,3.5,2026-07-25 16:01:58
5409,2250018,2026-03-27,K,592332,Kevin Gausman,home,walkforward_replay,wf-19288f01-p1,7.0615,0.70708,5.5,2026-07-25 16:01:58
