modelVersion,gameId,gameDate,side,mlbamId,playerName,projValue,line,pOver,mu_used,k_factor,expected_projValue,projValue_abs_diff,expected_pOver,abs_diff,check
wf-19288f01-p1,2250006,2026-03-25,away,608331,Max Fried,8.6866,5.5,0.85000,8.6866,,,,0.85,0.0,PASS
wf-19288f01-p1,2250006,2026-03-25,home,657277,Logan Webb,9.1659,6.5,0.80791,9.1659,,,,0.807916,5.92e-06,PASS
wf-19288f01-p1,2250007,2026-03-26,away,694973,Paul Skenes,9.4483,6.5,0.83106,9.4483,,,,0.831062,2.05e-06,PASS
wf-19288f01-p1,2250007,2026-03-26,home,642547,Freddy Peralta,7.1475,6.5,0.57203,7.1475,,,,0.572027,2.58e-06,PASS
wf-19288f01-p1,2250008,2026-03-26,away,681343,Shane Smith,5.3936,4.5,0.62567,5.3936,,,,0.625664,5.75e-06,PASS
wf-19288f01-p1,2250008,2026-03-26,home,694819,Jacob Misiorowski,7.2150,6.5,0.58180,7.215,,,,0.581809,8.5e-06,PASS
wf-19288f01-p1,2250009,2026-03-26,away,676917,Cade Cavalli,3.8626,4.0,0.34435,3.8626,,,,0.344341,8.87e-06,PASS
wf-19288f01-p1,2250009,2026-03-26,home,571510,Matthew Boyd,6.3223,5.5,0.60460,6.3223,,,,0.604607,7.11e-06,PASS
wf-19288f01-p1,2250010,2026-03-26,away,657746,Joe Ryan,7.4063,,,,,,,,,
wf-19288f01-p1,2250010,2026-03-26,home,669432,Trevor Rogers,8.1449,,,,,,,,,
wf-19288f01-p1,2250011,2026-03-26,away,676979,Garrett Crochet,11.0825,,,,,,,,,
wf-19288f01-p1,2250011,2026-03-26,home,671096,Andrew Abbott,5.4246,,,,,,,,,
wf-19288f01-p1,2250012,2026-03-26,away,667755,José Soriano,5.6124,,,,,,,,,
wf-19288f01-p1,2250012,2026-03-26,home,686613,Hunter Brown,8.8755,,,,,,,,,
wf-19288f01-p1,2250013,2026-03-26,away,669373,Tarik Skubal,10.3692,,,,,,,,,
wf-19288f01-p1,2250013,2026-03-26,home,601713,Nick Pivetta,7.2675,,,,,,,,,
wf-19288f01-p1,2250014,2026-03-26,away,656876,Drew Rasmussen,4.7363,,,,,,,,,
wf-19288f01-p1,2250014,2026-03-26,home,669461,Matthew Liberatore,4.0990,,,,,,,,,
wf-19288f01-p1,2250015,2026-03-26,away,543135,Nathan Eovaldi,8.1565,,,,,,,,,
wf-19288f01-p1,2250015,2026-03-26,home,650911,Cristopher Sánchez,10.1234,,,,,,,,,
wf-19288f01-p1,2250016,2026-03-26,away,676440,Tanner Bibee,5.0625,,,,,,,,,
wf-19288f01-p1,2250016,2026-03-26,home,669302,Logan Gilbert,8.7071,,,,,,,,,
wf-19288f01-p1,2252284,2026-03-26,away,668678,Zac Gallen,4.9695,,,,,,,,,
wf-19288f01-p1,2252284,2026-03-26,home,808967,Yoshinobu Yamamoto,9.9358,,,,,,,,,
wf-19288f01-p1,2250017,2026-03-27,away,693645,Cam Schlittler,6.7009,4.5,0.79794,6.7009,,,,0.797934,6.03e-06,PASS
wf-19288f01-p1,2250017,2026-03-27,home,592662,Robbie Ray,6.2227,6.5,0.42942,6.2227,,,,0.42942,3.4e-07,PASS
wf-19288f01-p1,2250018,2026-03-27,away,622663,Luis Severino,4.4572,3.5,0.65043,4.4572,,,,0.650431,1.49e-06,PASS
wf-19288f01-p1,2250018,2026-03-27,home,592332,Kevin Gausman,7.0615,5.5,0.70708,7.0615,,,,0.707077,2.8e-06,PASS
wf-19288f01-p1,2250019,2026-03-27,away,607536,Kyle Freeland,4.3638,3.5,0.63420,4.3638,,,,0.634206,6.11e-06,PASS
wf-19288f01-p1,2250019,2026-03-27,home,645261,Sandy Alcantara,4.3385,5.5,0.26975,4.3385,,,,0.269757,6.81e-06,PASS
wf-19288f01-p1,2250020,2026-03-27,away,666142,Cole Ragans,10.2991,6.5,0.85000,10.2991,,,,0.85,0.0,PASS
wf-19288f01-p1,2250020,2026-03-27,home,519242,Chris Sale,11.0771,6.5,0.85000,11.0771,,,,0.85,0.0,PASS
wf-19288f01-p1,2250021,2026-03-27,away,579328,Yusei Kikuchi,4.8454,4.5,0.53197,4.8454,,,,0.531974,3.68e-06,PASS
wf-19288f01-p1,2250021,2026-03-27,home,681347,Mike Burrows,5.4628,5.5,0.46470,5.4628,,,,0.464695,5.34e-06,PASS
wf-19288f01-p1,2250022,2026-03-27,away,664285,Framber Valdez,7.1455,4.5,0.83987,7.1455,,,,0.839873,2.82e-06,PASS
wf-19288f01-p1,2250022,2026-03-27,home,650633,Michael King,4.8786,5.5,0.36275,4.8786,,,,0.362748,1.8e-06,PASS
wf-19288f01-p1,2250023,2026-03-27,away,668909,Gavin Williams,5.2241,5.5,0.42329,5.2241,,,,0.423297,7.29e-06,PASS
wf-19288f01-p1,2250023,2026-03-27,home,669923,George Kirby,7.4961,5.5,0.75814,7.4961,,,,0.758137,3.29e-06,PASS
wf-19288f01-p1,2252293,2026-03-27,away,669194,Ryne Nelson,6.4516,3.5,0.85000,6.4516,,,,0.85,0.0,PASS
wf-19288f01-p1,2252293,2026-03-27,home,686218,Emmet Sheehan,10.9454,5.5,0.85000,10.9454,,,,0.85,0.0,PASS
wf-19288f01-p1,2250024,2026-03-28,away,671212,Joe Boyle,6.8169,4.5,0.80964,6.8169,,,,0.80964,2e-07,PASS
wf-19288f01-p1,2250024,2026-03-28,home,700241,Michael McGreevy,3.5728,3.5,0.47898,3.5728,,,,0.478992,1.177e-05,PASS
wf-19288f01-p1,2250025,2026-03-28,away,571945,Miles Mikolas,2.6951,3.5,0.28482,2.6951,,,,0.284828,7.83e-06,PASS
wf-19288f01-p1,2250025,2026-03-28,home,690990,Cade Horton,5.1080,4.5,0.57825,5.108,,,,0.578248,1.74e-06,PASS
wf-19288f01-p1,2250026,2026-03-28,away,605488,Jeffrey Springs,4.3441,3.5,0.63072,4.3441,,,,0.630722,2.18e-06,PASS
wf-19288f01-p1,2250026,2026-03-28,home,656302,Dylan Cease,7.9599,6.5,0.68170,7.9599,,,,0.681703,3.47e-06,PASS
wf-19288f01-p1,2250027,2026-03-28,away,671737,Taj Bradley,4.4812,4.5,0.46433,4.4812,,,,0.464324,5.65e-06,PASS
wf-19288f01-p1,2250027,2026-03-28,home,680694,Kyle Bradish,10.7399,6.5,0.85000,10.7399,,,,0.85,0.0,PASS
wf-19288f01-p1,2250028,2026-03-28,away,656641,Jacob Latz,6.9543,,,,,,,,,
wf-19288f01-p1,2250028,2026-03-28,home,605400,Aaron Nola,5.1559,5.5,0.41138,5.1559,,,,0.411373,7.1e-06,PASS
wf-19288f01-p1,2250029,2026-03-28,away,543243,Sonny Gray,7.7526,6.5,0.65548,7.7526,,,,0.655485,5.42e-06,PASS
wf-19288f01-p1,2250029,2026-03-28,home,663903,Brady Singer,5.6436,4.5,0.66441,5.6436,,,,0.664415,5.34e-06,PASS
wf-19288f01-p1,2250030,2026-03-28,away,656605,Mitch Keller,4.9786,4.5,0.55575,4.9786,,,,0.555744,6.29e-06,PASS
wf-19288f01-p1,2250030,2026-03-28,home,656849,David Peterson,6.2626,4.5,0.74856,6.2626,,,,0.748558,2.37e-06,PASS
wf-19288f01-p1,2250031,2026-03-28,away,547179,Michael Lorenzen,4.2779,4.5,0.42529,4.2779,,,,0.425287,2.91e-06,PASS
wf-19288f01-p1,2250031,2026-03-28,home,691587,Eury Pérez,5.6553,6.5,0.33852,5.6553,,,,0.338518,1.98e-06,PASS
wf-19288f01-p1,2250032,2026-03-28,away,672282,Reid Detmers,8.2226,,,,,,,,,
wf-19288f01-p1,2250032,2026-03-28,home,664299,Cristian Javier,4.8964,4.5,0.54115,4.8964,,,,0.541144,6e-06,PASS
wf-19288f01-p1,2250033,2026-03-28,away,680732,Sean Burke,5.2553,4.5,0.60310,5.2553,,,,0.603106,6.11e-06,PASS
wf-19288f01-p1,2250033,2026-03-28,home,694477,Chad Patrick,6.6837,5.5,0.65710,6.6837,,,,0.657088,1.151e-05,PASS
wf-19288f01-p1,2250034,2026-03-28,away,608379,Michael Wacha,4.6902,3.5,0.68877,4.6902,,,,0.688771,1.34e-06,PASS
wf-19288f01-p1,2250034,2026-03-28,home,625643,Reynaldo López,0.7101,4.5,0.03000,0.7101,,,,0.03,0.0,PASS
wf-19288f01-p1,2250035,2026-03-28,away,701542,Will Warren,5.1789,4.5,0.59032,5.1789,,,,0.590317,2.73e-06,PASS
wf-19288f01-p1,2250035,2026-03-28,home,641816,Tyler Mahle,4.9570,4.5,0.55192,4.957,,,,0.551929,9.46e-06,PASS
wf-19288f01-p1,2250036,2026-03-28,away,656427,Jack Flaherty,6.6283,5.5,0.64933,6.6283,,,,0.649331,8.8e-07,PASS
wf-19288f01-p1,2250036,2026-03-28,home,681190,Randy Vásquez,2.6265,3.5,0.26978,2.6265,,,,0.269775,4.51e-06,PASS
wf-19288f01-p1,2250037,2026-03-28,away,676282,Joey Cantillo,9.4730,,,,,,,,,
wf-19288f01-p1,2250037,2026-03-28,home,693433,Bryan Woo,7.7928,5.5,0.78904,7.7928,,,,0.789038,1.81e-06,PASS
wf-19288f01-p1,2252307,2026-03-28,away,593958,Eduardo Rodriguez,4.1537,3.5,0.59596,4.1537,,,,0.595967,7.05e-06,PASS
