comparison,dimension,bucket,n,brier_a,brier_b,delta_a_minus_b,se,z
live_vs_p2,ALL,ALL,1536,0.250157,0.248563,0.001594,0.001712,0.93
live_vs_p1,ALL,ALL,1536,0.250157,0.248734,0.001423,0.001699,0.84
p1_vs_p2,ALL,ALL,1555,0.248883,0.248714,0.000169,0.000169,1.0
live_clean_vs_p2,ALL,ALL,1176,0.25169,0.247796,0.003894,0.001887,2.06
live_vs_p2,month,2026-03,75,0.25288,0.250886,0.001994,0.008653,0.23
live_vs_p1,month,2026-03,75,0.25288,0.250886,0.001994,0.008653,0.23
p1_vs_p2,month,2026-03,76,0.250071,0.250071,0.0,0.0,
live_vs_p2,month,2026-04,388,0.245259,0.24786,-0.002601,0.004103,-0.63
live_vs_p1,month,2026-04,388,0.245259,0.24786,-0.002601,0.004103,-0.63
p1_vs_p2,month,2026-04,392,0.248394,0.248394,0.0,0.0,
live_clean_vs_p2,month,2026-04,181,0.248125,0.245956,0.002169,0.006033,0.36
live_vs_p2,month,2026-05,405,0.250337,0.253465,-0.003128,0.003351,-0.93
live_vs_p1,month,2026-05,405,0.250337,0.254115,-0.003778,0.00325,-1.16
p1_vs_p2,month,2026-05,419,0.25414,0.253511,0.000629,0.000629,1.0
live_clean_vs_p2,month,2026-05,374,0.249926,0.253047,-0.003121,0.003538,-0.88
live_vs_p2,month,2026-06,394,0.253036,0.24504,0.007996,0.002821,2.83
live_vs_p1,month,2026-06,394,0.253036,0.24504,0.007996,0.002821,2.83
p1_vs_p2,month,2026-06,394,0.24504,0.24504,0.0,0.0,
live_clean_vs_p2,month,2026-06,358,0.254792,0.2442,0.010591,0.002953,3.59
live_vs_p2,month,2026-07,274,0.251943,0.246742,0.0052,0.003398,1.53
live_vs_p1,month,2026-07,274,0.251943,0.246742,0.0052,0.003398,1.53
p1_vs_p2,month,2026-07,274,0.246742,0.246742,0.0,0.0,
live_clean_vs_p2,month,2026-07,263,0.252431,0.246489,0.005942,0.003488,1.7
live_vs_p2,sp_shrunk_bucket,Q1<0.544,307,0.243751,0.249992,-0.006241,0.004496,-1.39
live_vs_p1,sp_shrunk_bucket,Q1<0.544,307,0.243751,0.25085,-0.007099,0.004362,-1.63
p1_vs_p2,sp_shrunk_bucket,Q1<0.544,311,0.250749,0.249902,0.000847,0.000847,1.0
live_clean_vs_p2,sp_shrunk_bucket,Q1<0.544,174,0.241222,0.242439,-0.001217,0.005531,-0.22
live_vs_p2,sp_shrunk_bucket,"Q2[0.544,0.595)",306,0.251518,0.246158,0.00536,0.00405,1.32
live_vs_p1,sp_shrunk_bucket,"Q2[0.544,0.595)",306,0.251518,0.246158,0.00536,0.00405,1.32
