series,dimension,bucket,n,base_rate,mean_p,calib_gap,calib_gap_z,brier,brier_const_slice,brier_skill,logloss,n_picks,hits,hit_rate
live,ALL,ALL,1536,0.49023,0.47749,-0.01274,-1.0,0.250157,0.249905,-0.000253,0.693405,1417,721,0.50882
p1,ALL,ALL,1555,0.48939,0.51629,0.0269,2.12,0.248883,0.249887,0.001004,0.690914,1553,827,0.53252
p2,ALL,ALL,1555,0.48939,0.51662,0.02723,2.15,0.248714,0.249887,0.001173,0.690451,1553,828,0.53316
live_clean,ALL,ALL,1176,0.49065,0.47725,-0.01339,-0.92,0.25169,0.249913,-0.001778,0.696508,1085,534,0.49217
live,month,2026-03,75,0.58667,0.47467,-0.112,-1.97,0.25288,0.242489,-0.010391,0.698884,72,36,0.5
p1,month,2026-03,76,0.59211,0.53066,-0.06144,-1.09,0.250071,0.241517,-0.008555,0.693388,76,41,0.53947
p2,month,2026-03,76,0.59211,0.53066,-0.06144,-1.09,0.250071,0.241517,-0.008555,0.693388,76,41,0.53947
live,month,2026-04,388,0.49742,0.4716,-0.02582,-1.02,0.245259,0.249993,0.004734,0.683478,364,204,0.56044
p1,month,2026-04,392,0.49745,0.52242,0.02498,0.99,0.248394,0.249993,0.001599,0.690009,391,215,0.54987
p2,month,2026-04,392,0.49745,0.52242,0.02498,0.99,0.248394,0.249993,0.001599,0.690009,391,215,0.54987
live_clean,month,2026-04,181,0.51381,0.4684,-0.04541,-1.22,0.248125,0.249809,0.001684,0.689272,173,90,0.52023
live,month,2026-05,405,0.47654,0.4796,0.00306,0.12,0.250337,0.24945,-0.000888,0.693768,371,183,0.49326
p1,month,2026-05,419,0.47255,0.51683,0.04427,1.82,0.25414,0.249247,-0.004894,0.701531,419,209,0.49881
p2,month,2026-05,419,0.47255,0.51805,0.0455,1.87,0.253511,0.249247,-0.004265,0.699812,419,210,0.50119
live_clean,month,2026-05,374,0.47861,0.47802,-0.00059,-0.02,0.249926,0.249542,-0.000384,0.692933,344,172,0.5
live,month,2026-06,394,0.47208,0.48025,0.00817,0.32,0.253036,0.249221,-0.003815,0.699249,365,179,0.49041
p1,month,2026-06,394,0.47208,0.51141,0.03932,1.56,0.24504,0.249221,0.004181,0.683158,394,221,0.56091
p2,month,2026-06,394,0.47208,0.51141,0.03932,1.56,0.24504,0.249221,0.004181,0.683158,394,221,0.56091
live_clean,month,2026-06,358,0.48324,0.47983,-0.00341,-0.13,0.254792,0.249719,-0.005073,0.702801,333,159,0.47748
live,month,2026-07,274,0.5,0.47953,-0.02047,-0.68,0.251943,0.25,-0.001943,0.697022,245,119,0.48571
p1,month,2026-07,274,0.5,0.50974,0.00974,0.32,0.246742,0.25,0.003258,0.686442,273,141,0.51648
p2,month,2026-07,274,0.5,0.50974,0.00974,0.32,0.246742,0.25,0.003258,0.686442,273,141,0.51648
live_clean,month,2026-07,263,0.5019,0.47875,-0.02316,-0.75,0.252431,0.249996,-0.002434,0.698003,235,113,0.48085
live,sp_shrunk_bucket,Q1<0.544,307,0.43322,0.4586,0.02537,0.9,0.243751,0.245541,0.00179,0.680303,292,160,0.54795
p1,sp_shrunk_bucket,Q1<0.544,311,0.43087,0.50708,0.07621,2.71,0.250749,0.245221,-0.005528,0.694563,311,161,0.51768
p2,sp_shrunk_bucket,Q1<0.544,311,0.43087,0.50873,0.07786,2.77,0.249902,0.245221,-0.004681,0.692248,311,162,0.5209
live_clean,sp_shrunk_bucket,Q1<0.544,174,0.41954,0.45667,0.03713,0.99,0.241222,0.243526,0.002304,0.675236,164,91,0.55488
live,sp_shrunk_bucket,"Q2[0.544,0.595)",306,0.49346,0.47039,-0.02307,-0.81,0.251518,0.249957,-0.00156,0.696134,285,136,0.47719
p1,sp_shrunk_bucket,"Q2[0.544,0.595)",311,0.48875,0.51602,0.02728,0.96,0.246371,0.249873,0.003503,0.685758,310,170,0.54839
p2,sp_shrunk_bucket,"Q2[0.544,0.595)",311,0.48875,0.51602,0.02728,0.96,0.246371,0.249873,0.003503,0.685758,310,170,0.54839
live_clean,sp_shrunk_bucket,"Q2[0.544,0.595)",225,0.48444,0.46956,-0.01489,-0.45,0.25436,0.249758,-0.004602,0.701858,210,94,0.44762
live,sp_shrunk_bucket,"Q3[0.595,0.647)",307,0.47231,0.48329,0.01098,0.39,0.251642,0.249233,-0.002409,0.69646,271,134,0.49446
p1,sp_shrunk_bucket,"Q3[0.595,0.647)",311,0.47588,0.52,0.04412,1.56,0.251537,0.249418,-0.002119,0.69636,311,159,0.51125
p2,sp_shrunk_bucket,"Q3[0.595,0.647)",311,0.47588,0.52,0.04412,1.56,0.251537,0.249418,-0.002119,0.69636,311,159,0.51125
