game_id,mlb_game_pk,date,month,teams,dh_game_no,series,p,pick,actual,actual_label,actual_source,inn1_away,inn1_home,bin_vs_linescore_agree,str_vs_bin_agree,correct,brier,logloss,leakage_flag,book_nrfi_odds,book_yrfi_odds,stored_correct,stored_brier,pipeline_grade_prob,pipeline_grade_correct
2250006,823244,2026-03-25,2026-03,NYY@SF,1,live,,,1,NRFI,linescore,0,0,1,1,,,,,-156,+122,,,,
2250006,823244,2026-03-25,2026-03,NYY@SF,1,p1,0.5653,NRFI,1,NRFI,linescore,0,0,1,1,1,0.188964,0.570399,,,,,,0.5653,1
2250006,823244,2026-03-25,2026-03,NYY@SF,1,p2,0.5653,NRFI,1,NRFI,linescore,0,0,1,1,1,0.188964,0.570399,,,,,,0.5653,1
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,live,0.54,NRFI,0,YRFI,linescore,2,5,1,1,0,0.2916,0.776529,1,-178,+138,0,0.2916,0.54,0
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,p1,0.5576,NRFI,0,YRFI,linescore,2,5,1,1,0,0.310918,0.815541,,,,,,0.5576,0
2250007,823649,2026-03-26,2026-03,PIT@NYM,1,p2,0.5576,NRFI,0,YRFI,linescore,2,5,1,1,0,0.310918,0.815541,,,,,,0.5576,0
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,live,0.46,YRFI,0,YRFI,linescore,1,0,1,1,1,0.2116,0.616186,1,-136,+106,1,0.2116,0.46,1
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,p1,0.5445,NRFI,0,YRFI,linescore,1,0,1,1,0,0.29648,0.78636,,,,,,0.5445,0
2250008,823812,2026-03-26,2026-03,CWS@MIL,1,p2,0.5445,NRFI,0,YRFI,linescore,1,0,1,1,0,0.29648,0.78636,,,,,,0.5445,0
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,live,0.49,YRFI,1,NRFI,linescore,0,0,1,1,0,0.2601,0.71335,1,-158,+124,0,0.2601,0.49,0
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,p1,0.5185,NRFI,1,NRFI,linescore,0,0,1,1,1,0.231842,0.656815,,,,,,0.5185,1
2250009,824704,2026-03-26,2026-03,WSH@CHC,1,p2,0.5185,NRFI,1,NRFI,linescore,0,0,1,1,1,0.231842,0.656815,,,,,,0.5185,1
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,live,0.47,YRFI,1,NRFI,linescore,0,0,1,1,0,0.2809,0.755023,1,-111,-115,0,0.2809,0.47,0
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,p1,0.5543,NRFI,1,NRFI,linescore,0,0,1,1,1,0.198648,0.590049,,,,,,0.5543,1
2250010,824865,2026-03-26,2026-03,MIN@BAL,1,p2,0.5543,NRFI,1,NRFI,linescore,0,0,1,1,1,0.198648,0.590049,,,,,,0.5543,1
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,live,0.5,NONE,1,NRFI,linescore,0,0,1,1,,0.25,0.693147,1,-164,+128,0,0.25,0.5,0
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,p1,0.5212,NRFI,1,NRFI,linescore,0,0,1,1,1,0.229249,0.651621,,,,,,0.5212,1
2250011,824541,2026-03-26,2026-03,BOS@CIN,1,p2,0.5212,NRFI,1,NRFI,linescore,0,0,1,1,1,0.229249,0.651621,,,,,,0.5212,1
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,live,0.51,NRFI,1,NRFI,linescore,0,0,1,1,1,0.2401,0.673345,1,-132,+104,1,0.2401,0.51,1
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,p1,0.5411,NRFI,1,NRFI,linescore,0,0,1,1,1,0.210589,0.614151,,,,,,0.5411,1
2250012,824218,2026-03-26,2026-03,LAA@HOU,1,p2,0.5411,NRFI,1,NRFI,linescore,0,0,1,1,1,0.210589,0.614151,,,,,,0.5411,1
2250013,823325,2026-03-26,2026-03,DET@SD,1,live,0.51,NRFI,0,YRFI,linescore,4,0,1,1,0,0.2601,0.71335,1,-174,+136,0,0.2601,0.51,0
2250013,823325,2026-03-26,2026-03,DET@SD,1,p1,0.6218,NRFI,0,YRFI,linescore,4,0,1,1,0,0.386635,0.972332,,,,,,0.6218,0
2250013,823325,2026-03-26,2026-03,DET@SD,1,p2,0.6218,NRFI,0,YRFI,linescore,4,0,1,1,0,0.386635,0.972332,,,,,,0.6218,0
2250014,823081,2026-03-26,2026-03,TB@STL,1,live,0.49,YRFI,1,NRFI,linescore,0,0,1,1,0,0.2601,0.71335,1,-125,-102,0,0.2601,0.49,0
2250014,823081,2026-03-26,2026-03,TB@STL,1,p1,0.5639,NRFI,1,NRFI,linescore,0,0,1,1,1,0.190183,0.572878,,,,,,0.5639,1
2250014,823081,2026-03-26,2026-03,TB@STL,1,p2,0.5639,NRFI,1,NRFI,linescore,0,0,1,1,1,0.190183,0.572878,,,,,,0.5639,1
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,live,0.46,YRFI,0,YRFI,linescore,0,2,1,1,1,0.2116,0.616186,1,-142,+112,1,0.2116,0.46,1
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,p1,0.5445,NRFI,0,YRFI,linescore,0,2,1,1,0,0.29648,0.78636,,,,,,0.5445,0
2250015,823486,2026-03-26,2026-03,TEX@PHI,1,p2,0.5445,NRFI,0,YRFI,linescore,0,2,1,1,0,0.29648,0.78636,,,,,,0.5445,0
2250016,823163,2026-03-26,2026-03,CLE@SEA,1,live,0.51,NRFI,0,YRFI,linescore,1,1,1,1,0,0.2601,0.71335,1,-150,+118,0,0.2601,0.51,0
