series,month,n_pop,n_scored,n_missing_p,mean_p,base_rate_nrfi,n_picks,n_none_p_half,hits,hit_rate,hit_ci_lo,hit_ci_hi,hit_z_vs_coin,hit_rate_half_as_yrfi,brier,brier_minus_quarter_z,brier_const_base,brier_skill_vs_base,logloss,logloss_const_base,auc
live,ALL,1555,1536,19,0.47749,0.49023,1417,119,721,0.50882,0.4828,0.53479,0.664,0.51367,0.250157,0.121,0.249905,-0.00101,0.693405,0.692956,0.52207
live,2026-03,76,75,1,0.47467,0.58667,72,3,36,0.5,0.38747,0.61253,0.0,0.49333,0.25288,0.448,0.242489,-0.04285,0.698884,0.678049,0.54032
live,2026-04,392,388,4,0.4716,0.49742,364,24,204,0.56044,0.50908,0.61053,2.306,0.54897,0.245259,-1.754,0.249993,0.01894,0.683478,0.693134,0.58485
live,2026-05,419,405,14,0.4796,0.47654,371,34,183,0.49326,0.44272,0.54394,-0.26,0.50123,0.250337,0.137,0.24945,-0.00356,0.693768,0.692046,0.51169
live,2026-06,394,394,0,0.48025,0.47208,365,29,179,0.49041,0.43949,0.54153,-0.366,0.51015,0.253036,1.202,0.249221,-0.01531,0.699249,0.691587,0.47936
live,2026-07,274,274,0,0.47953,0.5,245,29,119,0.48571,0.42384,0.54803,-0.447,0.4927,0.251943,0.649,0.25,-0.00777,0.697022,0.693147,0.50495
p1,ALL,1555,1555,0,0.51629,0.48939,1553,2,827,0.53252,0.50765,0.55722,2.563,0.53312,0.248883,-0.784,0.249887,0.00402,0.690914,0.692922,0.54671
p1,2026-03,76,76,0,0.53066,0.59211,76,0,41,0.53947,0.42822,0.64692,0.688,0.53947,0.250071,0.013,0.241517,-0.03542,0.693388,0.676083,0.45806
p1,2026-04,392,392,0,0.52242,0.49745,391,1,215,0.54987,0.50031,0.59846,1.972,0.55102,0.248394,-0.512,0.249993,0.0064,0.690009,0.693134,0.55551
p1,2026-05,419,419,0,0.51683,0.47255,419,0,209,0.49881,0.45116,0.54648,-0.049,0.49881,0.25414,1.481,0.249247,-0.01963,0.701531,0.69164,0.49977
p1,2026-06,394,394,0,0.51141,0.47208,394,0,221,0.56091,0.51156,0.6091,2.418,0.56091,0.24504,-1.878,0.249221,0.01678,0.683158,0.691587,0.59795
p1,2026-07,274,274,0,0.50974,0.5,273,1,141,0.51648,0.45739,0.57512,0.545,0.51825,0.246742,-1.021,0.25,0.01303,0.686442,0.693147,0.54545
p2,ALL,1555,1555,0,0.51662,0.48939,1553,2,828,0.53316,0.5083,0.55786,2.614,0.53376,0.248714,-0.897,0.249887,0.00469,0.690451,0.692922,0.54765
p2,2026-03,76,76,0,0.53066,0.59211,76,0,41,0.53947,0.42822,0.64692,0.688,0.53947,0.250071,0.013,0.241517,-0.03542,0.693388,0.676083,0.45806
p2,2026-04,392,392,0,0.52242,0.49745,391,1,215,0.54987,0.50031,0.59846,1.972,0.55102,0.248394,-0.512,0.249993,0.0064,0.690009,0.693134,0.55551
p2,2026-05,419,419,0,0.51805,0.47255,419,0,210,0.50119,0.45352,0.54884,0.049,0.50119,0.253511,1.227,0.249247,-0.01711,0.699812,0.69164,0.50351
p2,2026-06,394,394,0,0.51141,0.47208,394,0,221,0.56091,0.51156,0.6091,2.418,0.56091,0.24504,-1.878,0.249221,0.01678,0.683158,0.691587,0.59795
p2,2026-07,274,274,0,0.50974,0.5,273,1,141,0.51648,0.45739,0.57512,0.545,0.51825,0.246742,-1.021,0.25,0.01303,0.686442,0.693147,0.54545
live_clean,ALL,1176,1176,0,0.47725,0.49065,1085,91,534,0.49217,0.4625,0.52189,-0.516,0.5017,0.25169,1.141,0.249913,-0.00711,0.696508,0.692972,0.50435
live_clean,2026-03,0,0,0,,,,,,,,,,,,,,,,,
live_clean,2026-04,181,181,0,0.4684,0.51381,173,8,90,0.52023,0.44616,0.59343,0.532,0.51934,0.248125,-0.454,0.249809,0.00674,0.689272,0.692766,0.55718
live_clean,2026-05,374,374,0,0.47802,0.47861,344,30,172,0.5,0.44745,0.55255,0.0,0.50802,0.249926,-0.029,0.249542,-0.00154,0.692933,0.692232,0.5147
live_clean,2026-06,358,358,0,0.47983,0.48324,333,25,159,0.47748,0.42439,0.53108,-0.822,0.49441,0.254792,1.792,0.249719,-0.02031,0.702801,0.692585,0.46707
live_clean,2026-07,263,263,0,0.47875,0.5019,235,28,113,0.48085,0.41779,0.54453,-0.587,0.49049,0.252431,0.787,0.249996,-0.00974,0.698003,0.69314,0.50127
