series,decile,n,p_min,p_max,mean_p,obs_nrfi_rate,gap_obs_minus_pred
live,1,153,0.3,0.42,0.39804,0.38562,-0.01242
live,2,154,0.42,0.44,0.43039,0.48052,0.05013
live,3,153,0.44,0.45,0.44549,0.52288,0.07739
live,4,154,0.45,0.46,0.4587,0.45455,-0.00416
live,5,154,0.46,0.48,0.47091,0.46753,-0.00338
live,6,153,0.48,0.49,0.48248,0.62745,0.14497
live,7,154,0.49,0.5,0.49455,0.48052,-0.01403
live,8,153,0.5,0.52,0.50693,0.52941,0.02248
live,9,154,0.52,0.54,0.52513,0.49351,-0.03162
live,10,154,0.54,0.63,0.56182,0.46104,-0.10078
p1,1,155,0.2797,0.447,0.40442,0.3871,-0.01733
p1,2,156,0.4471,0.4787,0.46487,0.4359,-0.02897
p1,3,155,0.4787,0.495,0.48701,0.50968,0.02266
p1,4,156,0.4951,0.5101,0.50233,0.42949,-0.07284
p1,5,155,0.5101,0.5219,0.51583,0.50968,-0.00615
p1,6,156,0.5219,0.5337,0.52779,0.48077,-0.04702
p1,7,155,0.5338,0.546,0.53964,0.54194,0.00229
p1,8,156,0.546,0.5608,0.55354,0.59615,0.04261
p1,9,155,0.5608,0.5784,0.56843,0.49032,-0.07811
p1,10,156,0.5786,0.6578,0.59864,0.51282,-0.08582
p2,1,155,0.2797,0.447,0.40442,0.3871,-0.01733
p2,2,156,0.4471,0.4787,0.46487,0.4359,-0.02897
p2,3,155,0.4787,0.4951,0.48707,0.50968,0.02261
p2,4,156,0.4951,0.5101,0.50242,0.42308,-0.07934
p2,5,155,0.5102,0.5219,0.5159,0.51613,0.00023
p2,6,156,0.5219,0.5338,0.52787,0.48077,-0.0471
p2,7,155,0.5341,0.546,0.53972,0.53548,-0.00424
p2,8,156,0.546,0.5608,0.55364,0.60256,0.04892
p2,9,155,0.5609,0.5786,0.56855,0.49032,-0.07823
p2,10,156,0.5787,1.0,0.60134,0.51282,-0.08852
live_clean,1,117,0.34,0.42,0.39983,0.37607,-0.02376
live_clean,2,118,0.42,0.44,0.42924,0.49153,0.06229
live_clean,3,117,0.44,0.45,0.44504,0.54701,0.10197
live_clean,4,118,0.45,0.46,0.45771,0.51695,0.05924
live_clean,5,118,0.46,0.48,0.46992,0.4661,-0.00381
live_clean,6,117,0.48,0.49,0.48222,0.64957,0.16735
live_clean,7,118,0.49,0.5,0.49483,0.41525,-0.07958
live_clean,8,117,0.5,0.52,0.50778,0.52991,0.02214
live_clean,9,118,0.52,0.54,0.52508,0.50847,-0.01661
live_clean,10,118,0.54,0.63,0.56025,0.40678,-0.15347
