series,month,pick_side,n,wins,hit_rate,ci_lo,ci_hi,mean_p,obs_nrfi_rate,n_with_book_odds,flat_stake_profit_units,roi_at_book_odds
live,ALL,NRFI,412,209,0.50728,0.45916,0.55527,0.53507,0.50728,210,-11.94,-0.05686
live,ALL,YRFI,1005,512,0.50945,0.47857,0.54027,0.45122,0.49055,572,-14.03,-0.02453
live,ALL,NONE,119,68,,,,0.5,0.42857,0,,
live,2026-03,NRFI,18,12,0.66667,0.43749,0.83721,0.53778,0.66667,17,3.35,0.19706
live,2026-03,YRFI,54,24,0.44444,0.32002,0.57625,0.45222,0.55556,47,-7.93,-0.16866
live,2026-03,NONE,3,1,,,,0.5,0.66667,0,,
live,2026-04,NRFI,84,51,0.60714,0.50022,0.7047,0.53655,0.60714,68,4.07,0.0598
live,2026-04,YRFI,280,153,0.54643,0.48788,0.60372,0.44968,0.45357,230,20.53,0.08927
live,2026-04,NONE,24,9,,,,0.5,0.625,0,,
live,2026-05,NRFI,113,52,0.46018,0.3711,0.55187,0.5354,0.46018,78,-16.09,-0.20632
live,2026-05,YRFI,258,131,0.50775,0.44708,0.56819,0.45248,0.49225,179,-12.17,-0.06799
live,2026-05,NONE,34,20,,,,0.5,0.41176,0,,
live,2026-06,NRFI,119,56,0.47059,0.38324,0.55978,0.53454,0.47059,3,-1.3,-0.43192
live,2026-06,YRFI,246,123,0.5,0.438,0.562,0.45167,0.5,19,-1.5,-0.07909
live,2026-06,NONE,29,22,,,,0.5,0.24138,0,,
live,2026-07,NRFI,78,38,0.48718,0.37949,0.59607,0.53321,0.48718,44,-1.97,-0.04471
live,2026-07,YRFI,167,81,0.48503,0.41042,0.56031,0.4509,0.51497,97,-12.96,-0.13363
live,2026-07,NONE,29,16,,,,0.5,0.44828,0,,
p1,ALL,NRFI,1037,536,0.51688,0.48645,0.54717,0.54608,0.51688,,,
p1,ALL,YRFI,516,291,0.56395,0.52085,0.60611,0.4565,0.43605,,,
p1,ALL,NONE,2,2,,,,0.5,0.0,,,
p1,2026-03,NRFI,62,36,0.58065,0.45665,0.69523,0.54219,0.58065,,,
p1,2026-03,YRFI,14,5,0.35714,0.16344,0.61236,0.4796,0.64286,,,
p1,2026-04,NRFI,277,148,0.5343,0.47548,0.59217,0.55136,0.5343,,,
p1,2026-04,YRFI,114,67,0.58772,0.49594,0.67378,0.45231,0.41228,,,
p1,2026-04,NONE,1,1,,,,0.5,0.0,,,
p1,2026-05,NRFI,280,134,0.47857,0.42075,0.53698,0.5474,0.47857,,,
p1,2026-05,YRFI,139,75,0.53957,0.45676,0.62025,0.45524,0.46043,,,
p1,2026-06,NRFI,247,130,0.52632,0.46412,0.5877,0.54237,0.52632,,,
p1,2026-06,YRFI,147,91,0.61905,0.53846,0.69357,0.45938,0.38095,,,
p1,2026-07,NRFI,171,88,0.51462,0.44022,0.58838,0.54211,0.51462,,,
p1,2026-07,YRFI,102,53,0.51961,0.42371,0.61408,0.45557,0.48039,,,
p1,2026-07,NONE,1,1,,,,0.5,0.0,,,
p2,ALL,NRFI,1038,537,0.51734,0.48693,0.54762,0.54651,0.51734,,,
p2,ALL,YRFI,515,291,0.56505,0.52191,0.60723,0.45644,0.43495,,,
p2,ALL,NONE,2,2,,,,0.5,0.0,,,
p2,2026-03,NRFI,62,36,0.58065,0.45665,0.69523,0.54219,0.58065,,,
p2,2026-03,YRFI,14,5,0.35714,0.16344,0.61236,0.4796,0.64286,,,
p2,2026-04,NRFI,277,148,0.5343,0.47548,0.59217,0.55136,0.5343,,,
p2,2026-04,YRFI,114,67,0.58772,0.49594,0.67378,0.45231,0.41228,,,
p2,2026-04,NONE,1,1,,,,0.5,0.0,,,
p2,2026-05,NRFI,281,135,0.48043,0.42267,0.53871,0.54901,0.48043,,,
p2,2026-05,YRFI,138,75,0.54348,0.46032,0.62428,0.45501,0.45652,,,
p2,2026-06,NRFI,247,130,0.52632,0.46412,0.5877,0.54237,0.52632,,,
p2,2026-06,YRFI,147,91,0.61905,0.53846,0.69357,0.45938,0.38095,,,
p2,2026-07,NRFI,171,88,0.51462,0.44022,0.58838,0.54211,0.51462,,,
p2,2026-07,YRFI,102,53,0.51961,0.42371,0.61408,0.45557,0.48039,,,
p2,2026-07,NONE,1,1,,,,0.5,0.0,,,
live_clean,ALL,NRFI,319,155,0.48589,0.43154,0.54058,0.53442,0.48589,140,-20.06,-0.1433
live_clean,ALL,YRFI,766,379,0.49478,0.45949,0.53012,0.45074,0.50522,371,-28.78,-0.07759
live_clean,ALL,NONE,91,56,,,,0.5,0.38462,0,,
live_clean,2026-04,NRFI,38,22,0.57895,0.42192,0.72148,0.53684,0.57895,24,-0.63,-0.02637
live_clean,2026-04,YRFI,135,68,0.5037,0.42043,0.58677,0.44726,0.4963,86,-1.89,-0.02196
live_clean,2026-04,NONE,8,4,,,,0.5,0.5,0,,
live_clean,2026-05,NRFI,101,48,0.47525,0.38056,0.57175,0.53327,0.47525,70,-15.07,-0.21524
live_clean,2026-05,YRFI,243,124,0.51029,0.44777,0.57249,0.45235,0.48971,171,-12.33,-0.07212
live_clean,2026-05,NONE,30,18,,,,0.5,0.4,0,,
live_clean,2026-06,NRFI,106,49,0.46226,0.37033,0.55683,0.53557,0.46226,3,-1.3,-0.43192
live_clean,2026-06,YRFI,227,110,0.48458,0.42037,0.54931,0.45159,0.51542,18,-2.6,-0.1446
live_clean,2026-06,NONE,25,18,,,,0.5,0.28,0,,
live_clean,2026-07,NRFI,74,36,0.48649,0.37612,0.59819,0.53311,0.48649,43,-3.07,-0.07133
live_clean,2026-07,YRFI,161,77,0.47826,0.40251,0.55503,0.45006,0.52174,96,-11.96,-0.1246
live_clean,2026-07,NONE,28,16,,,,0.5,0.42857,0,,
