game_id,mlb_game_pk,date,teams,api_inn1_away,api_inn1_home,api_nrfi,db_inn1_away,db_inn1_home,db_nrfi,games_actualNrfiBinary,games_nrfiActualResult,api_vs_db_match,forced_contradiction_case,fetch_error
2250009,824704,2026-03-26,WSH@CHC,0,0,1,0,0,1,1,NRFI,1,0,
2250019,823893,2026-03-27,COL@MIA,0,0,1,0,0,1,1,NRFI,1,0,
2250020,824946,2026-03-27,KC@ATL,0,1,0,0,1,0,0,YRFI,1,0,
2250023,823162,2026-03-27,CLE@SEA,1,0,0,1,0,0,0,YRFI,1,0,
2250034,824945,2026-03-28,KC@ATL,0,0,1,0,0,1,1,NRFI,1,0,
2250037,823161,2026-03-28,CLE@SEA,0,0,1,0,0,1,1,NRFI,1,0,
2250041,822837,2026-03-29,ATH@TOR,0,1,0,0,1,0,0,YRFI,1,0,
2250054,823890,2026-03-30,CWS@MIA,0,0,1,0,0,1,1,NRFI,1,0,
2250093,823242,2026-04-02,NYM@SF,1,3,0,1,3,0,0,YRFI,1,0,
2250121,822756,2026-04-05,LAD@WSH,0,0,1,0,0,1,1,NRFI,1,0,
2250293,824206,2026-04-18,STL@HOU,2,1,0,2,1,0,0,YRFI,1,0,
2250356,823639,2026-04-23,MIN@NYM,1,3,0,1,3,0,0,YRFI,1,0,
2250379,822910,2026-04-25,ATH@TEX,0,0,1,0,0,1,1,NRFI,1,0,
2250423,824608,2026-04-29,LAA@CWS,0,0,1,0,0,1,1,NRFI,1,0,
2250457,823146,2026-05-01,KC@SEA,4,2,0,4,2,0,0,YRFI,1,0,
2250459,823715,2026-05-02,TOR@MIN,0,1,0,0,1,0,0,YRFI,1,0,
2250491,824120,2026-05-04,CLE@KC,0,0,1,0,0,1,1,NRFI,1,0,
2250496,823143,2026-05-04,ATL@SEA,1,0,0,1,0,0,0,YRFI,1,0,
2250524,824683,2026-05-06,CIN@CHC,1,2,0,1,2,0,0,YRFI,1,0,
2250557,824606,2026-05-09,SEA@CWS,0,2,0,0,2,0,0,YRFI,1,0,
2250565,823463,2026-05-10,COL@PHI,0,2,0,0,2,0,0,YRFI,1,0,
2250704,823056,2026-05-21,PIT@STL,1,0,0,1,0,0,0,YRFI,1,0,
2250738,824839,2026-05-24,DET@BAL,0,0,1,0,0,1,1,YRFI,1,1,
2250756,824437,2026-05-25,WSH@CLE,3,0,0,3,0,0,0,YRFI,1,0,
2250941,824591,2026-06-09,ATL@CWS,2,0,0,2,0,0,0,YRFI,1,0,
2251057,823534,2026-06-19,CIN@NYY,0,0,1,0,0,1,1,NRFI,1,0,
2251123,824341,2026-06-24,BOS@COL,1,0,0,1,0,0,0,YRFI,1,0,
2251131,824500,2026-06-24,MIL@CIN,0,0,1,0,0,1,1,NRFI,1,0,
2251176,823608,2026-06-28,PHI@NYM,0,0,1,0,0,1,1,NRFI,1,0,
2251203,824907,2026-06-30,STL@ATL,0,0,1,0,0,1,1,NRFI,1,0,
2251210,823122,2026-06-30,LAA@SEA,0,0,1,0,0,1,1,NRFI,1,0,
2251212,824419,2026-07-01,TEX@CLE,0,0,1,0,0,1,1,NRFI,1,0,
2251290,823035,2026-07-07,MIL@STL,0,0,1,0,0,1,1,YRFI,1,1,
2251321,823357,2026-07-11,MIL@PIT,0,2,0,0,2,0,0,YRFI,1,0,
2251351,824491,2026-07-12,CHC@CIN,2,0,0,2,0,0,0,YRFI,1,0,
2251383,824738,2026-07-18,TB@BOS,0,0,1,0,0,1,1,NRFI,1,0,
2251425,823760,2026-07-21,NYM@MIL,0,0,1,0,0,1,1,NRFI,1,0,
2251438,824408,2026-07-22,MIN@CLE,1,1,0,1,1,0,0,YRFI,1,0,
2252570,825101,2026-04-17,TOR@ARI,0,0,1,0,0,1,1,NRFI,1,0,
3270003,824850,2026-04-30,HOU@BAL,5,0,0,5,0,0,0,YRFI,1,0,
