batting_order,n
\N,28
100,98838
101,9199
102,1515
103,630
104,287
105,128
106,61
107,29
108,11
109,6
110,1
111,1
200,98838
201,10158
202,1738
203,731
204,324
205,138
206,55
207,15
208,2
209,1
300,98838
301,10310
302,1288
303,466
304,199
305,89
306,37
307,22
308,7
309,2
310,2
400,98838
401,12413
402,1909
403,745
404,329
405,147
406,54
407,19
408,6
409,4
410,2
411,1
500,98838
501,13271
502,2708
503,1183
504,581
505,264
506,106
507,31
508,13
509,4
510,2
600,98838
601,14391
602,3345
603,1591
604,827
605,374
606,159
607,67
608,30
609,11
610,7
700,98838
701,14995
702,3782
703,1658
704,857
705,416
706,179
707,62
708,25
709,6
710,4
711,1
800,98838
801,17885
802,5701
803,2485
804,1540
805,841
806,435
807,176
808,75
809,26
810,12
811,2
812,1
813,1
900,98838
901,47825
902,34085
903,26233
904,19513
905,12674
906,6981
907,3454
908,1509
909,635
910,272
911,121
912,42
913,19
914,8
915,4
916,2
917,1
