season,game_type,games,games_with_batting,games_with_pitching,batting_rows,pitching_rows,avg_bat_rows_per_game,avg_pit_rows_per_game
2006,A,1,1,1,50,15,50.00,15.00
2006,D,14,14,14,346,115,24.71,8.21
2006,L,11,11,11,286,91,26.00,8.27
2006,R,2429,2429,2429,61000,18694,25.11,7.70
2006,W,5,5,5,120,37,24.00,7.40
2007,A,1,1,1,55,17,55.00,17.00
2007,D,13,13,13,331,106,25.46,8.15
2007,L,11,11,11,267,94,24.27,8.55
2007,R,2431,2431,2431,61604,19294,25.34,7.94
2007,W,4,4,4,105,38,26.25,9.50
2008,A,1,1,1,40,23,40.00,23.00
2008,D,15,15,15,369,118,24.60,7.87
2008,L,12,12,12,301,110,25.08,9.17
2008,R,2428,2428,2428,61065,19012,25.15,7.83
2008,W,5,5,5,129,40,25.80,8.00
2009,A,1,1,1,51,16,51.00,16.00
2009,D,13,13,13,348,124,26.77,9.54
2009,L,11,11,11,293,108,26.64,9.82
2009,R,2430,2430,2430,60520,19099,24.91,7.86
2009,W,6,6,6,146,49,24.33,8.17
2010,A,1,1,1,39,19,39.00,19.00
2010,D,15,15,15,372,124,24.80,8.27
2010,L,12,12,12,293,98,24.42,8.17
2010,R,2430,2430,2430,60591,18786,24.93,7.73
2010,W,5,5,5,117,39,23.40,7.80
2011,A,1,1,1,41,19,41.00,19.00
2011,D,19,19,19,479,161,25.21,8.47
2011,L,12,12,12,317,117,26.42,9.75
2011,R,2429,2429,2429,60380,18752,24.86,7.72
2011,W,7,7,7,201,72,28.71,10.29
2012,A,1,1,1,41,20,41.00,20.00
2012,D,20,20,20,529,183,26.45,9.15
2012,F,2,2,2,59,19,29.50,9.50
2012,L,11,11,11,295,106,26.82,9.64
2012,R,2430,2430,2430,60714,19384,24.99,7.98
2012,W,4,4,4,101,31,25.25,7.75
2013,A,1,1,1,37,18,37.00,18.00
2013,D,18,18,18,468,152,26.00,8.44
2013,F,2,2,2,49,20,24.50,10.00
2013,L,12,12,12,308,109,25.67,9.08
2013,R,2431,2431,2431,59934,19198,24.65,7.90
2013,W,6,6,6,150,56,25.00,9.33
2014,A,1,1,1,41,21,41.00,21.00
2014,D,14,14,14,377,139,26.93,9.93
2014,F,2,2,2,55,20,27.50,10.00
2014,L,9,9,9,238,86,26.44,9.56
2014,R,2430,2430,2430,60016,19323,24.70,7.95
2014,W,7,7,7,169,58,24.14,8.29
2015,A,1,1,1,41,16,41.00,16.00
2015,D,19,19,19,499,167,26.26,8.79
2015,F,2,2,2,51,14,25.50,7.00
2015,L,10,10,10,245,86,24.50,8.60
2015,R,2429,2429,2429,60886,19966,25.07,8.22
2015,W,5,5,5,141,51,28.20,10.20
2016,A,1,1,1,41,19,41.00,19.00
2016,D,15,15,15,432,152,28.80,10.13
2016,F,2,2,2,43,17,21.50,8.50
2016,L,11,11,11,295,92,26.82,8.36
2016,R,2428,2428,2428,60811,20163,25.05,8.30
2016,W,7,7,7,182,64,26.00,9.14
2017,A,1,1,1,39,18,39.00,18.00
2017,D,17,17,17,436,162,25.65,9.53
2017,F,2,2,2,56,25,28.00,12.50
2017,L,12,12,12,291,93,24.25,7.75
2017,R,2430,2430,2430,60659,20519,24.96,8.44
2017,W,7,7,7,186,70,26.57,10.00
2018,A,1,1,1,40,18,40.00,18.00
2018,D,14,14,14,379,141,27.07,10.07
2018,F,2,2,2,65,26,32.50,13.00
2018,L,12,12,12,362,134,30.17,11.17
2018,R,2431,2431,2431,61179,21201,25.17,8.72
2018,W,5,5,5,156,57,31.20,11.40
2019,A,1,1,1,40,18,40.00,18.00
2019,D,18,18,18,481,188,26.72,10.44
2019,F,2,2,2,53,16,26.50,8.00
2019,L,10,10,10,235,100,23.50,10.00
2019,R,2429,2429,2429,61095,21432,25.15,8.82
2019,W,7,7,7,174,62,24.86,8.86
