season,games,home_pitch_outs_exact,away_pitch_outs_expected,home_pitch_outs_off,away_pitch_outs_off
2006,2460,2459,2455,1,5
2007,2460,2458,2459,2,1
2008,2461,2459,2459,2,2
2009,2461,2453,2452,8,9
2010,2463,2461,2459,2,4
2011,2468,2466,2463,2,5
2012,2468,2465,2466,3,2
2013,2470,2468,2465,2,5
2014,2463,2463,2462,0,1
2015,2466,2465,2464,1,2
2016,2464,2461,2458,3,6
2017,2469,2468,2468,1,1
2018,2465,2462,2465,3,0
2019,2467,2464,2462,3,5
2020,951,950,950,1,1
2021,2467,2464,2462,3,5
2022,2471,2470,2466,1,5
2023,2472,2472,2471,0,1
2024,2473,2473,2472,0,1
2025,2478,2476,2475,2,3
2026,1602,1601,1602,1,0
