game_pk,season,game_type,status_code,detailed_state,innings,away_score,home_score,is_tie,home_pitch_outs,away_pitch_outs,exp_full
40465,2006,R,FR,Completed Early: Rain,6,6,0,0,18,15,18
41965,2006,R,FR,Completed Early: Rain,8,6,1,0,24,21,24
42230,2006,R,FR,Completed Early: Rain,5,2,4,0,15,15,15
42301,2006,R,FR,Completed Early: Rain,8,2,1,0,23,21,24
42357,2006,R,FR,Completed Early: Rain,5,0,9,0,15,15,15
69672,2007,R,FR,Completed Early: Rain,7,1,8,0,21,21,21
70229,2007,R,FR,Completed Early: Rain,9,4,16,0,24,24,27
70494,2007,R,FR,Completed Early: Rain,6,4,9,0,16,15,18
235436,2008,R,FR,Completed Early: Rain,8,2,0,0,24,22,24
236156,2008,R,FR,Completed Early: Rain,7,3,0,0,19,18,21
236171,2008,R,FR,Completed Early: Rain,7,1,2,0,18,18,21
244567,2009,R,FR,Completed Early: Rain,7,4,1,0,19,18,21
244604,2009,R,FR,Completed Early: Rain,6,1,4,0,17,15,18
244748,2009,R,FR,Completed Early: Rain,6,7,5,0,15,15,18
244884,2009,R,FR,Completed Early: Rain,6,1,6,0,15,15,18
244993,2009,R,FR,Completed Early: Rain,6,4,1,0,17,15,18
245186,2009,R,FR,Completed Early: Rain,6,2,1,0,15,15,18
245346,2009,R,FR,Completed Early: Rain,7,11,4,0,20,18,21
246120,2009,R,FR,Completed Early: Rain,8,9,1,0,24,21,24
246319,2009,R,FR,Completed Early: Rain,9,8,3,0,27,24,27
246320,2009,R,FR,Completed Early: Rain,6,1,9,0,15,15,18
246337,2009,R,FR,Completed Early: Rain,9,7,2,0,27,24,27
246536,2009,R,FR,Completed Early: Rain,7,11,5,0,21,18,21
263960,2010,R,FR,Completed Early: Rain,6,1,5,0,18,18,18
264073,2010,R,FR,Completed Early: Rain,6,0,1,0,15,15,18
264728,2010,R,FR,Completed Early: Rain,6,3,5,0,18,18,18
265646,2010,R,FR,Completed Early: Rain,6,5,1,0,15,15,18
266211,2010,R,FR,Completed Early: Rain,6,2,6,0,18,18,18
287485,2011,R,FR,Completed Early: Rain,7,3,0,0,18,18,21
287641,2011,R,FR,Completed Early: Rain,7,7,4,0,20,18,21
287649,2011,R,FR,Completed Early: Rain,8,14,1,0,24,21,24
288028,2011,R,FR,Completed Early: Rain,8,5,1,0,24,21,24
288540,2011,R,FR,Completed Early: Rain,7,6,0,0,21,18,21
317796,2012,R,FR,Completed Early: Rain,8,3,0,0,23,21,24
319097,2012,R,FR,Completed Early: Rain,8,1,5,0,22,21,24
319276,2012,R,FR,Completed Early: Rain,6,1,4,0,17,15,18
319631,2012,R,FR,Completed Early: Rain,8,0,5,0,24,24,24
347585,2013,R,FR,Completed Early: Rain,6,3,0,0,18,15,18
347977,2013,R,FR,Completed Early: Rain,6,1,8,0,18,18,18
348709,2013,R,FR,Completed Early: Rain,6,6,3,0,15,15,18
348745,2013,R,FR,Completed Early: Rain,7,2,7,0,21,21,21
349063,2013,R,FR,Completed Early: Rain,7,5,4,0,19,18,21
381474,2014,R,FR,Completed Early: Rain,6,6,1,0,18,15,18
414086,2015,R,FR,Completed Early: Rain,6,2,1,0,16,15,18
414455,2015,R,FR,Completed Early: Rain,8,6,2,0,24,22,24
447056,2016,R,FR,Completed Early: Rain,6,4,7,0,18,18,18
448291,2016,R,FR,Completed Early: Rain,7,2,1,0,21,18,21
448650,2016,R,FR,Completed Early: Rain,7,8,1,0,18,18,21
449226,2016,R,FR,Completed Early: Rain,6,3,0,0,16,15,18
449231,2016,R,FR,Completed Early: Rain,5,3,6,0,15,15,15
449244,2016,R,FT,Final: Tied,6,1,1,1,16,15,18
491512,2017,R,FR,Completed Early: Rain,8,9,1,0,23,21,24
531536,2018,R,FR,Completed Early: Rain,7,2,7,0,19,18,21
531711,2018,R,FR,Completed Early: Rain,7,3,8,0,20,18,21
531777,2018,R,FR,Completed Early: Rain,8,3,9,0,21,21,24
565333,2019,R,FR,Completed Early: Rain,5,0,5,0,15,15,15
565780,2019,R,FR,Completed Early: Rain,7,6,2,0,21,18,21
566187,2019,R,FR,Completed Early: Rain,5,1,3,0,15,15,15
566627,2019,R,FR,Completed Early: Rain,8,5,3,0,24,21,24
567199,2019,R,FR,Completed Early: Rain,9,5,7,0,24,24,27
567220,2019,R,FR,Completed Early: Rain,7,1,4,0,18,18,21
567462,2019,R,FR,Completed Early: Rain,7,9,6,0,19,18,21
630851,2020,R,FR,Completed Early: Rain,6,4,1,0,16,15,18
632238,2021,R,FR,Completed Early: Rain,8,3,2,0,21,21,24
633298,2021,R,FR,Completed Early: Rain,6,1,3,0,18,18,18
633435,2021,R,FR,Completed Early: Rain,6,7,5,0,16,15,18
633744,2021,R,FR,Completed Early: Rain,8,6,3,0,22,21,24
633966,2021,R,FR,Completed Early: Rain,7,11,2,0,21,18,21
661220,2022,R,FR,Completed Early: Rain,6,0,2,0,18,18,18
661246,2022,R,FR,Completed Early: Rain,6,0,7,0,18,18,18
662636,2022,R,FR,Completed Early: Rain,8,8,4,0,24,21,24
663146,2022,R,FR,Completed Early: Rain,6,8,2,0,18,15,18
663273,2022,R,FR,Completed Early: Rain,8,5,1,0,23,21,24
716404,2023,R,FR,Completed Early: Rain,8,0,1,0,24,24,24
746320,2024,R,FG,Completed Early: Wet Grounds,5,1,2,0,15,15,15
777188,2025,R,FO,Completed Early,7,6,1,0,20,18,21
778370,2025,R,FR,Completed Early: Rain,6,9,1,0,17,15,18
778566,2025,A,FW,Final: Tied (won in tiebreaker),9,6,7,1,27,27,27
824295,2026,R,FR,Completed Early: Rain,9,6,11,0,25,24,27
