season,box_pitches,pitch_rows,true_pitches,ratio
2006,716312,716312,716312,1.0000
2007,720780,720780,720780,1.0000
2008,724197,724197,724197,1.0000
2009,726355,726355,726355,1.0000
2010,719833,719833,719833,1.0000
2011,719209,719209,719209,1.0000
2012,716526,716526,716526,1.0000
2013,720971,720971,720971,1.0000
2014,714571,714571,714571,1.0000
2015,713127,713127,713127,1.0000
2016,726300,726300,726300,1.0000
2017,732789,732789,732789,1.0000
2018,731570,731570,731570,1.0000
2019,743828,743828,743828,1.0000
2020,279660,279660,279660,1.0000
2021,720916,720916,720916,1.0000
2022,720571,720571,720571,1.0000
2023,730074,730074,730074,1.0000
2024,722544,722544,722544,1.0000
2025,724475,724475,724475,1.0000
2026,470709,470709,470709,1.0000
