season,p_batting_rows,dh_rows,ph_rows,total
2006,10520,2518,4181,61802
2007,10885,2500,4271,62362
2008,10646,2577,4246,61904
2009,10745,2483,4155,61358
2010,10581,2526,4118,61412
2011,10596,2487,3941,61418
2012,10781,2509,4006,61739
2013,10038,2739,3823,60946
2014,9936,2721,3928,60896
2015,10471,2718,4028,61863
2016,10702,2664,3955,61804
2017,10611,2670,3902,61667
2018,10991,2678,4064,62181
2019,11003,2638,4006,62078
2020,71,2116,514,19982
2021,11432,2598,4149,62370
2022,234,5358,1224,51160
2023,223,5467,1303,51655
2024,172,5462,1332,51719
2025,191,5426,1315,51933
2026,143,3612,878,33910
