season,games,so_away_bat_vs_home_pitch_mism,so_home_bat_vs_away_pitch_mism,hr_away_bat_vs_home_pitch_mism,hr_home_bat_vs_away_pitch_mism
2006,2460,0,0,0,0
2007,2460,0,0,0,0
2008,2461,0,0,0,0
2009,2461,0,0,0,0
2010,2463,0,0,0,0
2011,2468,0,0,0,0
2012,2468,0,0,0,0
2013,2470,0,0,0,0
2014,2463,0,0,0,0
2015,2466,0,0,0,0
2016,2464,0,0,0,0
2017,2469,0,0,0,0
2018,2465,0,0,0,0
2019,2467,0,0,0,0
2020,951,0,0,0,0
2021,2467,0,0,0,0
2022,2471,0,0,0,0
2023,2472,0,0,0,0
2024,2473,0,0,0,0
2025,2478,0,0,0,0
2026,1602,0,0,0,0
