season,win_flag_rows,win_id_agree,win_flag_but_game_null,loss_flag_rows,loss_id_agree,loss_flag_but_game_null,save_flag_rows,save_id_agree
2006,2460,2460,0,2460,2460,0,1216,1216
2007,2460,2460,0,2460,2460,0,1212,1212
2008,2461,2461,0,2461,2461,0,1199,1199
2009,2461,2461,0,2461,2461,0,1218,1218
2010,2463,2463,0,2463,2463,0,1219,1219
2011,2468,2468,0,2468,2468,0,1263,1263
2012,2468,2468,0,2468,2468,0,1275,1275
2013,2470,2470,0,2470,2470,0,1286,1286
2014,2463,2463,0,2463,2463,0,1284,1284
2015,2466,2466,0,2466,2466,0,1311,1311
2016,2463,2463,0,2463,2463,0,1295,1295
2017,2469,2469,0,2469,2469,0,1199,1199
2018,2465,2465,0,2465,2465,0,1258,1258
2019,2467,2467,0,2467,2467,0,1195,1195
2020,951,951,0,951,951,0,448,448
2021,2467,2467,0,2467,2467,0,1203,1203
2022,2471,2471,0,2471,2471,0,1254,1254
2023,2472,2472,0,2472,2472,0,1263,1263
2024,2473,2473,0,2473,2473,0,1251,1251
2025,2477,2477,0,2477,2477,0,1220,1220
2026,1602,1602,0,1602,1602,0,820,820
