season,games,attendance_pct,duration_pct,first_pitch_pct,weather_pct,temp_pct,wind_pct,win_p_pct,lose_p_pct,save_p_pct,away_hits_pct,home_hits_pct,away_err_pct,home_err_pct,venue_pct,day_night_pct
2006,2460,100.00,100.00,100.00,100.00,100.00,93.37,100.00,100.00,49.43,100.00,100.00,100.00,100.00,100.00,100.00
2007,2460,100.00,100.00,100.00,100.00,100.00,93.54,100.00,100.00,49.27,100.00,100.00,100.00,100.00,100.00,100.00
2008,2461,100.00,100.00,100.00,100.00,100.00,93.13,100.00,100.00,48.72,100.00,100.00,100.00,100.00,100.00,100.00
2009,2461,100.00,100.00,100.00,100.00,100.00,93.30,100.00,100.00,49.49,100.00,100.00,100.00,100.00,100.00,100.00
2010,2463,100.00,100.00,100.00,100.00,100.00,96.59,100.00,100.00,49.49,100.00,100.00,100.00,100.00,100.00,100.00
2011,2468,100.00,100.00,100.00,100.00,100.00,96.64,100.00,100.00,51.18,100.00,100.00,100.00,100.00,100.00,100.00
2012,2468,100.00,100.00,100.00,100.00,100.00,96.64,100.00,100.00,51.66,100.00,100.00,100.00,100.00,100.00,100.00
2013,2470,100.00,100.00,100.00,100.00,100.00,96.64,100.00,100.00,52.06,100.00,100.00,100.00,100.00,100.00,100.00
2014,2463,100.00,100.00,100.00,100.00,100.00,96.71,100.00,100.00,52.13,100.00,100.00,100.00,100.00,100.00,100.00
2015,2466,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,53.16,100.00,100.00,100.00,100.00,100.00,100.00
2016,2464,100.00,100.00,100.00,100.00,100.00,100.00,99.96,99.96,52.56,100.00,100.00,100.00,100.00,100.00,100.00
2017,2469,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,48.56,100.00,100.00,100.00,100.00,100.00,100.00
2018,2465,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,51.03,100.00,100.00,100.00,100.00,100.00,100.00
2019,2467,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,48.44,100.00,100.00,100.00,100.00,100.00,100.00
2020,951,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,47.11,100.00,100.00,100.00,100.00,100.00,100.00
2021,2467,100.00,100.00,99.96,100.00,100.00,100.00,100.00,100.00,48.76,100.00,100.00,100.00,100.00,99.96,100.00
2022,2471,100.00,100.00,99.96,100.00,100.00,99.96,100.00,100.00,50.75,100.00,100.00,100.00,100.00,99.96,100.00
2023,2472,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,51.09,100.00,100.00,100.00,100.00,100.00,100.00
2024,2473,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.59,100.00,100.00,100.00,100.00,100.00,100.00
2025,2478,100.00,100.00,100.00,100.00,100.00,100.00,99.96,99.96,49.23,100.00,100.00,100.00,100.00,100.00,100.00
2026,1602,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,51.19,100.00,100.00,100.00,100.00,100.00,100.00
