season,total,R,games_expected,R_minus_expected,F,D,L,W,A,status_F,status_FR,status_FO,status_FG,status_FT,status_FW,status_O,ties,dh_Y_games,dh_S_games,attendance_zero,R_under_9_inn,R_exactly_9,R_extras,R_min_inn,R_max_inn
2006,2460,2429,2430,-1,0,14,11,5,1,2451,9,0,0,0,0,0,0,18,29,9,9,2235,185,5,19
2007,2460,2431,2431,0,0,13,11,4,1,2455,5,0,0,0,0,0,0,12,32,6,4,2207,220,5,17
2008,2461,2428,2431,-3,0,15,12,5,1,2458,3,0,0,0,0,0,0,24,29,12,3,2217,208,7,22
2009,2461,2430,2431,-1,0,13,11,6,1,2445,16,0,0,0,0,0,0,22,24,11,14,2221,195,6,18
2010,2463,2430,2430,0,0,15,12,5,1,2456,7,0,0,0,0,0,0,12,23,6,7,2203,220,6,20
2011,2468,2429,2430,-1,0,19,12,7,1,2461,7,0,0,0,0,0,0,23,46,11,7,2185,237,7,19
2012,2468,2430,2430,0,2,20,11,4,1,2461,7,0,0,0,0,0,0,14,26,7,7,2231,192,6,19
2013,2470,2431,2431,0,2,18,12,6,1,2462,8,0,0,0,0,0,0,10,42,5,8,2180,243,6,20
2014,2463,2430,2430,0,2,14,9,7,1,2459,4,0,0,0,0,0,0,18,38,9,4,2194,232,5,19
2015,2466,2429,2430,-1,2,19,10,5,1,2462,4,0,0,0,0,0,0,22,36,12,4,2213,212,6,19
2016,2464,2428,2430,-2,2,15,11,7,1,2457,6,0,0,1,0,0,1,7,21,3,7,2236,185,5,19
2017,2469,2430,2430,0,2,17,12,7,1,2467,2,0,0,0,0,0,0,23,36,11,2,2246,182,6,19
2018,2465,2431,2432,-1,2,14,12,5,1,2460,5,0,0,0,0,0,0,31,38,15,5,2210,216,6,17
2019,2467,2429,2430,-1,2,18,10,7,1,2457,10,0,0,0,0,0,0,24,42,12,9,2212,208,5,19
2020,951,898,900,-2,18,15,14,6,0,949,1,1,0,0,0,0,0,112,0,938,110,720,68,6,13
2021,2467,2429,2430,-1,2,17,12,6,1,2460,7,0,0,0,0,0,0,62,56,32,124,2089,216,5,16
2022,2471,2430,2430,0,9,16,9,6,1,2462,9,0,0,0,0,0,0,48,91,25,10,2204,216,5,15
2023,2472,2430,2430,0,8,14,14,5,1,2469,3,0,0,0,0,0,0,26,44,15,3,2226,201,5,14
2024,2473,2429,2430,-1,9,18,11,5,1,2469,3,0,1,0,0,0,0,30,29,16,4,2209,216,5,14
2025,2478,2430,2430,0,11,18,11,7,1,2472,4,1,0,0,1,0,1,12,46,7,5,2216,209,6,13
2026,1602,1601,2430,-829,0,0,0,0,1,1599,1,0,0,0,0,2,0,6,26,3,0,1469,132,9,13
