season	game_type	games_in_mlb_games	games_with_pitches
2006	A	1	1
2006	D	14	14
2006	L	11	11
2006	R	2429	2429
2006	W	5	5
2007	A	1	1
2007	D	13	13
2007	L	11	11
2007	R	2431	2431
2007	W	4	4
2008	A	1	1
2008	D	15	15
2008	L	12	12
2008	R	2428	2428
2008	W	5	5
2009	A	1	1
2009	D	13	13
2009	L	11	11
2009	R	2430	2430
2009	W	6	6
2010	A	1	1
2010	D	15	15
2010	L	12	12
2010	R	2430	2430
2010	W	5	5
2011	A	1	1
2011	D	19	19
2011	L	12	12
2011	R	2429	2429
2011	W	7	7
2012	A	1	1
2012	D	20	20
2012	F	2	2
2012	L	11	11
2012	R	2430	2430
2012	W	4	4
2013	A	1	1
2013	D	18	18
2013	F	2	2
2013	L	12	12
2013	R	2431	2431
2013	W	6	6
2014	A	1	1
2014	D	14	14
2014	F	2	2
2014	L	9	9
2014	R	2430	2430
2014	W	7	7
2015	A	1	1
2015	D	19	19
2015	F	2	2
2015	L	10	10
2015	R	2429	2429
2015	W	5	5
2016	A	1	1
2016	D	15	15
2016	F	2	2
2016	L	11	11
2016	R	2428	2428
2016	W	7	7
2017	A	1	1
2017	D	17	17
2017	F	2	2
2017	L	12	12
2017	R	2430	2430
2017	W	7	7
2018	A	1	1
2018	D	14	14
2018	F	2	2
2018	L	12	12
2018	R	2431	2431
2018	W	5	5
2019	A	1	1
2019	D	18	18
2019	F	2	2
2019	L	10	10
2019	R	2429	2429
2019	W	7	7
2020	D	15	15
2020	F	18	18
2020	L	14	14
2020	R	898	898
2020	W	6	6
2021	A	1	1
2021	D	17	17
2021	F	2	2
2021	L	12	12
2021	R	2429	2429
2021	W	6	6
2022	A	1	1
2022	D	16	16
2022	F	9	9
2022	L	9	9
2022	R	2430	2430
2022	W	6	6
2023	A	1	1
2023	D	14	14
2023	F	8	8
2023	L	14	14
2023	R	2430	2430
2023	W	5	5
2024	A	1	1
2024	D	18	18
2024	F	9	9
2024	L	11	11
2024	R	2429	2429
2024	W	5	5
2025	A	1	1
2025	D	18	18
2025	F	11	11
2025	L	11	11
2025	R	2430	2430
2025	W	7	7
2026	A	1	1
2026	R	1601	1601
