season	in_play_rows	launch_speed_pct_inplay	launch_angle_pct_inplay	total_distance_pct_inplay	hit_coord_x_pct_inplay	trajectory_pct_inplay
2006	140435	0.00	0.00	0.00	92.53	100.00
2007	140121	0.00	0.00	0.00	92.33	100.00
2008	138507	0.00	0.00	0.00	91.01	100.00
2009	136943	0.00	0.00	0.00	92.94	100.00
2010	135553	0.00	0.00	0.00	92.55	100.00
2011	136263	0.00	0.00	0.00	92.25	100.00
2012	133528	0.00	0.00	0.00	97.86	100.00
2013	133883	0.00	0.00	0.00	99.72	100.00
2014	132624	0.00	0.00	0.00	98.99	100.00
2015	132346	86.91	86.91	86.90	96.41	100.00
2016	130608	87.84	87.84	87.83	97.00	100.00
2017	129443	89.38	89.38	89.33	96.82	100.00
2018	128002	91.28	91.22	91.18	94.21	100.00
2019	127592	91.15	91.16	91.13	99.84	100.00
2020	46523	99.33	99.33	99.32	99.96	100.00
2021	123596	99.69	99.69	99.69	99.97	100.00
2022	126233	99.56	99.65	99.61	99.98	100.00
2023	126337	99.70	99.78	99.74	99.98	100.00
2024	126408	99.67	99.72	99.66	99.99	100.00
2025	127348	99.60	99.67	99.63	99.99	100.00
2026	82092	99.44	99.50	99.43	99.99	100.00
