season,start_speed_outside_55_106,start_speed_min,start_speed_max,px_abs_gt4,px_abs_gt10,px_min,px_max,pz_outside_neg2_8,pz_min,pz_max,zone_invalid,spin_gt3700,spin_max,sz_extreme
2006,6,46.90,104.80,27,0,-7.749,7.004,1,-2.171,7.048,0,4,3777,0
2007,220,29.80,104.30,1181,0,-9.224,9.621,13,-4.052,7.967,0,30,8269,6
2008,200,41.70,101.30,2728,0,-9.707,8.492,19,-3.330,7.906,0,434,4535,2
2009,159,34.30,102.70,2539,0,-8.602,8.502,35,-3.187,7.894,0,54,4218,1
2010,233,41.20,105.10,2641,0,-8.696,8.024,31,-2.735,7.995,0,139,7230,0
2011,228,32.40,103.40,2856,0,-8.857,8.814,22,-3.027,7.967,0,119,5421,0
2012,253,41.40,102.80,2336,0,-9.299,8.724,42,-3.569,7.954,0,48,5154,0
2013,222,40.80,104.00,2213,0,-8.674,8.659,40,-3.500,7.922,0,139,4687,2
2014,194,40.60,103.80,2030,0,-8.923,8.196,51,-2.990,7.947,0,41,6538,0
2015,273,36.10,103.40,1994,3,-10.466,8.415,78,-4.207,10.794,0,26,4829,0
2016,172,33.90,105.00,1924,1,-10.201,8.794,69,-3.705,13.272,0,13,6539,6
2017,17,41.10,104.20,79,1,-7.333,11.303,79,-5.184,9.597,0,0,3680,70
2018,16,46.70,105.00,35,0,-9.671,7.015,71,-4.519,10.919,0,1,3726,388
2019,40,50.60,104.30,28,0,-5.033,6.288,89,-4.128,12.210,0,1,3740,8
2020,44,38.10,102.20,16,0,-8.409,4.425,39,-3.916,13.580,0,0,3599,0
2021,175,30.10,103.40,34,0,-6.103,9.108,128,-5.075,9.391,0,1,3722,1
2022,603,32.30,104.20,22,0,-8.661,4.610,72,-4.229,10.224,0,0,3595,4
2023,570,33.40,104.80,49,1,-11.366,5.689,65,-4.277,11.024,0,0,3544,2
2024,482,31.90,105.50,35,1,-5.381,10.204,53,-7.654,12.359,0,0,3578,4
2025,909,21.70,104.50,37,1,-7.135,34.973,53,-57.601,10.420,0,0,3547,0
2026,846,30.30,105.50,24,0,-6.312,6.887,25,-3.511,10.711,0,0,3598,0
