season	pitch_type_code	pitch_type_label	n
2006	FA	Fastball	3097
2006	CU	Curveball	693
2006	SL	Slider	625
2006	CH	Changeup	614
2006	FC	Cutter	97
2006	FS	Splitter	53
2006	FF	Four-Seam Fastball	45
2006	IN	Intentional Ball	35
2006	SI	Sinker	30
2006		Unknown	17
2006	UN	Unknown	6
2006	PO	Pitchout	5
2006	KN	Knuckle Ball	2
2007	FA	Fastball	190289
2007	SL	Slider	50257
2007	CH	Changeup	40051
2007	CU	Curveball	33209
2007	FC	Cutter	6368
2007	SI	Sinker	1810
2007	FS	Splitter	1724
2007	IN	Intentional Ball	1607
2007	KN	Knuckle Ball	1432
2007	FF	Four-Seam Fastball	1269
2007		Unknown	615
2007	PO	Pitchout	379
2007	UN	Unknown	214
2007	AB	Automatic Ball	9
2008	FF	Four-Seam Fastball	244876
2008	SI	Sinker	170391
2008	SL	Slider	100599
2008	CH	Changeup	69011
2008	CU	Curveball	56027
2008	FC	Cutter	35200
2008	FS	Splitter	10175
2008	KC	Knuckle Curve	4191
2008	IN	Intentional Ball	3948
2008	KN	Knuckle Ball	3606
2008	PO	Pitchout	611
2008	FA	Fastball	292
2008	FO	Forkball	202
2008	EP	Eephus	163
2008	SC	Screwball	39
2008	UN	Unknown	20
2008		Unknown	18
2008	AB	Automatic Ball	8
2009	FF	Four-Seam Fastball	255021
2009	SI	Sinker	168852
2009	SL	Slider	105275
2009	CH	Changeup	70186
2009	CU	Curveball	58717
2009	FC	Cutter	36113
2009	FS	Splitter	9734
2009	KC	Knuckle Curve	5327
2009	IN	Intentional Ball	3732
2009	KN	Knuckle Ball	2771
2009	FO	Forkball	742
2009	PO	Pitchout	488
2009		Unknown	339
2009	SC	Screwball	235
2009	FA	Fastball	165
2009	EP	Eephus	104
2009	AB	Automatic Ball	10
2009	UN	Unknown	4
2010	FF	Four-Seam Fastball	237007
2010	SI	Sinker	178842
2010	SL	Slider	101557
2010	CH	Changeup	75299
2010	CU	Curveball	56405
2010	FC	Cutter	38315
2010	FS	Splitter	10827
2010	KC	Knuckle Curve	7317
2010	KN	Knuckle Ball	4330
2010	IN	Intentional Ball	3835
2010	FO	Forkball	696
2010	PO	Pitchout	548
2010	FA	Fastball	179
2010	EP	Eephus	142
2010	SC	Screwball	103
2010		Unknown	41
2010	UN	Unknown	3
2010	AB	Automatic Ball	2
2011	FF	Four-Seam Fastball	238706
2011	SI	Sinker	169242
2011	SL	Slider	108365
2011	CH	Changeup	72538
2011	CU	Curveball	55508
2011	FC	Cutter	42304
2011	FS	Splitter	10850
2011	KC	Knuckle Curve	9581
2011	KN	Knuckle Ball	4438
2011	IN	Intentional Ball	4058
2011	PO	Pitchout	558
2011	FO	Forkball	334
2011	EP	Eephus	136
2011	SC	Screwball	121
2011		Unknown	121
2011	FA	Fastball	78
2011	ST	Sweeper	37
2011	UN	Unknown	15
2011	AB	Automatic Ball	2
2012	FF	Four-Seam Fastball	241469
2012	SI	Sinker	165719
2012	SL	Slider	103247
2012	CH	Changeup	70965
2012	CU	Curveball	60801
2012	FC	Cutter	40325
2012	KC	Knuckle Curve	12475
2012	FS	Splitter	10859
2012	IN	Intentional Ball	3436
2012	KN	Knuckle Ball	2861
2012	ST	Sweeper	1351
2012	PO	Pitchout	469
2012	FO	Forkball	244
2012	EP	Eephus	243
2012	SC	Screwball	102
2012		Unknown	36
2012	UN	Unknown	18
2012	FA	Fastball	10
2012	AB	Automatic Ball	3
2013	FF	Four-Seam Fastball	250411
2013	SI	Sinker	159671
2013	SL	Slider	104716
2013	CH	Changeup	72697
2013	CU	Curveball	56870
2013	FC	Cutter	40440
2013	KC	Knuckle Curve	14298
2013	FS	Splitter	10841
2013	IN	Intentional Ball	3485
2013	KN	Knuckle Ball	3147
2013	ST	Sweeper	2282
2013	FO	Forkball	343
2013	PO	Pitchout	306
2013	EP	Eephus	266
2013	SC	Screwball	105
2013		Unknown	94
2013	UN	Unknown	25
2013	CS	Slow Curve	13
2013	FA	Fastball	2
2013	AB	Automatic Ball	1
2014	FF	Four-Seam Fastball	245368
2014	SI	Sinker	159117
2014	SL	Slider	96279
2014	CH	Changeup	73024
2014	CU	Curveball	55864
2014	FC	Cutter	44063
2014	KC	Knuckle Curve	17250
2014	FS	Splitter	11831
2014	IN	Intentional Ball	3238
2014	KN	Knuckle Ball	3215
2014	ST	Sweeper	1953
2014	SV	Slurve	469
2014	EP	Eephus	459
2014	PO	Pitchout	323
2014	FO	Forkball	250
2014	UN	Unknown	45
2014	FA	Fastball	20
2014	CS	Slow Curve	18
2014	SC	Screwball	14
2014	AB	Automatic Ball	1
2015	FF	Four-Seam Fastball	252240
2015	SI	Sinker	151780
2015	SL	Slider	101234
2015	CH	Changeup	75145
2015	CU	Curveball	53593
2015	FC	Cutter	40629
2015	KC	Knuckle Curve	16465
2015	FS	Splitter	11106
2015	KN	Knuckle Ball	3800
2015	IN	Intentional Ball	3237
2015		Unknown	585
2015	ST	Sweeper	564
2015	EP	Eephus	321
2015	PO	Pitchout	240
2015	FO	Forkball	197
2015	SV	Slurve	190
2015	UN	Unknown	26
2015	FA	Fastball	10
2015	SC	Screwball	7
2015	CS	Slow Curve	2
2015	AB	Automatic Ball	2
2016	FF	Four-Seam Fastball	261919
2016	SI	Sinker	145938
2016	SL	Slider	105647
2016	CH	Changeup	73311
2016	CU	Curveball	62431
2016	FC	Cutter	38580
2016	KC	Knuckle Curve	16507
2016	FS	Splitter	10313
2016	KN	Knuckle Ball	4208
2016	IN	Intentional Ball	3101
2016	ST	Sweeper	1712
2016		Unknown	820
2016	SV	Slurve	802
2016	FO	Forkball	281
2016	PO	Pitchout	183
2016	EP	Eephus	97
2016	SC	Screwball	30
2016	UN	Unknown	22
2016	CS	Slow Curve	13
2016	AB	Automatic Ball	1
2017	FF	Four-Seam Fastball	252927
2017	SI	Sinker	152419
2017	SL	Slider	111106
2017	CH	Changeup	71520
2017	CU	Curveball	55769
2017	FC	Cutter	41107
2017	KC	Knuckle Curve	22642
2017	FS	Splitter	12511
