season,pitch_type_code,pitch_type_label,n,pct_of_season_classified
2006,FA,"Fastball",3097,58.225
2006,CU,"Curveball",693,13.029
2006,SL,"Slider",625,11.750
2006,CH,"Changeup",614,11.544
2006,FC,"Cutter",97,1.824
2006,FS,"Splitter",53,0.996
2006,FF,"Four-Seam Fastball",45,0.846
2006,IN,"Intentional Ball",35,0.658
2006,SI,"Sinker",30,0.564
2006,(empty),"Unknown",17,0.320
2006,UN,"Unknown",6,0.113
2006,PO,"Pitchout",5,0.094
2006,KN,"Knuckle Ball",2,0.038
2007,FA,"Fastball",190289,57.798
2007,SL,"Slider",50257,15.265
2007,CH,"Changeup",40051,12.165
2007,CU,"Curveball",33209,10.087
2007,FC,"Cutter",6368,1.934
2007,SI,"Sinker",1810,0.550
2007,FS,"Splitter",1724,0.524
2007,IN,"Intentional Ball",1607,0.488
2007,KN,"Knuckle Ball",1432,0.435
2007,FF,"Four-Seam Fastball",1269,0.385
2007,(empty),"Unknown",615,0.187
2007,PO,"Pitchout",379,0.115
2007,UN,"Unknown",214,0.065
2007,AB,"Automatic Ball",9,0.003
2008,FF,"Four-Seam Fastball",244876,35.013
2008,SI,"Sinker",170391,24.363
2008,SL,"Slider",100599,14.384
2008,CH,"Changeup",69011,9.867
2008,CU,"Curveball",56027,8.011
2008,FC,"Cutter",35200,5.033
2008,FS,"Splitter",10175,1.455
2008,KC,"Knuckle Curve",4191,0.599
2008,IN,"Intentional Ball",3948,0.565
2008,KN,"Knuckle Ball",3606,0.516
2008,PO,"Pitchout",611,0.087
2008,FA,"Fastball",292,0.042
2008,FO,"Forkball",202,0.029
2008,EP,"Eephus",163,0.023
2008,SC,"Screwball",39,0.006
2008,UN,"Unknown",20,0.003
2008,(empty),"Unknown",18,0.003
2008,AB,"Automatic Ball",8,0.001
2009,FF,"Four-Seam Fastball",255021,35.527
2009,SI,"Sinker",168852,23.523
2009,SL,"Slider",105275,14.666
2009,CH,"Changeup",70186,9.778
2009,CU,"Curveball",58717,8.180
2009,FC,"Cutter",36113,5.031
2009,FS,"Splitter",9734,1.356
2009,KC,"Knuckle Curve",5327,0.742
2009,IN,"Intentional Ball",3732,0.520
2009,KN,"Knuckle Ball",2771,0.386
2009,FO,"Forkball",742,0.103
2009,PO,"Pitchout",488,0.068
2009,(empty),"Unknown",339,0.047
2009,SC,"Screwball",235,0.033
2009,FA,"Fastball",165,0.023
2009,EP,"Eephus",104,0.014
2009,AB,"Automatic Ball",10,0.001
2009,UN,"Unknown",4,0.001
2010,FF,"Four-Seam Fastball",237007,33.127
2010,SI,"Sinker",178842,24.997
2010,SL,"Slider",101557,14.195
2010,CH,"Changeup",75299,10.525
2010,CU,"Curveball",56405,7.884
2010,FC,"Cutter",38315,5.355
2010,FS,"Splitter",10827,1.513
2010,KC,"Knuckle Curve",7317,1.023
2010,KN,"Knuckle Ball",4330,0.605
2010,IN,"Intentional Ball",3835,0.536
