season,game_type,games,min_plays,avg_plays,max_plays,sd
2006,A,1,64,64.00,64,0
2006,D,14,68,74.57,90,5.5
2006,L,11,66,75.45,86,6.75
2006,R,2429,41,77.60,159,9.49
2006,W,5,69,72.20,78,3.06
2007,A,1,77,77.00,77,0
2007,D,13,63,76.31,86,6.87
2007,L,11,67,78.18,99,9.19
2007,R,2431,41,77.75,135,9.11
2007,W,4,71,78.00,87,6.75
2008,A,1,125,125.00,125,0
2008,D,15,67,77.00,108,9.56
2008,L,12,66,78.50,102,9.54
2008,R,2428,51,77.44,165,9.45
2008,W,5,70,73.60,78,2.73
2009,A,1,70,70.00,70,0
2009,D,13,65,76.62,92,7.86
2009,L,11,61,79.91,111,12.28
2009,R,2430,41,77.18,146,9.02
2009,W,6,68,74.83,79,3.76
2010,A,1,70,70.00,70,0
2010,D,15,61,73.00,90,7.17
2010,L,12,64,75.17,82,5.57
2010,R,2430,46,76.54,160,8.78
2010,W,5,66,71.40,83,6.12
2011,A,1,66,66.00,66,0
2011,D,19,66,75.00,83,4.78
2011,L,12,70,79.00,92,6.48
2011,R,2429,54,76.47,158,9.21
2011,W,7,68,79.14,105,13.22
2012,A,1,75,75.00,75,0
2012,D,20,62,76.15,99,8.63
2012,F,2,74,75.50,77,1.5
2012,L,11,68,76.27,107,10.4
2012,R,2430,50,75.99,150,9.04
2012,W,4,63,71.00,78,5.34
2013,A,1,65,65.00,65,0
2013,D,18,64,73.28,83,4.68
2013,F,2,74,74.00,74,0
2013,L,12,60,72.50,99,9.38
2013,R,2431,42,76.21,168,9.98
2013,W,6,65,73.17,80,4.98
2014,A,1,70,70.00,70,0
2014,D,14,69,78.64,130,15.14
2014,F,2,76,91.50,107,15.5
2014,L,9,62,75.56,94,8.55
2014,R,2430,37,75.87,166,9.59
2014,W,7,65,73.14,86,6.62
2015,A,1,75,75.00,75,0
2015,D,19,61,74.47,110,10.35
2015,F,2,67,67.00,67,0
2015,L,10,64,73.30,84,6.99
2015,R,2429,46,75.80,158,8.98
2015,W,5,70,84.60,115,17.61
2016,A,1,74,74.00,74,0
2016,D,15,58,76.00,106,9.72
2016,F,2,69,73.00,77,4
2016,L,11,59,69.91,84,7.9
2016,R,2428,39,76.20,151,9.01
2016,W,7,69,76.86,89,6.62
2017,A,1,79,79.00,79,0
2017,D,17,63,76.18,108,10.97
2017,F,2,77,81.00,85,4
2017,L,12,63,70.33,78,4.35
2017,R,2430,51,76.42,146,8.48
2017,W,7,59,75.86,98,12.72
2018,A,1,90,90.00,90,0
2018,D,14,61,74.64,86,6.39
2018,F,2,72,87.00,102,15
2018,L,12,69,78.00,102,9.29
2018,R,2431,52,76.34,138,8.97
2018,W,5,65,84.20,131,24.33
2019,A,1,66,66.00,66,0
2019,D,18,64,75.50,85,6.41
2019,F,2,67,70.00,73,3
2019,L,10,66,74.20,85,6.16
2019,R,2429,39,76.94,148,9.46
2019,W,7,70,78.71,86,4.77
2020,D,15,63,76.47,89,7.46
2020,F,18,61,76.28,100,10.05
2020,L,14,67,75.43,90,6.5
2020,R,898,45,74.22,112,9.12
2020,W,6,65,74.00,84,5.74
2021,A,1,75,75.00,75,0
2021,D,17,63,75.65,107,10.43
2021,F,2,67,71.00,75,4
2021,L,12,66,75.25,83,4.99
2021,R,2429,45,74.99,125,8.31
2021,W,6,68,74.33,82,5.19
2022,A,1,73,73.00,73,0
2022,D,16,62,77.06,133,15.82
2022,F,9,61,77.33,105,12.15
2022,L,9,62,70.78,77,4.42
2022,R,2430,43,75.09,123,7.29
2022,W,6,64,72.67,87,7.65
2023,A,1,77,77.00,77,0
2023,D,14,64,75.29,92,6.42
2023,F,8,66,73.25,82,4.82
2023,L,14,67,75.64,89,5.51
2023,R,2430,40,75.93,121,7.48
2023,W,5,66,78.80,92,8.42
2024,A,1,68,68.00,68,0
2024,D,18,57,73.67,81,5.97
2024,F,9,63,72.22,78,4.89
2024,L,11,71,82.27,90,6.15
2024,R,2429,41,75.30,114,7.32
2024,W,5,68,78.20,89,7.19
2025,A,1,78,78.00,78,0
2025,D,18,66,78.61,117,10.6
2025,F,11,62,72.64,83,5.87
2025,L,11,66,73.45,82,4.7
2025,R,2430,51,75.47,112,7.52
2025,W,7,68,88.57,153,27.92
2026,A,1,69,69.00,69,0
2026,R,1601,58,75.86,116,7.42
