season,event_type,n
2008,balk,1
2010,balk,1
2011,balk,2
2014,balk,1
2015,balk,1
2016,balk,1
2018,balk,1
2022,balk,1
2023,balk,2
2006,catcher_interf,19
2007,catcher_interf,25
2008,catcher_interf,16
2009,catcher_interf,20
2010,catcher_interf,28
2011,catcher_interf,28
2012,catcher_interf,23
2013,catcher_interf,25
2014,catcher_interf,22
2015,catcher_interf,32
2016,catcher_interf,40
2017,catcher_interf,46
2018,catcher_interf,42
2019,catcher_interf,61
2020,catcher_interf,37
2021,catcher_interf,61
2022,catcher_interf,74
2023,catcher_interf,98
2024,catcher_interf,101
2025,catcher_interf,86
2026,catcher_interf,64
2006,caught_stealing_2b,250
2007,caught_stealing_2b,225
2008,caught_stealing_2b,203
2009,caught_stealing_2b,254
2010,caught_stealing_2b,264
2011,caught_stealing_2b,273
2012,caught_stealing_2b,239
2013,caught_stealing_2b,235
2014,caught_stealing_2b,233
2015,caught_stealing_2b,273
2016,caught_stealing_2b,230
2017,caught_stealing_2b,210
2018,caught_stealing_2b,214
2019,caught_stealing_2b,179
2020,caught_stealing_2b,74
2021,caught_stealing_2b,158
2022,caught_stealing_2b,230
2023,caught_stealing_2b,212
2024,caught_stealing_2b,262
2025,caught_stealing_2b,251
2026,caught_stealing_2b,183
2006,caught_stealing_3b,9
2007,caught_stealing_3b,16
2008,caught_stealing_3b,16
2009,caught_stealing_3b,13
2010,caught_stealing_3b,12
2011,caught_stealing_3b,21
2012,caught_stealing_3b,15
2013,caught_stealing_3b,17
2014,caught_stealing_3b,12
2015,caught_stealing_3b,21
2016,caught_stealing_3b,20
2017,caught_stealing_3b,19
2018,caught_stealing_3b,16
2019,caught_stealing_3b,11
2020,caught_stealing_3b,8
2021,caught_stealing_3b,14
2022,caught_stealing_3b,12
2023,caught_stealing_3b,17
2024,caught_stealing_3b,19
2025,caught_stealing_3b,19
2026,caught_stealing_3b,10
2006,caught_stealing_home,6
2007,caught_stealing_home,7
2008,caught_stealing_home,10
2009,caught_stealing_home,12
2010,caught_stealing_home,5
2011,caught_stealing_home,13
2012,caught_stealing_home,11
2013,caught_stealing_home,2
2014,caught_stealing_home,7
2015,caught_stealing_home,15
2016,caught_stealing_home,7
2017,caught_stealing_home,7
2018,caught_stealing_home,13
2019,caught_stealing_home,15
2020,caught_stealing_home,6
2021,caught_stealing_home,9
2022,caught_stealing_home,13
2023,caught_stealing_home,17
2024,caught_stealing_home,26
2025,caught_stealing_home,18
2026,caught_stealing_home,9
2011,defensive_substitution,1
2006,double,9246
2007,double,9299
2008,double,9121
2009,double,8838
2010,double,8588
2011,double,8535
2012,double,8361
2013,double,8335
2014,double,8230
2015,double,8341
2016,double,8356
2017,double,8503
2018,double,8355
2019,double,8651
2020,double,2962
2021,double,7963
2022,double,8055
2023,double,8346
2024,double,7880
2025,double,7887
2026,double,5014
2006,double_play,529
2007,double_play,517
2008,double_play,537
2009,double_play,534
2010,double_play,514
2011,double_play,545
2012,double_play,495
2013,double_play,480
2014,double_play,467
2015,double_play,482
2016,double_play,452
2017,double_play,429
2018,double_play,461
2019,double_play,409
2020,double_play,158
2021,double_play,391
2022,double_play,400
2023,double_play,398
2024,double_play,346
2025,double_play,386
2026,double_play,254
2010,ejection,1
2012,ejection,1
2006,field_error,1564
2007,field_error,1498
2008,field_error,1523
2009,field_error,1435
2010,field_error,1490
2011,field_error,1543
2012,field_error,1500
2013,field_error,1296
2014,field_error,1334
2015,field_error,1414
2016,field_error,1376
2017,field_error,1322
2018,field_error,1324
2019,field_error,1373
2020,field_error,542
2021,field_error,1259
2022,field_error,1151
2023,field_error,1082
2024,field_error,1125
2025,field_error,1030
2026,field_error,699
2006,field_out,80915
2007,field_out,80721
2008,field_out,80137
2009,field_out,79283
2010,field_out,79064
2011,field_out,79808
2012,field_out,77712
2013,field_out,78337
2014,field_out,77822
2015,field_out,76812
2016,field_out,75359
2017,field_out,74499
2018,field_out,74715
2019,field_out,73419
2020,field_out,27039
2021,field_out,72049
2022,field_out,74798
2023,field_out,73804
2024,field_out,75156
2025,field_out,75786
2026,field_out,48816
2006,fielders_choice,315
2007,fielders_choice,311
2008,fielders_choice,306
2009,fielders_choice,328
2010,fielders_choice,360
2011,fielders_choice,347
2012,fielders_choice,354
2013,fielders_choice,323
2014,fielders_choice,379
2015,fielders_choice,359
2016,fielders_choice,340
2017,fielders_choice,379
2018,fielders_choice,361
2019,fielders_choice,411
2020,fielders_choice,156
2021,fielders_choice,412
2022,fielders_choice,392
2023,fielders_choice,383
2024,fielders_choice,395
2025,fielders_choice,393
2026,fielders_choice,279
2006,fielders_choice_out,322
2007,fielders_choice_out,283
2008,fielders_choice_out,290
2009,fielders_choice_out,311
2010,fielders_choice_out,323
2011,fielders_choice_out,392
2012,fielders_choice_out,355
2013,fielders_choice_out,330
2014,fielders_choice_out,329
2015,fielders_choice_out,329
2016,fielders_choice_out,293
2017,fielders_choice_out,318
2018,fielders_choice_out,338
2019,fielders_choice_out,293
2020,fielders_choice_out,126
2021,fielders_choice_out,290
2022,fielders_choice_out,285
2023,fielders_choice_out,295
2024,fielders_choice_out,316
2025,fielders_choice_out,334
2026,fielders_choice_out,206
2006,force_out,4132
2007,force_out,4249
2008,force_out,4315
2009,force_out,4129
2010,force_out,4098
2011,force_out,4111
2012,force_out,4050
2013,force_out,3999
2014,force_out,3825
2015,force_out,4015
2016,force_out,3928
2017,force_out,3709
2018,force_out,3682
2019,force_out,3592
2020,force_out,1373
2021,force_out,3780
2022,force_out,3873
2023,force_out,3643
2024,force_out,3543
2025,force_out,3429
2026,force_out,2243
2017,game_advisory,2
2018,game_advisory,2
2019,game_advisory,3
2020,game_advisory,1
2021,game_advisory,4
2022,game_advisory,2
2025,game_advisory,2
2006,grounded_into_double_play,3997
2007,grounded_into_double_play,4043
2008,grounded_into_double_play,3934
2009,grounded_into_double_play,3838
2010,grounded_into_double_play,3768
2011,grounded_into_double_play,3578
2012,grounded_into_double_play,3661
2013,grounded_into_double_play,3797
2014,grounded_into_double_play,3652
2015,grounded_into_double_play,3781
2016,grounded_into_double_play,3763
2017,grounded_into_double_play,3860
2018,grounded_into_double_play,3494
2019,grounded_into_double_play,3502
2020,grounded_into_double_play,1294
2021,grounded_into_double_play,3365
2022,grounded_into_double_play,3424
2023,grounded_into_double_play,3511
2024,grounded_into_double_play,3273
2025,grounded_into_double_play,3167
2026,grounded_into_double_play,2032
2006,hit_by_pitch,1838
2007,hit_by_pitch,1778
2008,hit_by_pitch,1691
2009,hit_by_pitch,1621
2010,hit_by_pitch,1573
2011,hit_by_pitch,1589
2012,hit_by_pitch,1516
2013,hit_by_pitch,1564
2014,hit_by_pitch,1673
2015,hit_by_pitch,1625
2016,hit_by_pitch,1679
2017,hit_by_pitch,1793
2018,hit_by_pitch,1947
2019,hit_by_pitch,2004
2020,hit_by_pitch,873
2021,hit_by_pitch,2137
2022,hit_by_pitch,2093
2023,hit_by_pitch,2140
2024,hit_by_pitch,2064
2025,hit_by_pitch,1974
2026,hit_by_pitch,1389
2006,home_run,5448
2007,home_run,5024
2008,home_run,4954
2009,home_run,5105
2010,home_run,4671
2011,home_run,4650
2012,home_run,4996
2013,home_run,4716
2014,home_run,4244
2015,home_run,5003
2016,home_run,5684
2017,home_run,6211
2018,home_run,5666
2019,home_run,6873
2020,home_run,2463
2021,home_run,6040
2022,home_run,5311
2023,home_run,5980
2024,home_run,5553
2025,home_run,5766
2026,home_run,3723
2006,injury,1
2006,intent_walk,1432
2007,intent_walk,1344
2008,intent_walk,1339
2009,intent_walk,1202
2010,intent_walk,1237
2011,intent_walk,1268
2012,intent_walk,1071
2013,intent_walk,1046
2014,intent_walk,1001
2015,intent_walk,972
2016,intent_walk,951
2017,intent_walk,994
2018,intent_walk,955
2019,intent_walk,776
2020,intent_walk,219
2021,intent_walk,721
2022,intent_walk,487
2023,intent_walk,487
2024,intent_walk,530
2025,intent_walk,595
2026,intent_walk,333
2013,other_advance,1
2006,other_out,18
2007,other_out,20
2008,other_out,28
2009,other_out,45
2010,other_out,21
2011,other_out,31
2012,other_out,39
2013,other_out,23
2014,other_out,33
2015,other_out,39
2016,other_out,40
2017,other_out,33
2018,other_out,50
2019,other_out,36
2020,other_out,9
2021,other_out,42
2022,other_out,33
2023,other_out,22
2024,other_out,23
2025,other_out,24
2026,other_out,9
2006,passed_ball,1
2007,passed_ball,1
2012,passed_ball,1
2013,passed_ball,1
2014,passed_ball,1
2016,passed_ball,3
2018,passed_ball,1
2019,passed_ball,1
2020,passed_ball,1
2021,passed_ball,1
2006,pickoff_1b,44
2007,pickoff_1b,51
2008,pickoff_1b,46
2009,pickoff_1b,44
2010,pickoff_1b,41
2011,pickoff_1b,53
2012,pickoff_1b,44
2013,pickoff_1b,41
2014,pickoff_1b,57
2015,pickoff_1b,49
2016,pickoff_1b,49
2017,pickoff_1b,44
2018,pickoff_1b,52
2019,pickoff_1b,39
2020,pickoff_1b,18
2021,pickoff_1b,34
2022,pickoff_1b,46
2023,pickoff_1b,49
2024,pickoff_1b,53
2025,pickoff_1b,57
2026,pickoff_1b,47
2006,pickoff_2b,15
2007,pickoff_2b,10
2008,pickoff_2b,10
2009,pickoff_2b,10
2010,pickoff_2b,14
2011,pickoff_2b,17
2012,pickoff_2b,15
2013,pickoff_2b,12
2014,pickoff_2b,9
2015,pickoff_2b,16
2016,pickoff_2b,13
2017,pickoff_2b,34
2018,pickoff_2b,20
2019,pickoff_2b,10
2020,pickoff_2b,7
2021,pickoff_2b,14
2022,pickoff_2b,12
2023,pickoff_2b,12
2024,pickoff_2b,9
2025,pickoff_2b,13
2026,pickoff_2b,6
2006,pickoff_3b,1
2007,pickoff_3b,2
2009,pickoff_3b,2
2010,pickoff_3b,3
2011,pickoff_3b,1
2012,pickoff_3b,2
2014,pickoff_3b,1
2015,pickoff_3b,3
2017,pickoff_3b,1
2018,pickoff_3b,1
2019,pickoff_3b,3
2020,pickoff_3b,2
2021,pickoff_3b,2
2022,pickoff_3b,3
2023,pickoff_3b,3
2024,pickoff_3b,1
2025,pickoff_3b,3
2026,pickoff_3b,1
2006,pickoff_caught_stealing_2b,71
2007,pickoff_caught_stealing_2b,58
2008,pickoff_caught_stealing_2b,76
2009,pickoff_caught_stealing_2b,74
2010,pickoff_caught_stealing_2b,63
2011,pickoff_caught_stealing_2b,88
2012,pickoff_caught_stealing_2b,94
2013,pickoff_caught_stealing_2b,54
2014,pickoff_caught_stealing_2b,60
2015,pickoff_caught_stealing_2b,68
2016,pickoff_caught_stealing_2b,62
2017,pickoff_caught_stealing_2b,47
2018,pickoff_caught_stealing_2b,59
2019,pickoff_caught_stealing_2b,51
2020,pickoff_caught_stealing_2b,17
2021,pickoff_caught_stealing_2b,54
2022,pickoff_caught_stealing_2b,57
2023,pickoff_caught_stealing_2b,60
2024,pickoff_caught_stealing_2b,53
2025,pickoff_caught_stealing_2b,64
2026,pickoff_caught_stealing_2b,36
2007,pickoff_caught_stealing_3b,3
2008,pickoff_caught_stealing_3b,1
2009,pickoff_caught_stealing_3b,1
2010,pickoff_caught_stealing_3b,2
2011,pickoff_caught_stealing_3b,5
2012,pickoff_caught_stealing_3b,3
2013,pickoff_caught_stealing_3b,1
2014,pickoff_caught_stealing_3b,6
2015,pickoff_caught_stealing_3b,6
2016,pickoff_caught_stealing_3b,2
2017,pickoff_caught_stealing_3b,4
2018,pickoff_caught_stealing_3b,4
2019,pickoff_caught_stealing_3b,1
2020,pickoff_caught_stealing_3b,2
2021,pickoff_caught_stealing_3b,4
2022,pickoff_caught_stealing_3b,3
2023,pickoff_caught_stealing_3b,5
2024,pickoff_caught_stealing_3b,7
2025,pickoff_caught_stealing_3b,4
2006,pickoff_caught_stealing_home,1
2007,pickoff_caught_stealing_home,1
2009,pickoff_caught_stealing_home,2
2010,pickoff_caught_stealing_home,2
2011,pickoff_caught_stealing_home,2
2012,pickoff_caught_stealing_home,2
2013,pickoff_caught_stealing_home,3
2014,pickoff_caught_stealing_home,3
2016,pickoff_caught_stealing_home,2
2017,pickoff_caught_stealing_home,1
2018,pickoff_caught_stealing_home,3
2019,pickoff_caught_stealing_home,4
2021,pickoff_caught_stealing_home,1
2022,pickoff_caught_stealing_home,2
2023,pickoff_caught_stealing_home,1
2024,pickoff_caught_stealing_home,3
2010,pickoff_error_1b,1
2011,pickoff_error_1b,1
2014,pickoff_error_1b,1
2015,pickoff_error_1b,1
2016,pickoff_error_1b,1
2017,pickoff_error_1b,1
2019,pickoff_error_1b,1
2025,pickoff_error_1b,3
2016,pickoff_error_2b,1
2023,pickoff_error_3b,1
2009,pitching_substitution,2
2012,pitching_substitution,1
2014,pitching_substitution,1
2016,pitching_substitution,2
2006,runner_double_play,3
2009,runner_double_play,2
2011,runner_double_play,1
2012,runner_double_play,2
2014,runner_double_play,2
2018,runner_double_play,3
2019,runner_double_play,3
2006,sac_bunt,1673
2007,sac_bunt,1555
2008,sac_bunt,1540
2009,sac_bunt,1656
2010,sac_bunt,1562
2011,sac_bunt,1695
2012,sac_bunt,1501
2013,sac_bunt,1400
2014,sac_bunt,1372
2015,sac_bunt,1218
2016,sac_bunt,1038
2017,sac_bunt,940
2018,sac_bunt,833
2019,sac_bunt,786
2020,sac_bunt,129
2021,sac_bunt,774
2022,sac_bunt,398
2023,sac_bunt,444
2024,sac_bunt,462
2025,sac_bunt,583
2026,sac_bunt,427
2006,sac_bunt_double_play,1
2007,sac_bunt_double_play,2
2008,sac_bunt_double_play,3
2009,sac_bunt_double_play,4
2010,sac_bunt_double_play,1
2012,sac_bunt_double_play,2
2013,sac_bunt_double_play,1
2014,sac_bunt_double_play,1
2015,sac_bunt_double_play,2
2016,sac_bunt_double_play,1
2018,sac_bunt_double_play,1
2019,sac_bunt_double_play,3
2021,sac_bunt_double_play,2
2022,sac_bunt_double_play,1
2006,sac_fly,1393
2007,sac_fly,1438
2008,sac_fly,1364
2009,sac_fly,1362
2010,sac_fly,1294
2011,sac_fly,1266
2012,sac_fly,1225
2013,sac_fly,1220
2014,sac_fly,1268
2015,sac_fly,1232
2016,sac_fly,1207
2017,sac_fly,1157
2018,sac_fly,1239
2019,sac_fly,1151
2020,sac_fly,425
2021,sac_fly,1138
2022,sac_fly,1218
2023,sac_fly,1222
2024,sac_fly,1277
2025,sac_fly,1314
2026,sac_fly,861
2006,sac_fly_double_play,11
2007,sac_fly_double_play,19
2008,sac_fly_double_play,15
2009,sac_fly_double_play,19
2010,sac_fly_double_play,21
2011,sac_fly_double_play,24
2012,sac_fly_double_play,12
2013,sac_fly_double_play,15
2014,sac_fly_double_play,23
2015,sac_fly_double_play,20
2016,sac_fly_double_play,24
2017,sac_fly_double_play,22
2018,sac_fly_double_play,10
2019,sac_fly_double_play,12
2020,sac_fly_double_play,4
2021,sac_fly_double_play,17
2022,sac_fly_double_play,22
2023,sac_fly_double_play,24
2024,sac_fly_double_play,13
2025,sac_fly_double_play,15
2026,sac_fly_double_play,6
2006,single,29927
2007,single,30211
2008,single,29572
2009,single,29132
2010,single,28913
2011,single,28848
2012,single,28352
2013,single,28841
2014,single,28811
2015,single,28383
2016,single,27893
2017,single,27270
2018,single,26656
2019,single,26311
2020,single,9595
2021,single,25433
2022,single,26246
2023,single,26471
2024,single,26357
2025,single,26608
2026,single,17088
2006,stolen_base_2b,1
2007,stolen_base_2b,3
2008,stolen_base_2b,4
2012,stolen_base_2b,2
2017,stolen_base_2b,2
2018,stolen_base_2b,3
2019,stolen_base_2b,1
2020,stolen_base_2b,1
2021,stolen_base_2b,1
2023,stolen_base_2b,2
