event_type,n
field_out,1536051
strikeout,769761
single,556918
walk,295263
double,168866
home_run,108081
force_out,77718
grounded_into_double_play,72734
hit_by_pitch,36561
field_error,26880
sac_fly,25271
sac_bunt,21986
intent_walk,18960
triple,16488
double_play,9184
fielders_choice,7283
fielders_choice_out,6358
caught_stealing_2b,4652
strikeout_double_play,2793
pickoff_caught_stealing_2b,1266
pickoff_1b,958
catcher_interf,948
other_out,618
sac_fly_double_play,348
caught_stealing_3b,317
pickoff_2b,278
caught_stealing_home,228
wild_pitch,97
triple_play,76
pickoff_caught_stealing_3b,64
pickoff_3b,35
pickoff_caught_stealing_home,33
stolen_base_2b,26
sac_bunt_double_play,25
unknown,17
game_advisory,16
runner_double_play,16
passed_ball,12
balk,11
pickoff_error_1b,10
pitching_substitution,6
stolen_base_3b,6
ejection,2
pickoff_error_3b,1
strikeout_triple_play,1
stolen_base_home,1
injury,1
defensive_substitution,1
other_advance,1
pickoff_error_2b,1
