season,games_total,games_with_plays,plays,plays_per_game
2006,2460,2460,190792,77.56
2007,2460,2460,191262,77.75
2008,2461,2461,190616,77.45
2009,2461,2461,189942,77.18
2010,2463,2463,188404,76.49
2011,2468,2468,188748,76.48
2012,2468,2468,187522,75.98
2013,2470,2470,188105,76.16
2014,2463,2463,186899,75.88
2015,2466,2466,186899,75.79
2016,2464,2464,187681,76.17
2017,2469,2469,188607,76.39
2018,2465,2465,188245,76.37
2019,2467,2467,189738,76.91
2020,951,951,70667,74.31
2021,2467,2467,185014,75.00
2022,2471,2471,185543,75.09
2023,2472,2472,187676,75.92
2024,2473,2473,186243,75.31
2025,2478,2478,187107,75.51
2026,1602,1602,121518,75.85
