season,plays,exact_match,play_gt_pitches,play_lt_pitches,plays_no_pitch_rows,match_pct
2006,190792,190792,0,0,0,100.000
2007,191262,191262,0,0,0,100.000
2008,190616,190616,0,0,0,100.000
2009,189942,189942,0,0,0,100.000
2010,188404,188404,0,0,0,100.000
2011,188748,188748,0,0,0,100.000
2012,187522,187522,0,0,0,100.000
2013,188105,188105,0,0,0,100.000
2014,186899,186899,0,0,0,100.000
2015,186899,186899,0,0,0,100.000
2016,187681,187681,0,0,0,100.000
2017,188607,188607,0,0,0,100.000
2018,188245,188245,0,0,0,100.000
2019,189738,189738,0,0,0,100.000
2020,70667,70667,0,0,0,100.000
2021,185014,185014,0,0,0,100.000
2022,185543,185543,0,0,0,100.000
2023,187676,187676,0,0,0,100.000
2024,186243,186243,0,0,0,100.000
2025,187107,187107,0,0,0,100.000
2026,121518,121518,0,0,0,100.000
